katastarske	katastarski	Agpfsgy
općine	općina	Ncfsg
»	»	Z
Petkovac	Petkovac	Npmsn
«	«	Z
upisuje	upisivati	Vmr3s
katastarska	katastarski	Agpfsny
općina	općina	Ncfsn
»	»	Z
Otok	otok	Ncmsn
«	«	Z
.	.	Z

74.	74.	Mdo
pod	pod	Si
registarskim	registarski	Agpmsiy
brojem	broj	Ncmsi
HR-AAL-SS-311	HR-AAL-SS-311	Mdc
/	/	Z
307	307	Mdc
površina	površina	Ncfpg
šumskog	šumski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
briše	brisati	Vmr3s
odjel	odjel	Ncmsn
/	/	Z
odsjek	odsjek	Rgp
74	74	Mdc
a	a	Cc
,	,	Z
a	a	Cc
površina	površina	Ncfsn
smanjuje	smanjivati	Vmr3s
sa	sa	Si
45,98	45,98	Mdc
ha	ha	Ncmpg
na	na	Sa
24,26	24,26	Mdc
ha	ha	Ncmpg
i	i	Cc
registarski	registarski	Agpmsny
broj	broj	Ncmsn
šumskog	šumski	Agpmsgy
sjemenskog	sjemenski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
»	»	Z
HR-AAL-SS	hr-aal-si	Agpfsny
/	/	Z
307	307	Mdc
«	«	Z
upisuje	upisivati	Vmr3s
»	»	Z
HR-AAL-SS-331	HR-AAL-SS-331	Mdc
/	/	Z
307	307	Mdc
«	«	Z
.	.	Z

75.	75.	Mdo
registarski	registarski	Agpmsny
broj	broj	Ncmsn
šumskog	šumski	Agpmsgy
sjemenskog	sjemenski	Agpmsgy
objekta	objekt	Ncmsg
alepskog	alepski	Agpmsgy
bora	bor	Ncmsg
(	(	Z
Pinus	Pinus	Xf
halepensis	halepensis	Xf
L.	L.	Mro
)	)	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
registarskog	registarski	Agpmsgy
broja	broj	Ncmsg
HR-PHA-SI-512	HR-PHA-SI-512	Mdc
/	/	Z
290	290	Mdc
upisuje	upisivati	Vmr3s
registarski	registarski	Agpmsny
broj	broj	Ncmsn
HR-PHA-SI-511	HR-PHA-SI-511	Mdc
/	/	Z
290.	290.	Mdo

76.	76.	Mdo
pod	pod	Si
registarskim	registarski	Agpmsiy
brojem	broj	Ncmsi
HR-FSY-SS-231	HR-FSY-SS-231	Mdc
/	/	Z
188	188	Mdc
površina	površina	Ncfpg
šumskog	šumski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
»	»	Z
41,70	41,70	Mdc
ha	ha	Ncmpg
«	«	Z
upisuje	upisivati	Vmr3s
»	»	Z
35,81	35,81	Mdc
ha	ha	Ncmpg
«	«	Z
i	i	Cc
registarski	registarski	Agpmsny
broj	broj	Ncmsn
šumskog	šumski	Agpmsgy
sjemenskog	sjemenski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
»	»	Z
HR-FSY-SS-231	HR-FSY-SS-231	Mdc
/	/	Z
188	188	Mdc
«	«	Z
upisuje	upisivati	Vmr3s
»	»	Z
HR-FSY-SS-221	HR-FSY-SS-221	Mdc
/	/	Z
188	188	Mdc
«	«	Z
.	.	Z

77.	77.	Mdo
pod	pod	Si
registarskim	registarski	Agpmsiy
brojem	broj	Ncmsi
HR-FSY-SI-221	HR-FSY-SI-221	Mdc
/	/	Z
204	204	Mdc
površina	površina	Ncfpg
šumskog	šumski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
»	»	Z
137,64	137,64	Mdc
ha	ha	Ncmpg
«	«	Z
upisuje	upisivati	Vmr3s
»	»	Z
76,35	76,35	Mdc
ha	ha	I
«	«	Z
.	.	Z

78.	78.	Mdo
pod	pod	Si
registarskim	registarski	Agpmsiy
brojem	broj	Ncmsi
HR-QPE-SI-211	HR-QPE-SI-211	Mdc
/	/	Z
208	208	Mdc
površina	površina	Ncfpg
šumskog	šumski	Agpmsgy
objekta	objekt	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
umjesto	umjesto	Sg
»	»	Z
60,85	60,85	Mdc
ha	ha	Ncmpg
«	«	Z
upisuje	upisivati	Vmr3s
»	»	Z
59,76	59,76	Mdc
ha	ha	I
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
321	321	Mdc
-	-	Z
07/15	07/15	Mdc
-	-	Z
01/01	01/01	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
11/1059	11/1059	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
19.	19.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Tihomir	Tihomir	Npmsn
Jakovina	Jakovina	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

