djela	djelo	Ncnpg
ili	ili	Cc
je	biti	Var3s
štetnik	štetnik	Ncmsn
nepoznat	nepoznat	Agpmsnn
,	,	Z
nadležna	nadležan	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
obavijestiti	obavijestiti	Vmn
vojnu	vojni	Agpfsay
policiju	policija	Ncfsa
radi	radi	Sg
daljnjeg	daljnji	Agpnsgy
postupanja	postupanje	Ncnsg
.	.	Z

2.	2.	Mdo
Prethodni	prethodan	Agpmsny
postupak	postupak	Ncmsn

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadležna	nadležan	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
saznanja	saznanje	Ncnsg
o	o	Sl
nastaloj	nastao	Agpfsly
šteti	šteta	Ncfsl
na	na	Sl
nefinancijskoj	nefinancijski	Agpfsly
imovini	imovina	Ncfsl
donijeti	donijeti	Vmn
zaključak	zaključak	Ncmsan
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
odgovornosti	odgovornost	Ncfsg
za	za	Sa
štetu	šteta	Ncfsa
(	(	Z
Obrazac	obrazac	Ncmsan
1	1	Mdc
)	)	Z
te	te	Cc
naložiti	naložiti	Vmn
knjiženje	knjiženje	Ncnsa
u	u	Sa
knjigu	knjiga	Ncfsa
manjkova	manjak	Ncmpg
i	i	Cc
šteta	šteta	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
kada	kada	Cs
iznos	iznos	Ncmsn
štete	šteta	Ncfsg
iz	iz	Sg
objektivnih	objektivan	Agpmpgy
razloga	razlog	Ncmpg
nije	biti	Var3s
moguće	moguć	Agpnsny
utvrditi	utvrditi	Vmn
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
šteta	šteta	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
utvrditi	utvrditi	Vmn
naknadno	naknadno	Rgp
,	,	Z
a	a	Cc
u	u	Sa
knjigu	knjiga	Ncfsa
manjkova	manjak	Ncmpg
i	i	Cc
šteta	šteta	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
upisati	upisati	Vmn
primjedba	primjedba	Ncfsn
o	o	Sl
naknadnom	naknadan	Agpmsly
upisu	upis	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
šteti	šteta	Ncfsl
na	na	Sl
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl
,	,	Z
nadležna	nadležan	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
saznanja	saznanje	Ncnsg
o	o	Sl
nastanku	nastanak	Ncmsl
štete	šteta	Ncfsg
donijeti	donijeti	Vmn
zaključak	zaključak	Ncmsan
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
odgovornosti	odgovornost	Ncfsg
za	za	Sa
štetu	šteta	Ncfsa
na	na	Sl
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl
.	.	Z

Zaključak	zaključak	Ncmsn
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
štete	šteta	Ncfsg
na	na	Sl
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
Ministarstva	ministarstvo	Ncnsg
obrane	obrana	Ncfsg
nadležnoj	nadležan	Agpfsly
za	za	Sa
proračun	proračun	Ncmsan
i	i	Cc
financije	financije	Ncfpa
radi	radi	Sg
evidentiranja	evidentiranje	Ncnsg
potraživanja	potraživanje	Ncnsg
od	od	Sg
štetnika	štetnik	Ncmpg
u	u	Sl
glavnoj	glavni	Agpfsly
knjizi	knjiga	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
zaključka	zaključak	Ncmsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Počinjena	počiniti	Appfsny
šteta	šteta	Ncfsn
knjiži	knjižiti	Vmr3s
se	sebe	Px--sa
u	u	Sa
knjigu	knjiga	Ncfsa
manjkova	manjak	Ncmpg
i	i	Cc
šteta	šteta	Ncfsn
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
kod	kod	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
vodi	voditi	Vmr3s
imovina	imovina	Ncfsn
na	na	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
šteta	šteta	Ncfsn
nastala	nastati	Vmp-sf
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
šteta	šteta	Ncfsn
nastala	nastati	Vmp-sf
na	na	Sl
imovini	imovina	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
dana	dan	Ncmsg
na	na	Sa
privremeno	privremen	Agpnsay
korištenje	korištenje	Ncnsa
drugoj	drugi	Mlofsl
ustrojstvenoj	ustrojstven	Agpfsly
jedinici	jedinica	Ncfsl
,	,	Z
knjiži	knjižiti	Vmr3s
se	sebe	Px--sa
u	u	Sa
knjigu	knjiga	Ncfsa
manjkova	manjak	Ncmpg
i	i	Cc
šteta	šteta	Ncfsn
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
kojoj	koji	Pi-fsl
je	biti	Var3s
imovina	imovina	Ncfsn
dana	dan	Ncmpg
na	na	Sa
privremeno	privremen	Agpnsay
korištenje	korištenje	Ncnsa
,	,	Z
a	a	Cc
o	o	Sl
nastaloj	nastao	Agpfsly
šteti	šteta	Ncfsl
i	i	Cc
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
obvezno	obvezno	Rgp
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
nadležna	nadležan	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
imovinu	imovina	Ncfsa
dala	dati	Vmp-sf
na	na	Sa
privremeno	privremen	Agpnsay
korištenje	korištenje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
zaključka	zaključak	Ncmsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
nestanka	nestanak	Ncmsg
,	,	Z
otuđenja	otuđenje	Ncnsg
ili	ili	Cc
potpunog	potpun	Agpnsgy
uništenja	uništenje	Ncnsg
,	,	Z
materijalno	materijalan	Agpnsny
zaduženje	zaduženje	Ncnsn
imovine	imovina	Ncfsg
obvezno	obvezan	Agpnsny
će	htjeti	Var3s
se	sebe	Px--sa
prenijeti	prenijeti	Vmn
na	na	Sa
ustrojstvenu	ustrojstven	Agpfsay
jedinicu	jedinica	Ncfsa
kojoj	koji	Pi-fsl
je	biti	Var3s
dana	dan	Ncmpg
na	na	Sa
privremeno	privremen	Agpnsay
korištenje	korištenje	Ncnsa
ili	ili	Cc
čuvanje	čuvanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pri	pri	Sl
prijenosu	prijenos	Ncmsl
materijalnog	materijalan	Agpnsgy
zaduženja	zaduženje	Ncnsg
imovine	imovina	Ncfsg
zapisnički	zapisnički	Agpmsny
se	sebe	Px--sa
mora	morati	Vmr3s
utvrditi	utvrditi	Vmn
stvarno	stvaran	Agpnsny
stanje	stanje	Ncnsn
imovine	imovina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
donošenja	donošenje	Ncnsg
zaključka	zaključak	Ncmsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
nadležna	nadležan	Agpfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
:	:	Z

–	–	Z
prikupiti	prikupiti	Vmn
sve	sav	Agpmpay
dokaze	dokaz	Ncmpa
i	i	Cc
raspoloživu	raspoloživ	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
nastaloj	nastao	Agpfsly
šteti	šteta	Ncfsl

–	–	Z
utvrditi	utvrditi	Vmn
točan	točan	Agpmsann
iznos	iznos	Ncmsan
štete	šteta	Ncfsg

–	–	Z
saslušati	saslušati	Vmn
osobu	osoba	Ncfsa
koju	koji	Pi-fsa
se	sebe	Px--sa
tereti	teretiti	Vmr3s
za	za	Sa
počinjenu	počiniti	Agpfsay
štetu	šteta	Ncfsa
ili	ili	Cc
pribaviti	pribaviti	Vmn
od	od	Sg
nje	on	Pp3fsg
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
(	(	Z
Obrazac	Obrazac	Npmsn
2	2	Mdc
