uprave	uprava	Ncfsg
,	,	Z
polaže	polagati	Vmr3s
pisani	pisan	Agpmsayn
i	i	Cc
usmeni	usmen	Agpmsny
dio	dio	Ncmsn
ispita	ispitati	Vmr3s
sukladno	sukladno	Rgp
sljedećim	sljedeći	Agpmpiy
pravnim	pravni	Agpmpiy
izvorima	izvor	Ncmpi
:	:	Z

1.	1.	Mdo
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
udruge	udruga	Ncfpa
,	,	Z
vjerske	vjerski	Agpfsgy
zajednice	zajednica	Ncfsg
,	,	Z
zaklade	zaklada	Ncfsg
,	,	Z
fundacije	fundacija	Ncfsg
i	i	Cc
političke	politički	Agpfsgy
stranke	stranka	Ncfsg
:	:	Z

1.1.	1.1.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
udrugama	udruga	Ncfpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
74/14	74/14	Mds
)	)	Z

1.2.	1.2.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
sadržaju	sadržaj	Ncmsl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
registra	registar	Ncmsg
udruga	udruga	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
registra	registar	Ncmsg
stranih	stran	Agpfpgy
udruga	udruga	Ncfpg
u	u	Sl
republici	republika	Ncfsl
hrvatskoj	hrvatski	Agpfsly
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
4/15	4/15	Mds
)	)	Z

1.3.	1.3.	Mdo

Zakon	zakon	Ncmsan
o	o	Sl
političkim	politički	Agpfply
strankama	stranka	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br	br	Rgp
76/93	76/93	Mdc
,	,	Z
111/96	111/96	Mdc
,	,	Z
164/98	164/98	Mdc
i	i	Cc
36/01	36/01	Mdc
)	)	Z

1.4.	1.4.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
obrascima	obrazac	Ncmpl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
registra	registar	Ncmsg
političkih	politički	Agpfpgy
stranka	stranka	Ncfpg
,	,	Z
te	te	Cc
obrascima	obrazac	Ncmpd
i	i	Cc
postupku	postupak	Ncmsl
prijave	prijava	Ncfsg
osnivanja	osnivanje	Ncnsg
i	i	Cc
djelovanja	djelovanje	Ncnsg
organizacijskih	organizacijski	Agpmpgy
oblika	oblik	Ncmpg
političkih	politički	Agpfpgy
stranaka	stranka	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
79/94	79/94	Mdc
i	i	Cc
144/10	144/10	Mdc
)	)	Z

1.5.	1.5.	Mdo

Zakon	zakon	Ncmsan
o	o	Sl
zakladama	zaklada	Ncfpl
i	i	Cc
fundacijama	fundacija	Ncfpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
36/95	36/95	Mdc
i	i	Cc
64/01	64/01	Mdc
)	)	Z

1.6.	1.6.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
zakladni	zakladni	Agpmsayn
upisnik	upisnik	Ncmsan
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
4/96	4/96	Mdc
,	,	Z
103/01	103/01	Mdc
i	i	Cc
144/10	144/10	Mdc
)	)	Z

1.7.	1.7.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
pravnom	pravni	Agpmsly
položaju	položaj	Ncmsl
vjerskih	vjerski	Agpfpgy
zajednica	zajednica	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
83/02	83/02	Mdc
i	i	Cc
73/13	73/13	Mdc
)	)	Z

1.8.	1.8.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
obrascima	obrazac	Ncmpl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
Evidencije	evidencija	Ncfsg
vjerskih	vjerski	Agpfpgy
zajednica	zajednica	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
9/03	9/03	Mdc
,	,	Z
24/04	24/04	Mdc
,	,	Z
144/10	144/10	Mdc
i	i	Cc
124/12	124/12	Mdc
)	)	Z

1.9.	1.9.	Mdo
1	1	Mdc
Protokol	protokol	Ncmsn
o	o	Sl
načinu	način	Ncmsl
upisa	upis	Ncmsg
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
Katoličke	katolički	Agpfsgy
Crkve	crkva	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
15/03	15/03	Mdc
i	i	Cc
16/03	16/03	Mdc
–	–	Z
Međunarodni	međunarodni	Agpmpny
ugovori	ugovor	Ncmpn
)	)	Z

1.10.	1.10.	Mdo

Ustavni	ustavan	Agpmsny
zakon	zakon	Ncmsn
o	o	Sl
pravima	pravo	Ncmpl
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
155/02	155/02	Mdc
,	,	Z
47/10	47/10	Mdc
–	–	Z
Odluka	odluka	Ncfsn
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
80/10	80/10	Mdc
i	i	Cc
93/11	93/11	Mdc
–	–	Z
Odluka	odluka	Ncfsn
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
)	)	Z

1.11.	1.11.	Mdo

Zakon	zakon	Ncmsn
o	o	Sl
Registru	registar	Ncmsl
vijeća	vijeće	Ncnsg
,	,	Z
koordinacija	koordinacija	Ncfsn
vijeća	vijeće	Ncnsg
i	i	Cc
predstavnika	predstavnik	Ncmpg
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
isprava	isprava	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
80/11	80/11	Mds
)	)	Z

1.12.	1.12.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
obliku	oblik	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
načinu	način	Ncmsl
vođenja	vođenje	Ncnsg
registra	registar	Ncmsg
vijeća	vijeće	Ncnsg
,	,	Z
koordinacija	koordinacija	Ncfsn
vijeća	vijeće	Ncnsg
i	i	Cc
predstavnika	predstavnik	Ncmpg
nacionalnih	nacionalan	Agpfpgy
manjina	manjina	Ncfpg
