sigurnosno-obavještajnog	sigurnosno-obavještajni	Agpmsgy
sustava	sustav	Ncmsg
polaže	polagati	Vmr3s
pisani	pisan	Agpmsayn
i	i	Cc
usmeni	usmen	Agpmsny
dio	dio	Ncmsn
ispita	ispitati	Vmr3s
sukladno	sukladno	Rgp
sljedećim	sljedeći	Agpmpiy
pravnim	pravni	Agpmpiy
izvorima	izvor	Ncmpi
:	:	Z

1.	1.	Mdo
Zakon	zakon	Ncmsn
o	o	Sl
sigurnosno-obavještajnom	sigurnosno-obavještajni	Agpmsly
sustavu	sustav	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
79/06	79/06	Mdc
i	i	Cc
105/06	105/06	Mdc
–	–	Z
ispravak	ispravak	Ncmsan
)	)	Z

2.	2.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
tajnosti	tajnost	Ncfsl
podataka	podatak	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
79/07	79/07	Mdc
i	i	Cc
86/12	86/12	Mdc
)	)	Z

3.	3.	Mdo
Zakon	zakon	Ncmsn
o	o	Sl
informacijskoj	informacijski	Agpfsly
sigurnosti	sigurnost	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
79/07	79/07	Mds
)	)	Z

4.	4.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
sigurnosnim	sigurnosni	Agpfply
provjerama	provjera	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
85/08	85/08	Mdc
i	i	Cc
86/12	86/12	Mdc
)	)	Z

5.	5.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
zaštiti	zaštita	Ncfsl
osobnih	osoban	Agpmpgy
podataka	podatak	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
103/03	103/03	Mdc
,	,	Z
118/06	118/06	Mdc
,	,	Z
41/08	41/08	Mdc
i	i	Cc
106/12	106/12	Mdc
–	–	Z
pročišćeni	pročišćen	Agpmsny
tekst	tekst	Ncmsn
)	)	Z

6.	6.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
kritičnim	kritičan	Agpfply
infrastrukturama	infrastruktura	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
56/13	56/13	Mds
)	)	Z

7.	7.	Mdo
Zakon	zakon	Ncmsn
o	o	Sl
državnoj	državni	Agpfsly
informacijskoj	informacijski	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
92/14	92/14	Mds
)	)	Z

8.	8.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/08	73/08	Mdc
,	,	Z
90/11	90/11	Mdc
,	,	Z
133/12	133/12	Mdc
,	,	Z
80/13	80/13	Mdc
i	i	Cc
71/14	71/14	Mdc
)	)	Z

9.	9.	Mdo
Strategija	strategija	Ncfsn
nacionalne	nacionalan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
32/02	32/02	Mds
)	)	Z

10.	10.	Mdo

Godišnje	godišnji	Agpfpny
smjernice	smjernica	Ncfpn
za	za	Sa
rad	rad	Ncmsan
sigurnosno-obavještajnih	sigurnosno-obavještajni	Agpfpgy
agencija	agencija	Ncfpg

11.	11.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
izgledu	izgled	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
pravu	pravo	Ncnsl
uporabe	uporaba	Ncfsg
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
službene	služben	Agpfsgy
značke	značka	Ncfsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Ureda	ured	Ncmsg
Vijeća	vijeće	Ncnsg
za	za	Sa
nacionalnu	nacionalan	Agpfsay
sigurnost	sigurnost	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

12.	12.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
izgledu	izgled	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
pravu	pravo	Ncnsl
uporabe	uporaba	Ncfsg
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
službene	služben	Agpfsgy
značke	značka	Ncfsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Sigurnosno-obavještajne	sigurnosno-obavještajni	Agpfsgy
agencije	agencija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

13.	13.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
izgledu	izgled	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
pravu	pravo	Ncnsl
uporabe	uporaba	Ncfsg
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
službene	služben	Agpfsgy
značke	značka	Ncfsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Vojne	vojni	Agpfsgy
sigurnosno-obavještajne	sigurnosno-obavještajni	Agpfsgy
agencije	agencija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

14.	14.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
ustrojavanju	ustrojavanje	Ncnsl
disciplinskih	disciplinski	Agpmpgy
sudova	sud	Ncmpg
u	u	Sl
Uredu	ured	Ncmsl
Vijeća	vijeće	Ncnsg
za	za	Sa
nacionalnu	nacionalan	Agpfsay
sigurnost	sigurnost	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

15.	15.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
ustrojavanju	ustrojavanje	Ncnsl
disciplinskih	disciplinski	Agpmpgy
sudova	sud	Ncmpg
Sigurnosno-obavještajne	sigurnosno-obavještajni	Agpfsgy
agencije	agencija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

16.	16.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
ustrojavanju	ustrojavanje	Ncnsl
stegovno-disciplinskih	stegovno-disciplinski	Agpmpgy
sudova	sud	Ncmpg
u	u	Sl
Vojno	vojno	Rgp
sigurnosno-obavještajnoj	sigurnosno-obavještajni	Agpfsly
agenciji	agencija	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

17.	17.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
nošenje	nošenje	Ncnsa
i	i	Cc
uporabu	uporaba	Ncfsa
oružja	oružje	Ncnsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Sigurnosno-obavještajne	sigurnosno-obavještajni	Agpfsgy
agencije	agencija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

18.	18.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
nošenje	nošenje	Ncnsa
i	i	Cc
uporabu	uporaba	Ncfsa
oružja	oružje	Ncnsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Vojne	vojni	Agpfsgy
sigurnosno-obavještajne	sigurnosno-obavještajni	Agpfsgy
agencije	agencija	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
124/06	124/06	Mds
)	)	Z

19.	19.	Mdo

Uredba	uredba	Ncfsn
o	o	Sl
obvezama	obveza	Ncfpl
iz	iz	Sg
područja	područje	Ncnsg
nacionalne	nacionalan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
pravne	pravni	Agpfpay
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
telekomunikacijama	telekomunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
64	64	Mdc
//	//	Z
08	08	Mdc
i	i	Cc
76/13	76/13	Mds
)	)	Z

20.	20.	Mdo

Odluka	odluka	Ncfsn
o	o	Sl
vijeću	vijeće	Ncnsl
za	za	Sa
građanski	građanski	Agpmsayn
nadzor	nadzor	Ncmsan
sigurnosno	sigurnosno	Rgp
–	–	Z
obavještajnih	obavještajan	Agpfpgy
agencija	agencija	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
46/07	46/07	Mds
)	)	Z

21.	21.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
izgledu	izgled	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
pravu	pravo	Ncnsl
uporabe	uporaba	Ncfsg
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
službene	služben	Agpfsgy
značke	značka	Ncfsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Zavoda	zavod	Ncmsg
za	za	Sa
sigurnost	sigurnost	Ncfsa
informacijskih	informacijski	Agpmpgy
sustava	sustav	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
129/08	129/08	Mds
)	)	Z

22.	22.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
izgledu	izgled	Ncmsl
,	,	Z
sadržaju	sadržaj	Ncmsl
i	i	Cc
pravu	pravo	Ncnsl
uporabe	uporaba	Ncfsg
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
službene	služben	Agpfsgy
značke	značka	Ncfsg
službenih	služben	Agpfpgy
osoba	osoba	Ncfpg
Operativno-tehničkog	operativno-tehnički	Agpmsgy
centra	centar	Ncmsg
za	za	Sa
nadzor	nadzor	Ncmsan
telekomunikacija	telekomunikacija	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
129/08	129/08	Mds
)	)	Z

23.	23.	Mdo

Kazneni	kazneni	Agpmsny
zakon	zakon	Ncmsn
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
125/11	125/11	Mdc
,	,	Z
144/12	144/12	Mdc
,	,	Z
56/15	56/15	Mdc
i	i	Cc
61/15	61/15	Mdc
)	)	Z
Glava	glava	Ncfsn
XXV	XXV	Npmsn
.	.	Z

»	»	Z
Kaznena	kazneni	Agpnpny
djela	djelo	Ncnpn
protiv	protiv	Sg
računalnih	računalni	Agpmpgy
sustava	sustav	Ncmpg
,	,	Z
programa	program	Ncmpg
i	i	Cc
podataka	podatak	Ncmpg
«	«	Z
,	,	Z
–	–	Z
članci	članak	Ncmpn
266.	266.	Mdo
–	–	Z
273.	273.	Mdo

24.	24.	Mdo
ostali	ostali	Agpmpny
podzakonski	podzakonski	Agpmpny
akti	akt	Ncmpn
iz	iz	Sg
područja	područje	Ncnsg
sigurnosnog	sigurnosni	Agpnsgy
djelovanja	djelovanje	Ncnsg
,	,	Z
zaštite	zaštita	Ncfsg
tajnosti	tajnost	Ncfsg
podataka	podatak	Ncmpg
,	,	Z
