zastare	zastara	Ncfpa
,	,	Z
otpisa	otpis	Ncmsg
i	i	Cc
drugih	drugi	Mlonpg
pitanja	pitanje	Ncnpg
odgovarajuće	odgovarajući	Agpnsny
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
opći	opći	Agpmpny
akti	akt	Ncmpn
Zavoda	zavod	Ncmsg
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
041	041	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
02/9	02/9	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
341	341	Mdc
-	-	Z
99	99	Mdc
-	-	Z
01/01	01/01	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
6.	6.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo

Predsjednica	predsjednica	Ncfsn
Upravnog	upravan	Agpnsgy
vijeća	vijeće	Ncnsg
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
Mirjana	Mirjana	Npfsn
Rađenović	Rađenović	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

