dioničara	dioničar	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
od	od	Sg
glavne	glavni	Agpfsgy
skupštine	skupština	Ncfsg
ili	ili	Cc
gubitak	gubitak	Ncmsan
utvrđen	utvrditi	Appmsnn
na	na	Sl
osnovi	osnova	Ncfsl
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
za	za	Sa
razdoblja	razdoblje	Ncnpa
tijekom	tijekom	Sg
godine	godina	Ncfsg
,	,	Z

–	–	Sg
rezerve	rezerva	Ncfsg
kapitala	kapital	Ncmsg
(	(	Z
razliku	razlika	Ncfsa
između	između	Sg
iznosa	iznos	Ncmsg
postignutog	postignuti	Agpmsgy
prodajom	prodaja	Ncfsi
i	i	Cc
nominalne	nominalan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
dionice	dionica	Ncfsg
ukoliko	ukoliko	Cs
je	biti	Var3s
on	on	Pp3msn
manji	mali	Agcmsny
od	od	Sg
nominalnog	nominalan	Agpmsgy
iznosa	iznos	Ncmsg
)	)	Z
i	i	Cc

–	–	Agpmsny
nerealizirani	nerealiziran	Agpmsny
gubitak	gubitak	Ncmsn
s	sa	Sg
osnove	osnova	Ncfsg
vrijednosnog	vrijednosan	Agpnsgy
usklađivanja	usklađivanje	Ncnsg
financijske	financijski	Agpfsgy
imovine	imovina	Ncfsg
raspoložive	raspoloživ	Agpfpny
za	za	Sa
prodaju	prodaja	Ncfsa
,	,	Z
negativne	negativan	Ncmsan
neto	neto	Agpfsgy
revalorizacijske	revalorizacijska	Ncfsg
rezerve	rezerva	Ncfsg
proizašle	proizašao	Agpfsgy
iz	iz	Sg
vođenja	vođenje	Ncnsg
ulaganja	ulaganje	Ncnsg
u	u	Sa
pridruženo	pridružen	Agpnsay
društvo	društvo	Ncnsa
ili	ili	Cc
zajednički	zajednički	Agpmsayn
pothvat	pothvat	Ncmsan
po	po	Sl
metodi	metoda	Ncfsl
udjela	udjel	Ncmsg
,	,	Z
ostale	ostali	Agpfpny
negativne	negativan	Agpfpny
neto	neto	Agpfpny
revalorizacijske	revalorizacijska	Ncfpn
rezerve	rezerva	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pozitivne	pozitivan	Agpfpny
revalorizacijske	revalorizacijski	Agpfpny
rezerve	rezerva	Ncfpn
ne	ne	Qz
uključuju	uključivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
izračun	izračun	Ncmsan
kapitala	kapital	Ncmsg
.	.	Z

Način	način	Ncmsn
i	i	Cc
rokovi	rok	Ncmpn
izvješćivanja	izvješćivanje	Ncnsg
Agencije	agencija	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
izvještava	izvještavati	Vmr3s
Agenciju	agencija	Ncfsa
o	o	Sl
kapitalu	kapital	Ncmsl
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
,	,	Z
putem	put	Sg
Izvještaja	izvještaj	Ncmsg
o	o	Sl
izračunu	izračun	Ncmsl
kapitala	kapital	Ncmsg
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
(	(	Z
IIKFD	IIKFD	Npmsn
)	)	Z
(	(	Z
Prilog	prilog	Ncmsn
br.	br.	Y
1	1	Mdc
)	)	Z
i	i	Cc
Upute	uputa	Ncfpn
za	za	Sa
izračun	izračun	Ncmsan
kapitala	kapital	Ncmsg
faktoring	faktoring	Ncmsan
društva	društvo	Ncnsg
(	(	Z
Prilog	prilog	Ncmsn
br.	br.	Y
2	2	Mdc
)	)	Z
koji	koji	Pi-mpn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
tromjesečno	tromjesečan	Agpnsny
i	i	Cc
godišnje	godišnje	Rgp
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
zadnji	zadnji	Agpmsayn
dan	dan	Ncmsan
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
odnosno	odnosno	Rgp
na	na	Sa
zadnji	zadnji	Agpmsayn
dan	dan	Ncmsan
kalendarskog	kalendarski	Agpnsgy
tromjesečja	tromjesečje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
,	,	Z
tromjesečno	tromjesečno	Rgp
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
posljednji	posljednji	Agpmsayn
dan	dan	Ncmsan
kalendarskog	kalendarski	Agpnsgy
tromjesečja	tromjesečje	Ncnsg
i	i	Cc
to	to	Qo
:	:	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
ožujka	ožujak	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
lipnja	lipanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
listopada	listopad	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
siječnja	siječanj	Ncmsg
sljedeće	sljedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
posljednji	posljednji	Agpmsayn
dan	dan	Ncmsan
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
,	,	Z
najkasnije	kasno	Rgs
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
sljedeće	sljedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
na	na	Sa
način	način	Ncmsan
propisan	propisati	Appmsnn
odgovarajućom	odgovarajući	Agpfsiy
tehničkom	tehnički	Agpfsiy
uputom	uputa	Ncfsi
propisanom	propisati	Agpfsiy
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbi	odredba	Ncfpg
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
roku	rok	Ncmsl
kojega	koji	Ncnsg
odredi	odrediti	Vmr3s
Agencija	agencija	Ncfsn
.	.	Z

Preventivne	preventivan	Agpfpay
mjere	mjera	Ncfpa
Agencije	agencija	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
ocjene	ocjena	Ncfsg
da	da	Cs
bi	biti	Vaa3s
kapital	kapital	Ncmsn
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
mogao	moći	Vmp-sm
pasti	pasti	Vmn
ispod	ispod	Sg
razine	razina	Ncfsg
minimalnog	minimalan	Agpmsgy
iznosa	iznos	Ncmsg
kapitala	kapital	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
ocijeni	ocijeniti	Vmr3s
da	da	Cs
bi	biti	Vaa3s
kapital	kapital	Ncmsn
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
mogao	moći	Vmp-sm
pasti	pasti	Vmn
ispod	ispod	Sg
razine	razina	Ncfsg
minimalnog	minimalan	Agpmsgy
iznosa	iznos	Ncmsg
kapitala	kapital	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
st	sa	Ncfsg
1.	1.	Mdo
alineja	alineja	Ncfsn
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
od	od	Sg
faktoring	faktoring	Ncmsan
društva	društvo	Ncnsg
zatražiti	zatražiti	Vmn
donošenje	donošenje	Ncnsa
mjera	mjera	Ncfpg
za	za	Sa
dostizanje	dostizanje	Ncnsa
potrebne	potreban	Agpfsgy
visine	visina	Ncfsg
kapitala	kapital	Ncmsg
odnosno	odnosno	Rgp
izradu	izrada	Ncfsa
prijedloga	prijedlog	Ncmsg
mjera	mjera	Ncfpg
za	za	Sa
koja	koji	Pi-npn
su	biti	Var3p
nadležna	nadležan	Agpnpny
druga	drugi	Mlonpa
tijela	tijelo	Ncnpa
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
obavijest	obavijest	Ncfsa
o	o	Sl
mjerama	mjera	Ncfpl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uprava	uprava	Ncfsn
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
dužna	dužan	Agpfsny
je	biti	Var3s
priložiti	priložiti	Vmn
i	i	Qo
projekcije	projekcija	Ncfpa
poslovanja	poslovanje	Ncnsg
za	za	Sa
sljedeće	sljedeći	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
:	:	Z

–	i	Agpnsny
za	za	Sa
prvu	prvi	Mlofsa
godinu	godina	Ncfsa
po	po	Sl
tromjesečjima	tromjesečje	Ncnpl
te	te	Cc
za	za	Sa

–	i	Agpfsgy
preostale	preostao	Agpfsgy
dvije	dva	Mlcf-n
godine	godina	Ncfsg
,	,	Z
godišnje	godišnje	Rgp
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Projekcije	projekcija	Ncfpn
poslovanja	poslovanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obuhvaćaju	obuhvaćati	Vmr3p
najmanje	mali	Ncnsa
sljedeće	sljedeći	Agpnsay
:	:	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
financijskom	financijski	Agpmsly
položaju	položaj	Ncmsl
,	,	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
sveobuhvatnoj	sveobuhvatan	Agpfsly
dobiti	dobit	Ncfsl
,	,	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
izračunu	izračun	Ncmsl
kapitala	kapital	Ncmsg
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
i	i	Cc
skup	skup	Ncmsan
pretpostavki	pretpostavka	Ncfpg
temeljem	temelj	Ncmsi
kojih	koji	Pi-mpg
su	biti	Var3p
projekcije	projekcija	Ncfpn
izrađene	izraditi	Appfpny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uputu	uputa	Ncfsa
za	za	Sa
način	način	Ncmsan
dostave	dostava	Ncfsg
mjera	mjera	Ncfpg
i	i	Cc
obrazaca	obrazac	Ncmpg
iz	iz	Sg
stavka	stavka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
preuzima	preuzimati	Vmr3s
na	na	Sa
www.hanfa.hr	www.hanfa.hr	X

Interni	interni	Agpmpny
akti	akt	Ncmpn

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
kontinuirano	kontinuiran	Agpnsny
pratiti	pratiti	Vmn
i	i	Cc
utvrđivati	utvrđivati	Vmn
ispunjavanje	ispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
o	o	Sl
minimalnom	minimalan	Agpmsly
iznosu	iznos	Ncmsl
kapitala	kapital	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Faktoring	faktoring	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
donijeti	donijeti	Vmn
interne	interni	Agpmpay
akte	akt	Ncmpa
kojima	koji	Pi-mpi
će	htjeti	Var3s
biti	biti	Van
određeno	odrediti	Appnsny
najmanje	malo	Rgs
sljedeće	sljedeći	Agpfsgy
:	:	Z

–	i	Agpfpay
strategije	strategija	Ncfpa
i	i	Cc
politike	politika	Ncfsg
kojima	koji	Pi-fpi
se	sebe	Px--sa
definira	definirati	Vmr3s
način	način	Ncmsan
upravljanja	upravljanje	Ncnsg
kapitalom	kapital	Ncmsi
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
u	u	Sl
