dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
15.	15.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Izvještaj	izvještaj	Ncmsn
o	o	Sl
razini	razina	Ncfsl
kapitaliziranosti	kapitaliziranost	Ncfsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
provjeriti	provjeriti	Vmn
i	i	Cc
ocijeniti	ocijeniti	Vmn
ispunjavanje	ispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
kapitaliziranosti	kapitaliziranost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
dokup	dokup	Ncmsan
mirovina	mirovina	Ncfpg
o	o	Sl
čemu	što	Ncmsl
mora	morati	Vmr3s
izraditi	izraditi	Vmn
izvještaj	izvještaj	Ncmsan
o	o	Sl
razini	razina	Ncfsl
kapitaliziranosti	kapitaliziranost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvještaj	izvještaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
najmanje	malo	Rgs
:	:	Z

–	–	Sa
kratak	kratak	Agpmsann
opis	opis	Ncmsan
stanja	stanje	Ncnsg
i	i	Cc
strukture	struktura	Ncfsg
kapitala	kapital	Ncmsg
i	i	Cc
rezervi	rezerva	Ncfsl
,	,	Z

–	i	Agpnsay
stanje	stanje	Ncnsa
kapitala	kapital	Ncmsg
na	na	Sl
početku	početak	Ncmsl
godine	godina	Ncfsg
i	i	Cc
na	na	Sl
kraju	kraj	Ncmsl
godine	godina	Ncfsg
te	taj	Pd-fsg
promjene	promjena	Ncfsg
stanja	stanje	Ncnsg
tijekom	tijekom	Sg
godine	godina	Ncfsg
s	sa	Si
usporednim	usporedan	Agpmsiy
prikazom	prikaz	Ncmsi
posebne	poseban	Agpfsgy
pričuve	pričuva	Ncfsg
za	za	Sa
dokupljene	dokupiti	Agpfpay
mirovine	mirovina	Ncfpa
,	,	Z

–	i	Agpfpay
preporuke	preporuka	Ncfpa
revizora	revizor	Ncmpg
s	sa	Si
navođenjem	navođenje	Ncnsi
uočenih	uočiti	Appfpgy
slabosti	slabost	Ncfsg
i	i	Cc
rizika	rizik	Ncmpg
,	,	Z

–	i	Agpfpay
konstatacije	konstatacija	Ncfpa
o	o	Sl
postupcima	postupak	Ncmpl
društva	društvo	Ncnsg
za	za	Sa
dokup	dokup	Ncmsan
mirovine	mirovina	Ncfsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
preporuke	preporuka	Ncfpa
revizora	revizor	Ncmpg
iz	iz	Sg
prethodnih	prethodan	Agpfpgy
godina	godina	Ncfpg
,	,	Z

–	i	Agpfsay
ocjenu	ocjena	Ncfsa
o	o	Sl
razini	razina	Ncfsl
kapitaliziranosti	kapitaliziranost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
dokup	dokup	Ncmsan
mirovina	mirovina	Ncfpg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Dosadašnji	dosadašnji	Agpmsny
članak	članak	Ncmsn
16.	16.	Mdo
se	sebe	Px--sa
briše	brisati	Vmr3s
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Dosadašnji	dosadašnji	Agpmsny
članak	članak	Ncmsn
17.	17.	Mdo
postaje	postajati	Vmr3s
članak	članak	Ncmsan
16.	16.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
članku	članak	Ncmsl
17.	17.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
najmanje	malo	Rgs
:	:	Z

–	i	Agpfpay
preporuke	preporuka	Ncfpa
revizora	revizor	Ncmpg
s	sa	Si
navođenjem	navođenje	Ncnsi
uočenih	uočiti	Appfpgy
slabosti	slabost	Ncfsg
i	i	Cc
rizika	rizik	Ncmpg
,	,	Z

–	i	Agpfpay
konstatacije	konstatacija	Ncfpa
o	o	Sl
postupcima	postupak	Ncmpl
društva	društvo	Ncnsg
za	za	Sa
dokup	dokup	Ncmsan
mirovine	mirovina	Ncfsg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
preporuke	preporuka	Ncfpa
revizora	revizor	Ncmpg
iz	iz	Sg
prethodnih	prethodan	Agpfpgy
godina	godina	Ncfpg
,	,	Z
«	«	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
članku	članak	Ncmsl
17.	17.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
alineji	alineja	Ncfsl
3.	3.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
uključuje	uključivati	Vmr3s
mišljenje	mišljenje	Ncnsa
«	«	Z
se	sebe	Px--sa
zamjenjuju	zamjenjivati	Vmr3p
s	sa	Si
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
ocjenu	ocjena	Ncfsa
«	«	Z
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

Dosadašnji	dosadašnji	Agpmsny
članak	članak	Ncmsn
18.	18.	Mdo
se	sebe	Px--sa
briše	brisati	Vmr3s
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmsny
članak	članak	Ncmsn
19.	19.	Mdo
postaje	postajati	Vmr3s
članak	članak	Ncmsan
17.	17.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
članku	članak	Ncmsl
19.	19.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
mišljenje	mišljenje	Ncnsa
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
s	sa	Si
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
ocjenu	ocjena	Ncfsa
«	«	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmsny
članak	članak	Ncmsn
20.	20.	Mdo
postaje	postajati	Vmr3s
članak	članak	Ncmsan
18.	18.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
članku	članak	Ncmsl
20.	20.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
mišljenje	mišljenje	Ncnsa
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
s	sa	Si
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
ocjenu	ocjena	Ncfsa
«	«	Z
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Dosadašnji	dosadašnji	Agpmpny
članci	članak	Ncmpn
21.	21.	Mdo
do	do	Sg
27.	27.	Mdo
postaju	postati	Vmr3p
članci	članak	Ncmpn
19.	19.	Mdo
do	do	Sg
25.	25.	Mdo

Članak	članak	Ncmsn
14.	14.	Mdo

