DLAKA	dlaka	Ncfsn
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
9	9	Mdc
glasova	glas	Ncmpg
5,56	5,56	Mdc
%	%	Z
7.	7.	Mdo
JADRANKA	Jadranka	Npfsn
KARASMAN	KARASMAN	Npfsn
3	3	Mdc
glasa	glas	Ncmsg
1,85	1,85	Mdc
%	%	Z
8.	8.	Mdo
KRUNOSLAV	KRUNOSLAV	Sg
DUGA	dug	Ncmsg
,	,	Z
dipl.	dipl.	Y
ing.	ing.	Y
3	3	Mdc
glasa	glas	Ncmsg
1,85	1,85	Mdc
%	%	Z
9.	9.	Mdo
DARKO	Darko	Npmsn
LUKANEC	LUKANEC	Npmsn
2	2	Mdc
glasa	glas	Ncmsg
1,23	1,23	Mdc
%	%	Z
10.	10.	Mdo

DAMIR	Damir	Npmsn
ŠKLEBAR	ŠKLEBAR	Npmsn
9	9	Mdc
glasova	glas	Ncmpg
5,56	5,56	Mdc
%	%	Z
11.	11.	Mdo

MARTIN	Martin	Npmsn
VEDRIŠ	vedriti	Vmr2s
3	3	Mdc
glasa	glas	Ncmsg
1,85	1,85	Mdc
%	%	Z
12.	12.	Mdo

KATICA	KATICA	Npfsn
TUTIĆ	TUTIĆ	Npfsn
5	5	Mdc
glasova	glas	Ncmpg
3,09	3,09	Mdc
%	%	Z
13.	13.	Mdo

MARA	MARA	Npfsn
MARKANOVIĆ	MARKANOVIĆ	Npfsn
3	3	Mdc
glasa	glas	Ncmsg
1,85	1,85	Mdc
%	%	Z
14.	14.	Mdo

DARKO	Darko	Npmsn
DUGA	DUGA	Npmsn
20	20	Mdc
glasova	glas	Ncmpg
12,35	12,35	Mdc
%	%	Z

III	III	Mrc
.	.	Z

Liste	lista	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
41.	41.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
izborima	izbor	Ncmpl
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
,	,	Z
dobile	dobiti	Vmp-pf
najmanje	malo	Rgs
5	5	Mdc
%	%	Z
važećih	važeći	Agpmpgy
glasova	glas	Ncmpg
birača	birač	Ncmpg
i	i	Cc
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
diobi	dioba	Ncfsl
zastupničkih	zastupnički	Agpnpgy
mjesta	mjesto	Ncnpg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
HRVATSKA	hrvatski	Agpfsny
DEMOKRATSKA	demokratski	Agpfsny
ZAJEDNICA	zajednica	Ncfsn
–	–	Z
HDZ	HDZ	Npmsn
HRVATSKA	hrvatski	Agpfsny
SELJAČKA	seljački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HSS	HSS	Npmsn
HRVATSKA	Hrvatska	Npfsn
STRANKA	stranka	Ncfsn
PRAVA	pravo	Ncnsg
DR.	DR.	Mro
ANTE	Ante	Npmsn
STARČEVIĆ	Starčević	Npmsn
–	–	Z
HSP	HSP	Npmsn
AS	AS	Npmsn
BLOK	BLOK	Npmsn
UMIROVLJENICI	umirovljenik	Ncmpn
ZAJEDNO	zajedno	Rgp
–	–	Z
BUZ	BUZ	Npmsn
HRVATSKA	Hrvatska	Npfsn
SOCIJALNO-LIBERALNA	socijalno-liberalan	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HSLS	HSLS	Npmsn
HRAST	hrast	Ncmsn
–	–	Z
POKRET	pokret	Ncmsn
ZA	za	Sa
USPJEŠNU	uspješan	Agpfsay
HRVATSKU	Hrvatska	Npfsa
HRVATSKA	Hrvatska	Npfsn
DEMOKRŠĆANSKA	demokršćanski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HDS	HDS	Npmsn
ZAGORSKA	zagorski	Agpfsny
DEMOKRATSKA	demokratski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
ZDS	ZDS	Npmsn
2.	2.	Mdo
SOCIJALDEMOKRATSKA	socijaldemokratski	Agpfsny
PARTIJA	partija	Ncfsn
HRVATSKE	Hrvatska	Npfsg
–	–	Z
SDP	SDP	Npmsn
HRVATSKA	hrvatski	Agpfsny
NARODNA	narodni	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
LIBERALNI	liberalan	Agpmpny
DEMOKRATI	demokrat	Ncmpn
–	–	Z
HNS	HNS	Npmsn
HRVATSKA	hrvatski	Agpfsny
STRANKA	stranka	Ncfsn
UMIROVLJENIKA	umirovljenik	Ncmpg
–	–	Z
HSU	HSU	Var3p
HRVATSKI	hrvatski	Agpmpny
LABURISTI	laburist	Ncmpn
–	–	Z
STRANKA	stranka	Ncfsn
RADA	rad	Ncmsg
AUTOHTONA	autohton	Agpfsny
–	–	Z
HRVATSKA	hrvatski	Agpfsny
SELJAČKA	seljački	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
A	a	Cc
–	–	Z
HSS	HSS	Npmsn
ZAGORSKA	zagorski	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
ZS	ZS	Npmsn
3.	3.	Mdo
MOST	most	Ncmsn
NEZAVISNIH	nezavisan	Agpfpgy
LISTA	lista	Ncfpg
–	–	Z
MOST	most	Ncmsn
4.	4.	Mdo
»	»	Z
BANDIĆ	Bandić	Npmsn
MILAN	Milan	Npmsn
365	365	Mdc
–	–	Z
STRANKA	stranka	Ncfsn
RADA	rad	Ncmsg
I	i	Cc
