Glamuzina	Glamuzina	Npfsn
&	&	Z
Grošeta	groše	Ncnsg
iz	iz	Sg
Zagreba	Zagreb	Npmsg
(	(	Z
predmet	predmet	Ncmsn
broj	broj	Ncmsn
:	:	Z
U-I-3791	U-I-3791	Mds
/	/	Z
2015	2015	Mdc
)	)	Z
;	;	Z

–	–	Z
Zagrebačka	zagrebački	Agpfsny
banka	banka	Ncfsn
d.	d.	Y
d.	d.	Y
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ZABA	ZABA	Npmsn
)	)	Z
,	,	Z
koju	koji	Pi-fsa
zastupaju	zastupati	Vmr3p
odvjetnici	odvjetnik	Ncmpn
Boris	Boris	Npmsn
Porobija	Porobija	Npmsn
,	,	Z
Sanja	Sanja	Npfsn
Porobija	Porobija	Npfsn
i	i	Cc
Hrvoje	Hrvoje	Npmsn
Ivić	Ivić	Npmsn
iz	iz	Sg
Odvjetničkog	odvjetnički	Agpnsgy
društva	društvo	Ncnsg
Porobija	Porobi	Npmsg
&	&	Z
Porobija	Porobija	Npfsn
iz	iz	Sg
Zagreba	Zagreb	Npmsg
(	(	Z
predmet	predmet	Ncmsn
broj	broj	Ncmsn
:	:	Z
U-I-3857	U-I-3857	Mds
/	/	Z
2015	2015	Mdc
)	)	Z
;	;	Z

–	–	Npmsn
Marijan	Marijan	Npmsn
Perica	Perica	Npmsn
i	i	Cc
Hrvoje	Hrvoje	Npmsn
Arko	Arko	Npmsn
,	,	Z
odvjetnici	odvjetnik	Ncmpn
iz	iz	Sg
Zagreba	Zagreb	Npmsg
(	(	Z
predmet	predmet	Ncmsn
broj	broj	Ncmsn
:	:	Z
U-I-3875	U-I-3875	Mds
/	/	Z
2015	2015	Mdc
)	)	Z
;	;	Z

–	i	Agpmpay
SOCIETE	societi	Agpmpay
GENERALE	general	Ncmpa
–	–	Z
Splitska	splitski	Agpfsny
banka	banka	Ncfsn
d.	d.	Y
d.	d.	Y
Split	Split	Npmsn
,	,	Z
koju	koji	Pi-fsa
zastupa	zastupati	Vmr3s
odvjetnik	odvjetnik	Ncmsn
Uroš	Uroš	Npmsn
Pavasović	Pavasović	Npmsn
iz	iz	Sg
Odvjetničkog	odvjetnički	Agpnsgy
društva	društvo	Ncnsg
Žurić	Žurić	Npfsg
i	i	Cc
partneri	partner	Ncmpn

Zagreb	Zagreb	Npmsn
(	(	Z
predmet	predmet	Ncmsn
broj	broj	Ncmsn
:	:	Z
U-I-3877	U-I-3877	Mds
/	/	Z
2015	2015	Mdc
)	)	Z
;	;	Z

–	–	Npmsn
ERSTE	ERSTE	Npmsn
&	&	Z
STEIRMARKISCHE	STEIRMARKISCH	Npmsg
BANK	BAN	Npmsg
d.	d.	Y
d.	d.	Y
,	,	Z
Rijeka	Rijeka	Npfsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ERSTE	ERSTE	Npmsn
)	)	Z
,	,	Z
