uredu	ured	Ncmsd
dostaviti	dostaviti	Vmn
do	do	Sg
20.	20.	Mdo
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
protekli	protekao	Agpmsayn
mjesec	mjesec	Ncmsan
specifikaciju	specifikacija	Ncfsa
tih	taj	Pd-mpg
energenata	energent	Ncmpg
,	,	Z
i	i	Cc
to	to	Qo
prema	prema	Sl
vrsti	vrsta	Ncfsl
energenata	energent	Ncmpg
po	po	Sl
šifri	šifra	Ncfsl
i	i	Cc
tarifnoj	tarifan	Agpfsly
oznaci	oznaka	Ncfsl
Kombinirane	kombiniran	Agpfsgy
nomenklature	nomenklatura	Ncfsg
,	,	Z
trgovačkom	trgovački	Agpmsly
nazivu	naziv	Ncmsl
,	,	Z
količini	količina	Ncfsl
,	,	Z
pošiljatelju	pošiljatelj	Ncmsl
i	i	Cc
datumu	datum	Ncmsl
primitka	primitak	Ncmsg
.	.	Z

Obračunavanje	obračunavanje	Ncnsn
duga	dug	Ncmsg
i	i	Cc
mogućeg	moguć	Agpmsgy
trošarinskog	trošarinski	Agpmsgy
duga	dug	Ncmsg

Članak	članak	Ncmsn
116.	116.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
prilikom	prilikom	Sg
puštanja	puštanje	Ncnsg
energenata	energent	Ncmpg
u	u	Sa
slobodni	slobodan	Agpmsayn
promet	promet	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
u	u	Sa
potrošnju	potrošnja	Ncfsa
ne	ne	Qz
može	moći	Vmr3s
točno	točno	Rgp
odrediti	odrediti	Vmn
svota	svota	Ncfsn
trošarinskog	trošarinski	Agpmsgy
duga	dug	Ncmsg
,	,	Z
dug	dug	Ncmsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
temeljem	temelj	Ncmsi
najvišeg	visok	Agsmsgy
iznosa	iznos	Ncmsg
trošarine	trošarina	Ncfsg
propisane	propisati	Ncfsg
za	za	Sa
određenu	određen	Agpfsay
vrstu	vrsta	Ncfsa
energenta	energent	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
prilikom	prilikom	Sg
određivanja	određivanje	Ncnsg
mogućeg	moguć	Agpmsgy
trošarinskog	trošarinski	Agpmsgy
duga	dug	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
točno	točno	Rgp
odrediti	odrediti	Vmn
svota	svota	Ncfsn
trošarinskog	trošarinski	Agpmsgy
duga	dug	Ncmsg
,	,	Z
on	on	Pi3n-n
se	sebe	Px--sa
određuje	određivati	Vmr3s
temeljem	temelj	Ncmsi
najvišeg	visok	Agsmsgy
iznosa	iznos	Ncmsg
trošarine	trošarina	Ncfsg
propisane	propisati	Ncfsg
za	za	Sa
određenu	određen	Agpfsay
vrstu	vrsta	Ncfsa
energenta	energent	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
85.	85.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Zakona	zakon	Ncmsg
energenti	energent	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
druge	drugi	Agpfpay
namjene	namjena	Ncfpa
,	,	Z
a	a	Cc
ne	ne	Qz
kao	kao	Cs
pogonsko	pogonski	Agpnsny
gorivo	gorivo	Ncnsn
ili	ili	Cc
gorivo	goriv	Agpnsny
za	za	Sa
grijanje	grijanje	Ncnsa
ili	ili	Cc
kao	kao	Cs
dodatak	dodatak	Ncmsan
pogonskom	pogonski	Agpnsly
gorivu	gorivo	Ncnsl
puštaju	puštati	Vmr3p
se	sebe	Px--sa
u	u	Sa
potrošnju	potrošnja	Ncfsa
ili	ili	Cc
prodaju	prodaja	Ncfsa
na	na	Sl
teritoriju	teritorij	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
bez	bez	Sg
obveze	obveza	Ncfsg
obračunavanja	obračunavanje	Ncnsg
trošarine	trošarina	Ncfsg
uz	uz	Sa
slijedeće	slijedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

1.	1.	Mdo
pri	pri	Sl
uvozu	uvoz	Ncmsl
kod	kod	Sg
puštanja	puštanje	Ncnsg
robe	roba	Ncfsg
u	u	Sa
slobodni	slobodan	Agpmsayn
promet	promet	Ncmsan
uvoznik	uvoznik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
uz	uz	Sa
propisane	propisati	Appfsgy
carinske	carinski	Agpfsgy
isprave	isprava	Ncfsg
podnijeti	podnijeti	Vmn
i	i	Cc
izjavu	izjava	Ncfsa
o	o	Sl
uvozu	uvoz	Ncmsl

2.	2.	Mdo
kod	kod	Sg
svake	svaki	Pi-fsg
prodaje	prodaja	Ncfsg
uz	uz	Sa
izjavu	izjava	Ncfsa
kupca	kupac	Ncmsg
o	o	Sl
kupnji	kupnja	Ncfsl
i	i	Cc
sa	sa	Si
računom	račun	Ncmsi
prodavatelja	prodavatelj	Ncmsg
na	na	Sl
kojem	koji	Pi-msl
je	biti	Var3s
upisana	upisati	Appfsny
napomena	napomena	Ncfsn
da	da	Cs
su	biti	Var3p
energenti	energent	Ncmpn
pušteni	pustiti	Appmpny
u	u	Sa
potrošnju	potrošnja	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
prodani	prodati	Appmpny
za	za	Sa
namjene	namjena	Ncfpa
koje	koji	Pi-fpn
nisu	biti	Var3p
niti	niti	Qo
pogon	pogon	Ncmsan
niti	niti	Qo
grijanje	grijanje	Ncnsa
.	.	Z

