međusobna	međusoban	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Ugovora	ugovor	Ncmsg
,	,	Z
Ministarstvu	ministarstvo	Ncnsl
dostaviti	dostaviti	Vmn
dva	dva	Mlc
potpisana	potpisan	Agpmsgn
primjerka	primjerak	Ncmsg
Ugovora	ugovor	Ncmsg
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
osobno	osobno	Rgp
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ugovorom	ugovor	Ncmsi
se	sebe	Px--sa
minimalno	minimalno	Rgp
uređuje	uređivati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
točan	točan	Agpmsann
udio	udjel	Ncmsan
i	i	Cc
visina	visina	Ncfsn
odobrene	odobren	Agpfsgy
potpore	potpora	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
namjena	namjena	Ncfsn
dodijeljene	dodijeljen	Agpfsgy
potpore	potpora	Ncfsg
;	;	Z

c	C	Npmsn
)	)	Z
način	način	Ncmsan
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
;	;	Z

d	d	Npmsv
)	)	Z
obveza	obveza	Ncfsn
čuvanja	čuvanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
predmet	predmet	Ncmsan
potpore	potpora	Ncfsg
sljedećih	sljedeći	Agpfpgy
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
datuma	datum	Ncmsg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
;	;	Z

e	e	I
)	)	Z
obveza	obveza	Ncfpg
,	,	Z
način	način	Ncmsan
i	i	Cc
rokovi	rok	Ncmpn
postupanja	postupanje	Ncnsg
s	sa	Si
predmetom	predmet	Ncmsi
potpore	potpora	Ncfsg
;	;	Z

f	f	Qr
)	)	Z
način	način	Ncmsan
i	i	Cc
postupak	postupak	Ncmsan
izvještavanja	izvještavanje	Ncnsg
;	;	Z

g	g	Npfsn
)	)	Z
obveza	obveza	Ncfsn
korisnika	korisnik	Ncmpg
da	da	Cs
dopusti	dopustiti	Vmr3s
u	u	Sl
svakom	svaki	Pi-msl
trenutku	trenutak	Ncmsl
nesmetan	nesmetan	Agpmsann
pristup	pristup	Ncmsan
i	i	Cc
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
ulaganje	ulaganje	Ncnsa
,	,	Z
te	te	Cc
obveza	obveza	Ncfsn
davanja	davanje	Ncnsg
na	na	Sa
uvid	uvid	Ncmsan
cjelokupne	cjelokupan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
vezane	vezan	Agpfpay
za	za	Sa
ulaganje	ulaganje	Ncnsa
;	;	Z

h	h	Npmsn
)	)	Z
zabrana	zabrana	Ncfsn
sufinanciranja	sufinanciranje	Ncnsg
ulaganja	ulaganje	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

i	i	Cc
)	)	Z
postupanje	postupanje	Ncnsa
u	u	Sl
slučaju	slučaj	Ncmsl
nastupanja	nastupanje	Ncnsg
nepredviđenih	nepredviđen	Agpfpgy
okolnosti	okolnost	Ncfpg
tijekom	tijekom	Sg
izvršenja	izvršenje	Ncnsg
Ugovora	ugovor	Ncmsg
;	;	Z

j	j	I
)	)	Z
odredbe	odredba	Ncfpa
o	o	Sl
raskidu	raskid	Ncmsl
Ugovora	ugovor	Ncmsg
;	;	Z

k	k	Npmsn
)	)	Z
nadležni	nadležan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
spora	spor	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
