KOMEETT	KOMEETT	Npmsn
AgS	AgS	Npmsn
MonsNl	MonsNl	Npmsn
LEVANZO	LEVANZO	Npmsn
Ka	k	Sd
Rhu	Rh	Npmsd
LINDA	Linda	Npfsn
Agr	Agr	Npfsn
SVEfr	SVEfr	Npfsn
LOGISTICA	LOGISTICA	Npfsn
RZ	RZ	Npfsn
Ka	Ka	Npfsn
Rhu	Rh	Npmsl
MAGNUS	MAGNUS	Xf
AgS	AgS	Npmsn
AgS	AgS	Npmsn
MATIAS	MATIAS	Npmsn
AgS	AgS	Npmsn
DRSnl	DRSnl	Npmsn
PABLO	PABLO	Npmsn
Agr	Agr	Npmsn
SVEfr	SVEfr	Npmsn
SULTAN	SULTAN	Npmsn
BZ	BZ	Npmsn
BZnl	BZnl	Npmsn
TASTERY	TASTERY	Xf
Ka	k	Xf
Rhu	Rhu	Xf
TORQUAY	TORQUAY	Xf
BZ	BZ	Npmsan
BZnl	BZnl	Npmsan
6.3.2.	6.3.2.	Mds

Raphanus	Raphanus	Xf
sativus	sativus	Xf
L.	L.	Y
var	var	Ncmsan
.	.	Z
radicula	radicuti	Vmp-sf
DC	DC	Npmsn
.	.	Z
–	–	Z
Rotkvica	rotkvica	Ncfsn
HELRO	HELR	Npmsg
Ka	K	Npmsg
Rhu	Rh	Npmsd
ROLEX	ROLEX	Npmsn
BZ	BZ	Npmsn
BZnl	BZnl	Npmsn
ROVER	ROVER	Npmsn
BZ	BZ	Npmsn
BZnl	BZnl	Npmsn
6.3.3.	6.3.3.	Mds

Lactuca	lactuca	Ncfsn
sativa	sativ	Ncmpg
L.	L.	Mro
–	–	Z
Salata	salata	Ncfsn
ABBICE	ABBICE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
AFICION	AFICION	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
ARGENTINAS	ARGENTINAS	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
BOREALE	BOREALE	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
CALORICE	CALORICE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
CAMBRIA	CAMBRIA	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
CLAUDIUS	CLAUDIUS	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
COMICE	COMICE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
DALMATION	DALMATION	Xf
Ka	k	Xf
Rhu	Rh	Npmsd
DELICE	DELICE	Npfsg
FM	FM	Npfsg
FM	FM	Npfsg
DONERTIE	DONERTIE	Npfsg
RZ	RZ	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
EOLE	EOLE	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
EXPLORE	EXPLORE	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
EXQUISE	EXQUISE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
FABIETTO	FABIETTO	Npfsn
RZ	RZ	Npfsn
Ka	K	Npmsay
Rhu	Rha	Npmsay
FLOREAL	FLOREA	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
FORLINA	FORLIN	Npmsay
RZ	R	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
GAUGIN	GAUGI	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
JAZZIE	JAZZI	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
JUDITA	JUDIT	Npmsay
RZ	R	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
LEVISTRO	LEVISTR	Npmsay
Ka	K	Npmsay
Rhu	Rha	Npmsay
LIRICE	LIRICE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
MURAI	MURAI	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
MUSICALE	MUSICALE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
NADINE	NADINE	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
PRISTALION	PRISTALION	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
REGLICE	REGLICE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
SALAKIS	SALAKIS	Npfsn
AgS	AgS	Npfsn
FM	FM	Npfsn
TONALE	TONALE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
TOUAREG	TOUAREG	Npfsn
AgS	AgS	Npfsn
MonsNl	MonsNl	Npfsn
TOURBILLON	TOURBILLON	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
TRIATHLON	TRIATHLON	Npfsn
Ka	Ka	Npfsn
PRS	PRS	Npfsn
VISYON	VISYON	Npfsn
Ka	Ka	Npfsn
Rhu	Rhu	Npfsn
ZERALDA	ZERALDA	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
6.3.4.	6.3.4.	Mdo

Spinacea	spinacea	Ncfsn
oleracea	olerace	Ncmsg
L.	L.	Y
–	–	Z
