kapljevine	kapljevina	Ncfpa
pod	pod	Si
pritiskom	pritisak	Ncmsi
--	--	Z
Specifikacije	specifikacija	Ncfsg
EN	EN	Npmsn
14814:2007	14814:2007	Mdc
Adhesives	Adhesives	Xf
for	for	Xf
thermoplastic	thermoplastic	Xf
piping	piping	Xf
systems	systems	Xf
for	for	Xf
fluids	fluids	Xf
under	under	Xf
pressure	pressure	Xf
--	--	Z
Specifications	Specifications	Npmsn
1.	1.	Mdo
1.	1.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14843:2008	14843:2008	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stube	Stube	Npmsn
EN	EN	Npmsn
14843:2007	14843:2007	Mdc
Precast	Precast	Xf
concrete	concrete	Xf
products	products	Xf
--	--	Z
Stairs	Stairs	Npmsn
1.	1.	Mdo
1.	1.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14844:2011	14844:2011	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Okvirni	okviran	Agpmpny
propusti	propust	Ncmpn
EN	EN	Npmsn
14844:2006	14844:2006	Mdc
+	+	Z
A2	A2	X
:	:	Z
2011	2011	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Box	box	Ncmsn
culverts	culverta	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
14844:2008	14844:2008	Mdc
(	(	Z
EN	EN	Npmsn
14844:2006	14844:2006	Mdc
+	+	Z
A1	A1	Xf
:	:	Z
2008	2008	Mdc
)	)	Z
1.	1.	Mdo
9.	9.	Mdo
2012.	2012.	Mdo
1.	1.	Mdo
9.	9.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14846:2008	14846:2008	Mdc
Građevni	građevni	Agpmpny
okovi	okov	Ncmpn
--	--	Z
Brave	brava	Ncfpn
i	i	Cc
zasuni	zasun	Ncmpn
--	--	Z
Elektromehaničke	elektromehanički	Agpfsgy
brave	brava	Ncfsg
i	i	Cc
otpuštajuće	otpuštajući	Agpfpny
pločice	pločica	Ncfpn
--	--	Z
Zahtjevi	zahtjev	Ncmpn
i	i	Cc
ispitne	ispitan	Agpfpny
metode	metoda	Ncfpn
EN	EN	Npmsn
14846:2008	14846:2008	Mdc
Building	builditan	Agpmsny
hardware	hardware	Ncmsn
--	--	Z
Locks	Locks	Npmsn
and	and	Xf
latches	latches	Xf
--	--	Xf
Electromechanically	Electromechanically	Xf
operated	operated	Xf
locks	locks	Xf
and	and	Xf
striking	striking	Xf
plates	plates	Xf
--	--	Z
Requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg
1.	1.	Mdo
9.	9.	Mdo
2011.	2011.	Mdo
1.	1.	Mdo
9.	9.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14889	14889	Mdc
-	-	Z
1:2007	1:200a	Ncfpn
Vlakna	vlakno	Ncnsg
za	za	Sa
beton	beton	Ncmsan
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Čelična	čeličan	Agpnpny
vlakna	vlakno	Ncnpn
--	--	Z
