Evaluation	Evaluation	Xf
of	of	Xf
conformity	conformity	Xf
/	/	Z
Product	product	Agpmsny
standard	standard	Ncmsn
1.	1.	Mdo
9.	9.	Mdo
2005.	2005.	Mdo
1.	1.	Mdo
9.	9.	Mdo
2006.	2006.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1123	1123	Mdc
-	-	Z
1:2008	1:2008	Mdc
Cijevi	cijev	Ncfsg
i	i	Cc
spojni	spojni	Agpmpny
dijelovi	dio	Ncmpn
od	od	Sg
uzdužno	uzdužno	Rgp
zavarenih	zavariti	Appnpgy
,	,	Z
vruće	vruće	Rgc
pocinčanih	pocinčati	Appfpgy
čeličnih	čeličan	Agpfpgy
cijevi	cijev	Ncfpg
s	sa	Si
ravnim	ravan	Agpmsiy
krajem	kraj	Ncmsi
i	i	Cc
naglavkom	naglavak	Ncmsi
za	za	Sa
sustave	sustav	Ncmpa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Zahtjevi	zahtjev	Ncmpn
,	,	Z
ispitivanje	ispitivanje	Ncnsa
i	i	Cc
kontrola	kontrola	Ncfsn
kvalitete	kvaliteta	Ncfsg
EN	EN	Npmsn
1123	1123	Mdc
-	-	Z
1:1999	1:1999	Mdc
Pipes	Pipes	Xf
and	and	Xf
fittings	fittings	Xf
of	of	Xf
longitudinally	longitudinally	Xf
welded	welded	Xf
hot-dip	hot-dip	Xf
galvanized	galvanized	Xf
steel	steel	Xf
pipes	pipes	Xf
with	with	Xf
spigot	spigot	Xf
and	and	Xf
socket	socket	Xf
for	for	Xf
waste	waste	Xf
water	water	Xf
systems	systems	Xf
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
Requirements	Requirements	Npmsn
,	,	Z
testing	testing	Ncmsn
,	,	Z
quality	quality	Xf
control	control	Xf
1.	1.	Mdo
6.	6.	Mdo
2005.	2005.	Mdo
1.	1.	Mdo
6.	6.	Mdo
2006.	2006.	Mdo

EN	EN	Npmsn
1123	1123	Mdc
-	-	Z
1:1999	1:1999	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2004	2004	Mdc
1.	1.	Mdo
6.	6.	Mdo
2005.	2005.	Mdo
1.	1.	Mdo
6.	6.	Mdo
2006.	2006.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1124	1124	Mdc
-	-	Z
1:2007	1:2007	Mdc
Cijevi	cijev	Ncfsg
i	i	Cc
oblikovni	oblikovni	Agpmpny
komadi	komad	Ncmpn
uzdužno	uzdužno	Rgp
zavarenih	zavariti	Agpfpgy
cijevi	cijev	Ncfpg
od	od	Sg
nehrđajućeg	nehrđajući	Agpmsgy
čelika	čelik	Ncmsg
s	sa	Si
ravnim	ravan	Agpmsiy
krajem	kraj	Ncmsi
i	i	Cc
naglavkom	naglavak	Ncmsi
za	za	Sa
sustave	sustav	Ncmpa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Zahtjevi	zahtjev	Ncmpn
,	,	Z
ispitivanje	ispitivanje	Ncnsn
,	,	Z
kontrola	kontrola	Ncfsn
kvalitete	kvaliteta	Ncfsg
EN	EN	Npmsn
1124	1124	Mdc
-	-	Z
1:1999	1:1999	Mdc
Pipes	Pipes	Xf
and	and	Xf
fittings	fittings	Xf
of	of	Xf
longitudinally	longitudinally	Xf
welded	welded	Xf
stainless	stainless	Xf
steel	steel	Xf
pipes	pipes	Xf
with	with	Xf
spigot	spigot	Xf
and	and	Xf
socket	socket	Xf
for	for	Xf
waste	waste	Xf
water	water	Xf
systems	systems	Xf
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
Requirements	Requirements	Npmsn
,	,	Z
testing	testing	Ncmsn
,	,	Z
quality	quality	Xf
control	control	Xf
1.	1.	Mdo
6.	6.	Mdo
2005.	2005.	Mdo
1.	1.	Mdo
6.	6.	Mdo
2006.	2006.	Mdo

EN	EN	Npmsn
1124	1124	Mdc
-	-	Z
1:1999	1:1999	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2004	2004	Mdc
1.	1.	Mdo
6.	6.	Mdo
2005.	2005.	Mdo
1.	1.	Mdo
6.	6.	Mdo
2006.	2006.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
1125:2008	1125:2008	Mdc
Građevni	građevni	Agpmpny
okovi	okov	Ncmpn
--	--	Z
Dijelovi	dio	Ncmpn
izlaza	izlaz	Ncmsg
za	za	Sa
nuždu	nužda	Ncfsa
s	sa	Si
pritisnom	pritisan	Agpfsiy
šipkom	šipka	Ncfsi
za	za	Sa
upotrebu	upotreba	Ncfsa
na	na	Sl
evakuacijskim	evakuacijski	Agpmply
putovima	put	Ncmpl
--	--	Pi-mpn
Zahtjevi	zahtjev	Ncmpn
i	i	Cc
ispitne	ispitan	Agpfpny
metode	metoda	Ncfpn
EN	EN	Npmsn
1125:2008	1125:2008	Mdc
Building	builditan	Agpmsny
hardware	hardware	Ncmsn
--	--	Z
Panic	Panic	Xf
exit	EXIT	Xf
devices	devices	Xf
operated	operated	Xf
by	by	Xf
a	a	Cc
horizontal	horizontal	Agpmsayn
bar	bar	Ncmsan
,	,	Z
for	for	Xf
use	use	Xf
on	on	Xf
escape	escape	Xf
routes	routes	Xf
--	--	Z
Requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
1125:2003	1125:2003	Mdc
(	(	Z
EN	EN	Npmsn
1125:1997	1125:1997	Mdc
)	)	Z
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2010.	2010.	Mdo

