podataka	podatak	Ncmpg
koje	koji	Pi-mpa
stavlja	stavljati	Vmr3s
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
,	,	Z

(	(	Z
b	b	X
)	)	Z
mišljenje	mišljenje	Ncnsn
o	o	Sl
sposobnosti	sposobnost	Ncfsl
,	,	Z
ako	ako	Cs
ga	on	Pp3msa
traži	tražiti	Vmr3s
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
i	i	Cc

(	(	Z
c	C	X
)	)	Z
mišljenje	mišljenje	Ncnsa
o	o	Sl
državi	država	Ncfsl
,	,	Z
ako	ako	Cs
ga	on	Pp3msa
traži	tražiti	Vmr3s
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
.	.	Z

3.	3.	Mdo
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
također	također	Rgp
zahtijevati	zahtijevati	Vmn
dodatne	dodatan	Agpfpay
informacije	informacija	Ncfpa
koje	koji	Pi-fpa
smatra	smatrati	Vmr3s
potrebnima	potreban	Mlompd
za	za	Sa
odluku	odluka	Ncfsa
o	o	Sl
prijavi	prijava	Ncfsl
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
.	.	Z

4.	4.	Mdo
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
odbija	odbijati	Vmr3s
prijavu	prijava	Ncfsa
za	za	Sa
otvaranje	otvaranje	Ncnsa
DCA-a	DCA	Npmsg
ako	ako	Cs
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
mjerila	mjerilo	Ncnpn
za	za	Sa
pristup	pristup	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
nisu	biti	Var3p
ispunjena	ispuniti	Appfsny
,	,	Z

(	(	Z
b	b	Npmsn
)	)	Z
jedno	jedan	Agpnsny
mjerilo	mjerilo	Ncnsn
ili	ili	Cc
više	mnogo	Rgc
mjerila	mjerilo	Ncnpg
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
ispunjeno	ispuniti	Appnsny
i	i	Qo
/	/	Z
ili	ili	Cc

(	(	Z
c	C	X
)	)	Z
bi	biti	Vaa3s
prema	prema	Sl
procjeni	procjena	Ncfsl
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
otvaranje	otvaranje	Ncnsn
DCA-a	DCA	Npmsg
ugrozilo	ugroziti	Vmp-sn
opću	opći	Agpfsay
stabilnost	stabilnost	Ncfsa
,	,	Z
solidnost	solidnost	Ncfsn
i	i	Cc
sigurnost	sigurnost	Ncfsa
sustava	sustav	Ncmsg
TARGET2-HR	TARGET2-HR	X
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-fpa
druge	drugi	Mlofsg
komponente	komponenta	Ncfsg
sustava	sustav	Ncmsg
TARGET2	TARGET2	Npmsn
,	,	Z
ili	ili	Cc
bi	biti	Vaa3s
ugrozilo	ugroziti	Vmp-sn
obavljanje	obavljanje	Ncnsa
zadaća	zadaća	Ncfpg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
utvrđenih	utvrditi	Agpmpgy
Zakonom	zakon	Ncmsi
o	o	Sl
Hrvatskoj	Hrvatska	Npfsl
narodnoj	narodni	Agpfsly
banci	banka	Ncfsl
i	i	Cc
Statutom	statut	Ncmsi
Europskog	europski	Agpmsgy
sustava	sustav	Ncmsg
središnjih	središnji	Agpfpgy
banaka	banka	Ncfpg
i	i	Cc
Europske	europski	Agpfsgy
središnje	središnji	Agpfsgy
banke	banka	Ncfsg
,	,	Z
ili	ili	Cc
je	biti	Var3s
rizik	rizik	Ncmsn
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
načelo	načelo	Ncnsa
opreznosti	opreznost	Ncfsg
.	.	Z

5.	5.	Mdo
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
dostavlja	dostavljati	Vmr3s
podnositelju	podnositelj	Ncmsd
prijave	prijava	Ncfsg
svoju	svoj	Px-fsa
odluku	odluka	Ncfsa
o	o	Sl
prijavi	prijava	Ncfsl
za	za	Sa
otvaranje	otvaranje	Ncnsa
