povezanim	povezan	Agpfpdy
osobama	osoba	Ncfpd
po	po	Sl
osnovi	osnova	Ncfsl
nabave	nabava	Ncfsg
roba	roba	Ncfpg
i	i	Cc
usluga	usluga	Ncfpg

II	ii	Mrc
.	.	Z
2.	2.	Mdo
Potraživanja	potraživanje	Ncnsg
od	od	Sg
povezanih	povezan	Agpfpgy
osoba	osoba	Ncfpg
po	po	Sl
osnovi	osnova	Ncfsl
isporuke	isporuka	Ncfsg
roba	roba	Ncfpg
i	i	Cc
usluga	usluga	Ncfpg

koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
istovjetne	istovjetan	Agpmpay
podatke	podatak	Ncmpa
u	u	Sl
točkama	točka	Ncfpl
1.	1.	Mdo
–	–	Z
6.	6.	Mdo
i	i	Cc
to	taj	Pd-nsn
:	:	Z

1.	1.	Mdo
Naziv	naziv	Ncmsn
/	/	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
povezane	povezan	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

2.	2.	Mdo
Osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
.	.	Z

3.	3.	Mdo
Sjedište	sjedište	Ncnsn
ili	ili	Cc
prebivalište	prebivalište	Ncnsn
.	.	Z

4.	4.	Mdo
Država	država	Ncfsn
sjedišta	sjedište	Ncnsg
/	/	Z
prebivališta	prebivalište	Ncnsg
.	.	Z

5.	5.	Mdo
Na	na	Sl
ovom	ovaj	Pd-msl
rednom	redni	Agpmsly
broju	broj	Ncmsl
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
slovna	slovni	Agpfsny
oznaka	oznaka	Ncfsn
(	(	Z
P	P	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
povezana	povezan	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
imaju	imati	Vmr3p
povlašteni	povlašten	Agpmsayn
porezni	porezni	Agpmsayn
status	status	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
.	.	Z

6.	6.	Mdo
Na	na	Sl
ovom	ovaj	Pd-msl
rednom	redni	Agpmsly
broju	broj	Ncmsl
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
slovna	slovni	Agpfsny
oznaka	oznaka	Ncfsn
(	(	Z
G	G	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
povezana	povezan	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
prijenos	prijenos	Ncmsan
poreznog	porezni	Agpmsgy
