obrada	obrada	Ncfsn
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
Uvjerenju	uvjerenje	Ncnsl
koje	koji	Pi-nsn
kandidat	kandidat	Ncmsn
za	za	Sa
vozača	vozač	Ncmsay
mora	morati	Vmr3s
priložiti	priložiti	Vmn
u	u	Sl
postupku	postupak	Ncmsl
izdavanja	izdavanje	Ncnsg
vozačke	vozački	Agpfsgy
dozvole	dozvola	Ncfsg
,	,	Z
a	a	Cc
vozač	vozač	Ncmsn
nakon	nakon	Sg
redovnog	redovan	Agpnsgy
ili	ili	Cc
izvanrednog	izvanredan	Agpmsgy
nadzornog	nadzorni	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
pregleda	pregled	Ncmsg
,	,	Z
može	moći	Vmr3s
biti	biti	Van
navedena	navesti	Appfsny
jedna	jedan	Mlcfsn
od	od	Sg
sljedećih	sljedeći	Agpfpgy
mogućih	moguć	Agpfpgy
ocjena	ocjena	Ncfpg
:	:	Z

1.	1.	Mdo
sposoban	sposoban	Agpmsann
–	–	Ncmsan
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
)	)	Z
,	,	Z

2.	2.	Mdo
sposoban	sposoban	Agpmsann
uz	uz	Sa
uporabu	uporaba	Ncfsa
određenih	određen	Agpnpgy
pomagala	pomagalo	Ncnpg
ili	ili	Cc
adaptaciju	adaptacija	Ncfsa
vozila	vozilo	Ncnsg
–	–	Z
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
i	i	Cc
vrstu	vrsta	Ncfsa
pomagala	pomagalo	Ncnsg
/	/	Z
adaptacije	adaptacija	Ncfsg
)	)	Z
,	,	Z

3.	3.	Mdo
sposoban	sposoban	Agpmsann
uz	uz	Sa
vremensko	vremenski	Agpnsay
ograničenje	ograničenje	Ncnsa
–	–	Z
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
i	i	Cc
rok	rok	Ncmsan
ponovnog	ponovan	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
pregleda	pregled	Ncmsg
)	)	Z
.	.	Z

Doktor	doktor	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
izdao	izdati	Vmp-sm
Uvjerenje	uvjerenje	Ncnsa
obvezan	obvezati	Appmsnn
je	biti	Var3s
upoznati	upoznati	Vmn
vozača	vozač	Ncmsay
i	i	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozača	vozač	Ncmsay
s	sa	Si
razlozima	razlog	Ncmpi
za	za	Sa
ograničenje	ograničenje	Ncnsa
,	,	Z

4.	4.	Mdo
sposoban	sposoban	Agpmsann
uz	uz	Sa
uporabu	uporaba	Ncfsa
određenih	određen	Agpnpgy
pomagala	pomagalo	Ncnpg
–	–	Z
(	(	Z
