prostornoga	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg

–		Agpnsiy
davanjem	davanje	Ncnsi
mišljenja	mišljenje	Ncnsg
,	,	Z
prijedloga	prijedlog	Ncmsg
i	i	Cc
primjedaba	primjedba	Ncfpg
na	na	Sa
prijedloge	prijedlog	Ncmpa
zakona	zakon	Ncmpg
i	i	Cc
podzakonskih	podzakonski	Agpmpgy
akata	akt	Ncmpg
te	te	Cc
upućivanjem	upućivanje	Ncnsi
inicijativa	inicijativa	Ncfsn
za	za	Sa
donošenje	donošenje	Ncnsa
novih	nov	Agpmpgy
propisa	propis	Ncmpg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
članove	član	Ncmpa
Komore	Komora	Npfsg
.	.	Z

Članak	članak	Ncmsn
58.	58.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Komora	komora	Ncfsn
u	u	Sl
cilju	cilj	Ncmsl
realizacije	realizacija	Ncfsg
interesa	interes	Ncmsg
članova	član	Ncmpg
Komore	komora	Ncfsg
,	,	Z
može	moći	Vmr3s
surađivati	surađivati	Vmn
s	sa	Si
drugim	drugi	Mlofpi
komorama	komora	Ncfpi
u	u	Sl
zemlji	zemlja	Ncfsl
i	i	Cc
inozemstvu	inozemstvo	Ncnsl
,	,	Z
udruženjima	udruženje	Ncnpi
i	i	Cc
drugim	drugi	Mlofpl
sličnim	sličan	Agpfply
asocijacijama	asocijacija	Ncfpl
u	u	Sl
zemlji	zemlja	Ncfsl
i	i	Cc
inozemstvu	inozemstvo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Komora	komora	Ncfsn
surađuje	surađivati	Vmr3s
sa	sa	Si
znanstvenim	znanstven	Agpfpiy
,	,	Z
stručnim	stručan	Agpnsiy
,	,	Z
obrazovnim	obrazovni	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
organizacijama	organizacija	Ncfpl
te	te	Cc
njihovim	njihov	Agpfply
zajednicama	zajednica	Ncfpl
radi	radi	Sg
primjene	primjena	Ncfsg
stručnih	stručan	Agpnpgy
i	i	Cc
znanstvenih	znanstven	Agpnpgy
dostignuća	dostignuće	Ncnpg
u	u	Sl
području	područje	Ncnsl
graditeljstva	graditeljstvo	Ncnsg
.	.	Z

XIII	xiii	Mrc
.	.	Z

