pitanja	pitanje	Ncnpn
prema	prema	Sl
trećima	treći	Ncmpl
ili	ili	Cc
zaštite	zaštita	Ncfsg
interesa	interes	Ncmpg
svojih	svoj	Px-mpg
članova	član	Ncmpg
prema	prema	Sl
trećima	treći	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Komora	komora	Ncfsn
može	moći	Vmr3s
osnivati	osnivati	Vmn
trgovačka	trgovački	Agpnpay
društva	društvo	Ncnpa
,	,	Z
udruge	udruga	Ncfsg
i	i	Cc
provoditi	provoditi	Vmn
osnivanja	osnivanje	Ncnpa
drugih	drugi	Mlompg
organizacijskih	organizacijski	Agpmpgy
oblika	oblik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Komora	komora	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
štititi	štititi	Vmn
svoja	svoj	Px-npa
osnivačka	osnivački	Agpnpay
prava	pravo	Ncnpa
odgovornim	odgovoran	Agpnsiy
uređivanjem	uređivanje	Ncnsi
djelatnosti	djelatnost	Ncfsg
,	,	Z
te	te	Cc
neposrednim	neposredan	Agpnsiy
sudjelovanjem	sudjelovanje	Ncnsi
u	u	Sl
obnašanju	obnašanje	Ncnsl
upravljačkih	upravljački	Agpnpgy
prava	pravo	Ncnpg
.	.	Z

V.	v.	Agpmpny
IMENICI	imenik	Ncmpn
,	,	Z
UPISNICI	upisnik	Ncmpn
I	i	Cc
EVIDENCIJE	evidencija	Ncfpn

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Komora	komora	Ncfsn
u	u	Sl
obavljanju	obavljanje	Ncnsl
javnih	javan	Agpfpgy
ovlasti	ovlast	Ncfpg
vodi	voditi	Vmr3s
imenike	imenik	Ncmpa
,	,	Z
upisnike	upisnik	Ncmpa
i	i	Cc
evidencije	evidencija	Ncfpa
koji	koji	Pi-mpn
su	biti	Var3p
javne	javan	Agpfpny
knjige	knjiga	Ncfpn
,	,	Z
a	a	Cc
isprave	isprava	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
izdaju	izdati	Vmr3p
u	u	Sl
obavljanju	obavljanje	Ncnsl
tih	taj	Pd-mpg
poslova	posao	Ncmpg
javne	javan	Agpfpny
su	biti	Var3p
isprave	isprava	Ncfpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Komora	komora	Ncfsn
u	u	Sl
okviru	okvir	Ncmsl
javnih	javan	Agpfpgy
ovlasti	ovlast	Ncfpg
uspostavlja	uspostavljati	Vmr3s
i	i	Cc
vodi	voditi	Vmr3s
:	:	Z

1.	1.	Mdo
imenike	imenik	Ncmpa
:	:	Z

1.	1.	Mdo
Imenik	imenik	Ncmsn
ovlaštenih	ovlašten	Agpmpgy
inženjera	inženjer	Ncmpg
elektrotehnike	elektrotehnika	Ncfsg

2.	2.	Mdo
Imenik	imenik	Ncmsn
ovlaštenih	ovlašten	Agpmpgy
voditelja	voditelj	Ncmpg
građenja	građenje	Ncnsg
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg

3.	3.	Mdo
Imenik	imenik	Ncmsn
ovlaštenih	ovlašten	Agpmpgy
voditelja	voditelj	Ncmpg
radova	rad	Ncmpg
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg

4.	4.	Mdo
Imenik	imenik	Ncmsn
stranih	stran	Agpmpgy
ovlaštenih	ovlašten	Agpmpgy
inženjera	inženjer	Ncmpg
elektrotehnike	elektrotehnika	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
stranih	stran	Agpmpgy
ovlaštenih	ovlašten	Agpmpgy
voditelja	voditelj	Ncmpg
građenja	građenje	Ncnsg
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
stranih	stran	Agpmpgy
ovlaštenih	ovlašten	Agpmpgy
voditelja	voditelj	Ncmpg
radova	rad	Ncmpg
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg
.	.	Z

2.	2.	Mdo
Upisnike	upisnik	Ncmpa
:	:	Z

1.	1.	Mdo
Upisnik	upisnik	Ncmsn
ureda	ured	Ncmsg
za	za	Sa
samostalno	samostalan	Agpnsay
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
projektiranja	projektiranje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
građenja	građenje	Ncnsg

2.	2.	Mdo
Upisnik	upisnik	Ncmsn
zajedničkih	zajednički	Agpmpgy
ureda	ured	Ncmpg
.	.	Z

3.	3.	Mdo
Evidencije	evidencija	Ncfsg
:	:	Z

1.	1.	Mdo
Evidenciju	evidencija	Ncfsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
izdanih	izdan	Agpmpgy
stranim	stran	Agpmpiy
inženjerima	inženjer	Ncmpi
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg

2.	2.	Mdo
Evidenciju	evidencija	Ncfsa
stranih	stran	Agpfpgy
ovlaštenih	ovlašten	Agpfpgy
osoba	osoba	Ncfpg
elektrotehničke	elektrotehnički	Agpfsgy
struke	struka	Ncfsg
kojima	koji	Pi-mpi
je	biti	Var3s
izdana	izdati	Appfsny
potvrda	potvrda	Ncfsn
za	za	Sa
povremeno	povremen	Agpnsay
ili	ili	Cc
privremeno	privremen	Agpnsay
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
projektiranja	projektiranje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
građenja	građenje	Ncnsg
,	,	Z
poslova	posao	Ncmpg
vođenja	vođenje	Ncnsg
građenja	građenje	Ncnsg
u	u	Sl
svojstvu	svojstvo	Ncnsl
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
poslova	posao	Ncmpg
voditelja	voditelj	Ncmpg
projekta	projekt	Ncmsg
gradnje	gradnja	Ncfsg
,	,	Z
poslova	posao	Ncmpg
ispitivanja	ispitivanje	Ncnsg
i	i	Cc
prethodnih	prethodan	Agpnpgy
istraživanja	istraživanje	Ncnpg

3.	3.	Mdo
Evidenciju	evidencija	Ncfsa
osoba	osoba	Ncfpg
kojima	koji	Pi-fpd
je	biti	Var3s
priznala	priznati	Vmp-sf
inozemne	inozeman	Agpfpay
stručne	stručan	Agpfpay
kvalifikacije	kvalifikacija	Ncfpa

4.	4.	Mdo
Evidenciju	evidencija	Ncfsa
izdanih	izdan	Agpfpgy
EU	EU	Ncfpg
potvrda	potvrda	Ncfpg
,	,	Z
provodi	provoditi	Vmr3s
obradu	obrada	Ncfsa
/	/	Z
pripremu	priprema	Ncfsa
IMI	im	Agpmsgn
dosjea	dosje	Ncmsg
u	u	Sl
informacijskom	informacijski	Agpmsly
sustavu	sustav	Ncmsl
unutarnjeg	unutarnji	Agpnsgy
tržišta	tržište	Ncnsg
i	i	Cc
izdaje	izdaja	Ncfsg
europsku	europski	Agpfsay
profesionalnu	profesionalan	Agpfsay
karticu	kartica	Ncfsa

5.	5.	Mdo
Evidenciju	evidencija	Ncfsa
voditelja	voditelj	Ncmsg
projekta	projekt	Ncmsg
gradnje	gradnja	Ncfsg

6.	6.	Mdo
Evidenciju	evidencija	Ncfsa
