donesen	donijeti	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
Plovputu	Plovput	Npmsl
,	,	Z
Split	Split	Npmsn
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
73/97	73/97	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Plovput	Plovput	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
raskinuti	raskinuti	Vmn
sve	sav	Agpmpay
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
staviti	staviti	Vmn
izvan	izvan	Sg
snage	snaga	Ncfsg
sve	sav	Agpmpay
akte	akt	Ncmpa
poslovanja	poslovanje	Ncnsg
donesene	donesen	Agpmpay
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Tarifnim	tarifan	Agpmsiy
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Od	od	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
za	za	Sa
brodove	brod	Ncmpa
na	na	Sl
kružnom	kružan	Agpnsly
putovanju	putovanje	Ncnsl
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
sljedeća	sljedeći	Agpfsny
visina	visina	Ncfsn
naknade	naknada	Ncfsg
:	:	Z

Tarifni	tarifan	Agpmsny
broj	broj	Ncmsn
7.	7.	Mdo
Putnički	putnički	Agpmsny
brod	brod	Ncmsn
za	za	Sa
kružna	kružan	Agpnpay
putovanja	putovanje	Ncnpa
Osnovica	osnovica	Ncfsn
obračuna	obračun	Ncmsg
(	(	Z
BT	BT	Npmsn
)	)	Z
Koeficijent	koeficijent	Ncmsan
naknade	naknada	Ncfsg
za	za	Sa
30	30	Mdc
dana-EUR	dana-EUR	Y
(	(	Z
bez	bez	Sg
PDV-a	PDV	Npmsg
)	)	Z
Koeficijent	koeficijent	Ncmsn
naknade	naknada	Ncfsg
za	za	Sa
12	12	Mdc
mjeseci-EUR	mjeseci-EUR	Y
(	(	Z
bez	bez	Sg
PDV-a	PDV	Npmsg
)	)	Z
7.1.	7.1.	Mds
≤	≤	Z
20.000	20.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,19	0,19	Mdc
0,64	0,64	Mdc
7.2.	7.2.	Mdo
20.001	20.001	Mdc
–	–	Z
30.000	30.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,14	0,14	Mdc
0,64	0,64	Mdc
7.3.	7.3.	Mdo
30.001	30.001	Mdc
–	–	Z
50.000	50.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,14	0,14	Mdc
0,48	0,48	Mdc
7.4.	7.4.	Mdo
50.001	50.001	Mdc
–	–	Z
80.000	80.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,12	0,12	Mdc
0,40	0,40	Mdc
7.5.	7.5.	Y
>	>	Z
80.000	80.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,12	0,12	Mdc
0,35	0,35	Mdc

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
te	te	Cc
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
001	001	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
02/04	02/04	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
530	530	Mdc
-	-	Z
04	04	Mdc
-	-	Z
2	2	Mdc
-	-	Z
1	1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
6	6	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
16.	16.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Siniša	Siniša	Npfsn
Hajdaš	Hajdaš	Npfsn
Dončić	Dončić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
I.	I.	Mro

TARIFA	tarifa	Ncfsn

Tarifni	tarifan	Agpmsny
broj	broj	Ncmsn
Plovni	plovan	Agpmpny
objekti	objekt	Ncmpn
prema	prema	Sl
kategoriji	kategorija	Ncfsl
,	,	Z
vrsti	vrsta	Ncfsl
,	,	Z
veličini	veličina	Ncfsl
i	i	Cc
namjeni	namjena	Ncfsl
Osnovica	osnovica	Ncfsn
obračuna	obračun	Ncmsg
(	(	Z
BT	BT	Npmsn
,	,	Z
DWT	DWT	Npmsan
ili	ili	Cc
kW	kW	Pd-nsn
)	)	Z
Koeficijent	koeficijent	Ncmsan
naknade	naknada	Ncfsg
za	za	Sa
30	30	Mdc
dana-EUR	dana-EUR	Y
(	(	Z
bez	bez	Sg
PDV-a	PDV	Npmsg
)	)	Z
Koeficijent	koeficijent	Ncmsn
naknade	naknada	Ncfsg
za	za	Sa
12	12	Mdc
mjeseci-EUR	mjeseci-EUR	Y
(	(	Z
bez	bez	Sg
PDV-a	PDV	Npmsg
)	)	Z
1.	1.	Mdo
Teretni	teretan	Agpmsny
brod	brod	Ncmsn
BT	BT	Npmsn
0,48	0,48	Mdc
1,60	1,60	Mdc
2.	2.	Mdo
Brod	brod	Ncmsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
rasutih	rasut	Agpmpgy
tereta	teret	Ncmpg
2.1.	2.1.	Ncfpg
≤	≤	Z
30.000	30.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,48	0,48	Mdc
1,60	1,60	Mdc
2.2.	2.2.	Mdo
30.001	30.001	Mdc
–	–	Z
50.000	50.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,43	0,43	Mdc
1,43	1,43	Mdc
2.3.	2.3.	Y
>	>	Z
50.000	50.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,37	0,37	Mdc
1,23	1,23	Mdc
3.	3.	Mdo
Tanker	tanker	Ncmsn
BT	BT	Npmsn
0,49	0,49	Mdc
1,64	1,64	Mdc
4.	4.	Mdo
RO-RO	ro-ro	Agpmsny
teretni	teretan	Agpmsny
brod	brod	Ncmsn
BT	BT	Npmsn
0,35	0,35	Mdc
1,17	1,17	Mdc
5.	5.	Mdo
Brod	brod	Ncmsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
kontejnera	kontejner	Ncmsg
5.1.	5.1.	Mds
≤	≤	Z
40.000	40.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,22	0,22	Mdc
1,00	1,00	Mdc
5.2.	5.2.	Y
>	>	Z
40.000	40.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,10	0,10	Mdc
0,55	0,55	Mdc
6.	6.	Mdo
Putnički	putnički	Agpmsny
brod	brod	Ncmsn
i	i	Cc
RO	RO	Npmsn
-	-	Z
RO	RO	Npmsn
putnički	putnički	Agpmsny
brod	brod	Ncmsn
BT	BT	Npmsn
0,19	0,19	Mdc
0,64	0,64	Mdc
7.	7.	Mdo
Putnički	putnički	Agpmsny
brod	brod	Ncmsn
za	za	Sa
kružna	kružan	Agpnpay
putovanja	putovanje	Ncnpa
7.1.	7.1.	Mds
≤	≤	Z
20.000	20.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,20	0,20	Mdc
0,70	0,70	Mdc
7.2.	7.2.	Mdo
20.001	20.001	Mdc
–	–	Z
50.000	50.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,161	0,161	Mdc
0,55	0,55	Mdc
7.3.	7.3.	Y
50.001	50.001	Mdc
–	–	Z
80.000	80.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,138	0,138	Mdc
0,46	0,46	Mdc
7.4.	7.4.	Y
>	>	Z
80.000	80.000	Mdc
BT	BT	Xf
BT	BT	Xf
0,137	0,137	Mdc
0,40	0,40	Mdc
8.	8.	Mdo
Brod	brod	Ncmsn
za	za	Sa
posebne	poseban	Agpfpay
namjene	namjena	Ncfpa
8.1.	8.1.	Mds

Znanstvenoistraživački	znanstvenoistraživački	Agpmsny
brod	brod	Ncmsn
BT	BT	Npmsn
0,19	0,19	Mdc
0,64	0,64	Mdc
8.2.	8.2.	Mds

Brod	brod	Ncmsn
za	za	Sa
opskrbu	opskrba	Ncfsa
BT	BT	Npmsn
/	/	Z
kW	ki	Agpnsny
0,48/0,23	0,48/0,23	Mdc
1,60/1,38	1,60/1,38	Mdc
9.	9.	Mdo
Tegljač	tegljač	Ncmsn
odnosno	odnosno	Rgp
potiskivač	potiskivačti	Vmr3s
BT	BT	Npmsan
/	/	Z
kW	kW	Y
0,25/0,23	0,25/0,23	Mdc
0,83/1,38	0,83/1,38	Mdc
10.	10.	Mdo

Brod	brod	Ncmsn
bez	bez	Sg
vlastitog	vlastit	Agpmsgy
pogona	pogon	Ncmsg
BT	BT	Npmsn
/	/	Z
DWT	DWT	Y
0,48/0,16	0,48/0,16	Mdc
1,60/1,02	1,60/1,02	Mdc
11.	11.	Mdo

Brod	brod	Ncmsn
u	u	Sl
remontu	remont	Ncmsl
i	i	Cc
tegljeni	tegliti	Ncfsl
brod	brod	Ncmsn
BT	BT	Npmsn
/	/	Z
kW	kW	Y
/	/	Z
DWT	DWT	Npmsn
0,25/0,12	0,25/0,12	Mdc
/	/	Z
0,10	0,10	Mdc
–	–	Z
12.	12.	Mdo

Brod	brod	Ncmsn
koji	koji	Pi-msn
isključivo	isključivo	Rgp
vrši	vršiti	Vmr3s
opskrbu	opskrba	Ncfsa
gorivom	goriv	Agpfsiy
BT	BT	Ncfsi
0,25	0,25	Mdc
–	–	Z
13.	13.	Mdo

Brod	brod	Ncmsn
koji	koji	Pi-msn
isključivo	isključivo	Rgp
mijenja	mijenjati	Vmr3s
posadu	posada	Ncfsa
BT	BT	Npmsn
0,25	0,25	Mdc
–	–	Z
14.	14.	Mdo

Ribarski	ribarski	Agpmsny
brod	brod	Ncmsn
BT	BT	Npmsn
0,19	0,19	Mdc
0,64	0,64	Mdc
15.	15.	Mdo

Tehnički	tehnički	Agpmsny
plovni	plovan	Agpmsny
objekt	objekt	Ncmsn
BT	BT	Npmsn
0,19	0,19	Mdc
0,64	0,64	Mdc
16.	16.	Mdo

Ostali	ostali	Agpmpny
neimenovani	neimenovani	Agpmpny
brodovi	brod	Ncmpn
BT	BT	Npmsn
0,48	0,48	Mdc
1,60	1,60	Mdc

