postavljenim	postavljen	Agpfpiy
na	na	Sl
istoj	isti	Agpfsly
visini	visina	Ncfsl
i	i	Cc
na	na	Sl
strani	strana	Ncfsl
plovila	plovilo	Ncnsg
prema	prema	Sl
plovnom	plovan	Agpmsly
putu	put	Ncmsl
i	i	Cc
vidljivim	vidljiv	Agpmsiy
sa	sa	Sg
svih	sav	Agpfpgy
strana	strana	Ncfpg
.	.	Z

Danju	danju	Rgp
:	:	Z

crni	crn	Agpmsny
balon	balon	Ncmsn
na	na	Sl
pogodnom	pogodan	Agpnsly
mjestu	mjesto	Ncnsl
na	na	Sl
pramčanom	pramčani	Agpmsly
dijelu	dio	Ncmsl
plovila	ploviti	Vmp-sf
dovoljno	dovoljno	Rgp
visoko	visok	Agpnsay
da	da	Cs
bude	biti	Var3s
vidljiv	vidljiv	Agpmsnn
sa	sa	Sg
svih	sav	Agpfpgy
strana	strana	Ncfpg
(	(	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
na	na	Sa
plovila	plovilo	Ncnpa
koja	koji	Pi-npn
stoje	stajati	Vmr3p
odvojeno	odvojiti	Appnsny
od	od	Sg
obale	obala	Ncfsg
i	i	Cc
koja	koji	Pi-fsn
nemaju	nemati	Vmr3p
izravan	izravan	Agpmsann
ili	ili	Cc
neizravan	neizravan	Agpmsann
pristup	pristup	Ncmsan
obali	obala	Ncfsl
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sastavi	sastav	Ncmpn
koji	koji	Pi-mpn
stoje	stajati	Vmr3p
odvojeno	odvojiti	Appnsny
od	od	Sg
obale	obala	Ncfsg
(	(	Z
bez	bez	Sg
izravnog	izravan	Agpmsgy
ili	ili	Cc
neizravnog	neizravan	Agpmsgy
pristupa	pristup	Ncmsg
obali	obaliti	Vmr3s
)	)	Z
moraju	morati	Vmr3p
imati	imati	Vmn
:	:	Z

Noću	noću	Rgp
:	:	Z

na	na	Sl
svakom	svaki	Pi-msl
plovilu	plovilo	Ncnsl
u	u	Sl
sastavu	sastav	Ncmsl
obično	obično	Rgp
bijelo	bijel	Agpnsay
svjetlo	svjetlo	Ncnsa
vidljivo	vidljiv	Agpnsay
sa	sa	Sg
svih	sav	Agpfpgy
strana	strana	Ncfpg
,	,	Z
postavljeno	postaviti	Appnsny
na	na	Sl
pogodnom	pogodan	Agpnsly
mjestu	mjesto	Ncnsl
i	i	Cc
na	na	Sl
visini	visina	Ncfsl
od	od	Sg
najmanje	malo	Rgs
4	4	Mdc
m.	m.	Y
Ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
svjetala	svjetlo	Ncnpg
koja	koji	Pi-npn
označavaju	označavati	Vmr3p
plovila	plovilo	Ncnpa
u	u	Sl
sastavu	sastav	Ncmsl
,	,	Z
ne	ne	Qz
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
plovilo	plovilo	Ncnsa
koje	koji	Pi-nsn
pokreće	pokretati	Vmr3s
sastav	sastav	Ncmsn
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
ograničiti	ograničiti	Vmn
na	na	Sa
četiri	četiri	Mlc
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
da	da	Cs
su	biti	Var3p
obrisi	obris	Ncmpn
sastava	sastav	Ncmsg
jasno	jasno	Rgp
označeni	označiti	Appmpny
.	.	Z

Danju	danju	Rgp
:	:	Z

crni	crn	Agpmsny
balon	balon	Ncmsn
na	na	Sl
čeonom	čeon	Agpnsly
plovilu	plovilo	Ncnsl
sastava	sastav	Ncmsg
ili	ili	Cc
na	na	Sl
krajnjem	krajnji	Agpnsly
vanjskom	vanjski	Agpnsly
plovilu	plovilo	Ncnsl
na	na	Sl
čelu	čelo	Ncnsl
sastava	sastav	Ncmsg
i	i	Cc
na	na	Sa
potiskivaču	potiskivač	Ncmsl
ukoliko	ukoliko	Cs
se	sebe	Px--sa
to	taj	Pd-nsn
primjenjuje	primjenjivati	Vmr3s
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Čamci	Čamc	Npmpn
,	,	Z
umjesto	umjesto	Sg
svjetla	svjetlo	Ncnsg
propisanog	propisati	Agpnsgy
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
mogu	moći	Vmr3p
imati	imati	Vmn
noću	noću	Rgp
obično	obično	Rgp
bijelo	bijel	Agpnsay
svjetlo	svjetlo	Ncnsa
na	na	Sl
nekom	neki	Pi-nsl
pogodnom	pogodan	Agpnsly
mjestu	mjesto	Ncnsl
i	i	Cc
na	na	Sl
takvoj	takav	Pd-fsl
visini	visina	Ncfsl
da	da	Cs
bude	biti	Var3s
vidljivo	vidljiv	Agpnsny
sa	sa	Sg
svih	sav	Agpfpgy
strana	strana	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obilježavanje	obilježavanje	Ncnsn
propisano	propisati	Appnsny
ovim	ovaj	Pd-msi
člankom	članak	Ncmsi
nije	biti	Var3s
obvezno	obvezan	Agpnsny
:	:	Z

a	a	Cc
)	)	Z
kad	kad	Cs
plovilo	plovilo	Ncnsn
stoji	stajati	Vmr3s
na	na	Sl
nekom	neki	Pi-msl
vodnom	vodni	Agpmsly
putu	put	Ncmsl
gdje	gdje	Cs
je	biti	Var3s
plovidba	plovidba	Ncfsn
privremeno	privremeno	Rgp
onemogućena	onemogućiti	Appfsny
ili	ili	Cc
zabranjena	zabraniti	Appfsny
,	,	Z

b	b	Npmsn
)	)	Z
kad	kad	Cs
plovilo	plovilo	Ncnsn
stoji	stajati	Vmr3s
duž	duž	Sg
obale	obala	Ncfsg
i	i	Cc
dovoljno	dovoljno	Rgp
je	biti	Var3s
osvijetljeno	osvijetliti	Appnsny
s	sa	Sg
obale	obala	Ncfsg
,	,	Z

c	C	Npmsn
)	)	Z
kad	kad	Cs
plovilo	plovilo	Ncnsn
stoji	stajati	Vmr3s
izvan	izvan	Sg
plovnog	plovan	Agpmsgy
puta	put	Ncmsg
u	u	Sl
potpuno	potpuno	Rgp
sigurnoj	siguran	Agpfsly
situaciji	situacija	Ncfsl
koja	koji	Pi-fsn
jasno	jasno	Rgp
ukazuje	ukazivati	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
nikakve	nikakav	Agpfsgy
opasnosti	opasnost	Ncfsg
,	,	Z

d	an	Mlcnsn
)	)	Z
za	za	Sa
čamce	čamac	Ncmpa
koji	koji	Pi-mpn
pripadaju	pripadati	Vmr3p
drugom	drugi	Mlonsl
plovilu	plovilo	Ncnsl
,	,	Z
ukoliko	ukoliko	Cs
stoje	stajati	Vmr3p
u	u	Sl
blizini	blizina	Ncfsl
plovila	ploviti	Vmp-sf
kojemu	koji	Pi-msd
pripadaju	pripadati	Vmr3p
,	,	Z

e	e	I
)	)	Z
za	za	Sa
plovila	plovilo	Ncnpa
iz	iz	Sg
članka	članak	Ncmsg
11.06	11.06	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
3.21	3.21	Mdc
Dodatno	dodatan	Agpnsny
obilježavanje	obilježavanje	Ncnsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
stajanja	stajanje	Ncnsg
plovila	plovilo	Ncnpg
koja	koji	Pi-npn
prevoze	prevoziti	Vmr3p
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn

Odredbe	odredba	Ncfpn
članka	članak	Ncmsg
3.14	3.14	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
isto	isto	Rgp
tako	tako	Rgp
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
plovila	plovilo	Ncnpa
i	i	Cc
sastave	sastav	Ncmpa
iz	iz	Sg
toga	taj	Pd-nsg
članka	članak	Ncmsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
stajanja	stajanje	Ncnsg
istih	isti	Agpmpgy
.	.	Z

Članak	članak	Ncmsn
3.22	3.22	Mdc
–	–	Z
Obilježavanje	obilježavanje	Ncnsn
skela	skela	Ncfpg
za	za	Sa
vrijeme	vrijeme	Ncnsa
stajanja	stajanje	Ncnsg
na	na	Sl
pristanima	pristan	Ncmpl

(	(	Z
1	1	Mdc
)	)	Z
Skele	skela	Ncfpn
koje	koji	Pi-fpn
ne	ne	Qz
plove	ploviti	Vmr3p
slobodno	slobodno	Rgp
,	,	Z
kada	kada	Rgp
stoje	stajati	Vmr3p
na	na	Sl
svojim	svoj	Px-mpl
pristanima	pristan	Ncmpl
,	,	Z
moraju	morati	Vmr3p
noću	noću	Rgp
imati	imati	Vmn
svjetla	svjetlo	Ncnsg
propisana	propisati	Appfsny
člankom	članak	Ncmsi
3.16	3.1	Agpmsiy
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Dodatno	dodatno	Rgp
,	,	Z
čeoni	čeon	Agpmsayn
čamac	čamac	Ncmsan
ili	ili	Cc
plovak	plovak	Ncmsan
skele	skela	Ncfsg
s	sa	Si
uzdužnim	uzdužan	Agpnsiy
užetom	uže	Ncnsi
mora	morati	Vmr3s
noću	noću	Rgp
imati	imati	Vmn
svjetla	svjetlo	Ncnsg
propisana	propisati	Appfsny
člankom	članak	Ncmsi
3.16	3.1	Agpmsiy
stavkom	stavak	Ncmsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Skele	skela	Ncfpa
koje	koji	Pi-fpn
slobodno	slobodno	Rgp
plove	plova	Ncfsg
,	,	Z
za	za	Sa
vrijeme	vrijeme	Ncnsa
stajanja	stajanje	Ncnsg
na	na	Sl
svojim	svoj	Px-mpl
pristanima	pristan	Ncmpl
moraju	morati	Vmr3p
noću	noću	Rgp
imati	imati	Vmn
svjetla	svjetlo	Ncnsg
propisana	propisati	Appfsny
člankom	članak	Ncmsi
3.16	3.1	Agpmsiy
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Za	za	Sa
vrijeme	vrijeme	Ncnsa
kratkotrajnog	kratkotrajan	Agpnsgy
stajanja	stajanje	Ncnsg
mogu	moći	Vmr3p
još	još	Rgp
zadržati	zadržati	Vmn
svjetla	svjetlo	Ncnsg
propisana	propisati	Appfsny
člankom	članak	Ncmsi
3.08	3.0	Agpmsiy
stavkom	stavak	Ncmsi
1.	1.	Mdo
točka	točka	Ncfsn
b	b	X
)	)	Z
i	i	Cc
c	C	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Čim	čim	Cs
skele	skela	Ncfpn
prestanu	prestati	Vmr3p
biti	biti	Van
u	u	Sl
pogonu	pogon	Ncmsl
,	,	Z
zeleno	zelen	Agpnsay
svjetlo	svjetlo	Ncnsa
navedeno	navesti	Appnsny
u	u	Sl
članku	članak	Ncmsl
3.16	3i	Agpmsly
stavku	stavak	Ncmsl
3.	3.	Mdo
točka	točka	Ncfsn
b	b	X
)	)	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
ugasiti	ugasiti	Vmn
.	.	Z

Članak	članak	Ncmsn
3.23	3.23	Mdc
–	–	Z
Obilježavanje	obilježavanje	Ncnsn
plutajućih	plutajući	Agpnpgy
tijela	tijelo	Ncnpg
i	i	Cc
plutajućih	plutajući	Agpmpgy
objekata	objekt	Ncmpg
za	za	Sa
vrijeme	vrijeme	Ncnsa
stajanja	stajanje	Ncnsg

(	(	Z
1	1	Mdc
)	)	Z
Bez	bez	Sg
povrede	povreda	Ncfsg
drugih	drugi	Mlompg
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
koji	koji	Pi-mpn
mogu	moći	Vmr3p
biti	biti	Van
postavljeni	postaviti	Appmpny
u	u	Sl
okviru	okvir	Ncmsl
članka	članak	Ncmsg
1.21	1.21	Mds
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
plutajuća	plutajući	Agpnpay
tijela	tijelo	Ncnpa
i	i	Cc
plutajući	plutajući	Agpmpny
objekti	objekt	Ncmpn
moraju	morati	Vmr3p
imati	imati	Vmn
:	:	Z

Noću	noću	Rgp
:	:	Z

na	na	Sl
strani	strana	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
okrenuta	okrenuti	Appfsny
plovnom	plovan	Agpmsly
putu	put	Ncmsl
dovoljan	dovoljan	Agpmsnn
broj	broj	Ncmsn
običnih	običan	Agpmpgy
bijelih	bijel	Agpmpgy
svjetala	svjetlo	Ncmpg
,	,	Z
vidljivih	vidljiv	Agpfpgy
sa	sa	Sg
svih	sav	Agpfpgy
strana	strana	Ncfpg
,	,	Z
radi	radi	Sg
označavanja	označavanje	Ncnsg
svojih	svoj	Px-fpg
kontura	kontura	Ncfpg
.	.	Z

Pritom	pritom	Rgp
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
3.20	3.20	Mdc
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
