sustava	sustav	Ncmsg
za	za	Sa
obilježavanje	obilježavanje	Ncnsa
vodnog	vodni	Agpmsgy
puta	put	Ncmsg
,	,	Z
zapovjednik	zapovjednik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
o	o	Sl
tome	taj	Pd-nsl
odmah	odmah	Rgp
izvijestiti	izvijestiti	Vmn
najbližu	blizak	Agsfsay
lučku	lučki	Agpfsay
kapetaniju	kapetanija	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zapovjednik	zapovjednik	Ncmsn
plovila	plovilo	Ncnsg
je	biti	Var3s
dužan	dužan	Agpmsnn
odmah	odmah	Rgp
izvijestiti	izvijestiti	Vmn
najbližu	blizak	Agsfsay
lučku	lučki	Agpfsay
kapetaniju	kapetanija	Ncfsa
o	o	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
događaju	događaj	Ncmsl
ili	ili	Cc
nesreći	nesreća	Ncfsl
koja	koji	Pi-fsn
ima	imati	Vmr3s
utjecaj	utjecaj	Ncmsan
na	na	Sa
znakove	znak	Ncmpa
i	i	Cc
oznake	oznaka	Ncfpa
vodnog	vodni	Agpmsgy
puta	put	Ncmsg
(	(	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
gašenje	gašenje	Ncnsn
svjetala	svjetlo	Ncmpg
,	,	Z
pomicanje	pomicanje	Ncnsn
plutača	plutača	Ncfpg
,	,	Z
uništenje	uništenje	Ncnsn
znakova	znak	Ncmpg
)	)	Z
.	.	Z

Članak	članak	Ncmsn
1.14	1.14	Mdc
–	–	Z
Oštećenje	oštećenje	Ncnsn
stalnih	stalan	Agpfpgy
građevina	građevina	Ncfpg

Ako	ako	Cs
plovilo	plovilo	Ncnsn
ili	ili	Cc
plutajuće	plutajući	Agpnsny
tijelo	tijelo	Ncnsn
ošteti	oštetiti	Vmr3s
neku	neki	Pi-fsa
stalnu	stalan	Agpfsay
građevinu	građevina	Ncfsa
(	(	Z
brodska	brodski	Agpfsny
prevodnica	prevodnica	Ncfsn
,	,	Z
most	most	Ncmsn
,	,	Z
pero	pero	Ncnsn
)	)	Z
,	,	Z
zapovjednik	zapovjednik	Ncmsn
mora	morati	Vmr3s
odmah	odmah	Rgp
o	o	Sl
tome	taj	Pd-nsl
izvijestiti	izvijestiti	Vmn
najbližu	blizak	Agpfsay
lučku	lučki	Agpfsay
kapetaniju	kapetanija	Ncfsa
.	.	Z

Članak	članak	Ncmsn
1.15	1.15	Mds
–	–	Z
Zabrana	zabrana	Ncfsn
bacanja	bacanje	Ncnsg
predmeta	predmet	Ncmpg
i	i	Cc
ispuštanja	ispuštanje	Ncnsg
tvari	tvar	Ncfpg
u	u	Sa
vodni	vodni	Agpmsayn
put	put	Ncmsan

(	(	Z
1	1	Mdc
)	)	Z
Zabranjeno	zabraniti	Appnsny
je	biti	Var3s
iz	iz	Sg
plovila	plovilo	Ncnpg
izbacivati	izbacivati	Vmn
,	,	Z
izlijevati	izlijevati	Vmn
ili	ili	Cc
ispuštati	ispuštati	Vmn
u	u	Sa
vodni	vodni	Agpmsayn
put	put	Ncmsan
bilo	bilo	Qo
kakve	kakav	Pi-mpa
predmete	predmet	Ncmpa
ili	ili	Cc
tvari	tvar	Ncfpa
koje	koji	Pi-fpn
mogu	moći	Vmr3p
prouzrokovati	prouzrokovati	Vmn
smetnje	smetnja	Ncfpa
ili	ili	Cc
predstavljati	predstavljati	Vmn
opasnost	opasnost	Ncfsa
za	za	Sa
plovidbu	plovidba	Ncfsa
ili	ili	Cc
za	za	Sa
druge	drugi	Mlompa
korisnike	korisnik	Ncmpa
