konvencijskih	konvencijski	Agpnpgy
prava	pravo	Ncnpg
ESLJP	ESLJP	Npmsn
je	biti	Var3s
dosudio	dosuditi	Vmp-sm
podnositelju	podnositelj	Ncmsd
na	na	Sa
ime	ime	Ncnsa
pravedne	pravedan	Agpfsgy
naknade	naknada	Ncfsg
7.500,00	7.500,00	Mdc
eura	euro	Ncmpg
i	i	Cc
na	na	Sa
ime	ime	Ncnsa
troškova	trošak	Ncmpg
postupka	postupak	Ncmsg
2.310,00	2.310,00	Mdc
eura	euro	Ncmpg
.	.	Z

Ne	ne	Qz
postoje	postojati	Vmr3p
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
biti	bit	Ncfsl
stvari	stvar	Ncfsg
.	.	Z

16.	16.	Mdo

Članak	članak	Ncmsn
32.	32.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
propisuje	propisivati	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
32.	32.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
odbaciti	odbaciti	Vmn
...	...	Z
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
ako	ako	Cs
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
...	...	Z
i	i	Cc
u	u	Sl
drugim	drugi	Agpmply
slučajevima	slučaj	Ncmpl
kad	kad	Cs
ne	ne	Qz
postoje	postojati	Vmr3p
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
biti	bit	Ncfsl
stvari	stvar	Ncfpg
«	«	Z
.	.	Z

17.	17.	Mdo

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
tijekom	tijekom	Sg
ustavnosudskog	ustavnosudski	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
ESLJP	ESLJP	Npmsn
donio	donijeti	Vmp-sm
presudu	presuda	Ncfsa
i	i	Cc
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
zbog	zbog	Sg
dugotrajnosti	dugotrajnost	Ncfsg
postupka	postupak	Ncmsg
vraćanja	vraćanje	Ncnsg
mlt	mla	Ncfsg
.	.	Z

C.	C.	Y
podnositelju	podnositelj	Ncmsl
povrijeđeno	povrijediti	Appnsny
pavo	pavo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
u	u	Sl
vezi	veza	Ncfsl
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
članka	članak	Ncmsg
13.	13.	Mdo

Konvencije	konvencija	Ncfpn
(	(	Z
članak	članak	Ncmsn
29.	29.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
35.	35.	Mdo

Ustava	ustava	Ncfsn
)	)	Z
,	,	Z
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
ustavne	ustavan	Agpfpny
tužbe	tužba	Ncfpn
prestale	prestati	Vmp-pf
su	biti	Var3p
postojati	postojati	Vmn
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
te	te	Cc
je	biti	Var3s
tom	taj	Pd-msl
dijelu	dio	Ncmsl
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
32.	32.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
podnositelja	podnositelj	Ncmpg
valjalo	valjati	Vmp-sn
rješenjem	rješenje	Ncnsi
odbaciti	odbaciti	Vmn
.	.	Z

18.	18.	Mdo

Osporeno	osporiti	Appnsny
rješenje	rješenje	Ncnsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
broj	broj	Ncmsn
:	:	Z
Gžzp-496	Gžzp-496	Mds
/	/	Z
14	14	Mdc
-	-	Z
2	2	Mdc
od	od	Sg
20.	20.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
pojedinačni	pojedinačan	Agpmsayn
akt	akt	Ncmsan
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
62.	62.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
protiv	protiv	Sg
kojeg	koji	Pi-msay
bi	biti	Vaa3s
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
bio	biti	Vap-sm
nadležan	nadležan	Agpmsnn
pružiti	pružiti	Vmn
ustavnosudsku	ustavnosudski	Agpfsay
zaštitu	zaštita	Ncfsa
te	te	Cc
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
32.	32.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
i	i	Cc
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
podnositelja	podnositelj	Ncmpg
valjalo	valjati	Vmp-sn
rješenjem	rješenje	Ncnsi
odbaciti	odbaciti	Vmn
.	.	Z

19.	19.	Mdo

Točke	točka	Ncfpn
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
odluke	odluka	Ncfsg
i	i	Cc
rješenja	rješenje	Ncnsg
temelje	temeljiti	Vmr3p
se	sebe	Px--sa
na	na	Sl
članku	članak	Ncmsl
29.	29.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
U-III-8175	U-III-8175	X
/	/	Z
2014	2014	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
28.	28.	Mdo
listopada	listopad	Ncmsg
2015.	2015.	Mdo

USTAVNI	ustavan	Agpmsny
SUD	sud	Ncmsn
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

Predsjednica	predsjednica	Ncfsn
Vijeća	vijeće	Ncnsg
dr.	dr.	Y
sc.	sc.	Y
Snježana	Snježana	Npfsn
Bagić	Bagić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

