najvažnijih	važan	Agsmpgy
elemenata	element	Ncmpg
sigurnosti	sigurnost	Ncfsg
prema	prema	Sl
ICAO-u	ICAO	Npmsl
.	.	Z

Ovi	ovaj	Pd-mpn
uspostavljeni	uspostaviti	Appmpny
mehanizmi	mehanizam	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
su	biti	Var3p
opasnosti	opasnost	Ncfpn
identificirane	identificirati	Appfpny
te	te	Cc
da	da	Cs
proces	proces	Ncmsn
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
od	od	Sg
strane	strana	Ncfsg
pružatelja	pružatelj	Ncmpg
usluga	usluga	Ncfpg
prati	pratiti	Vmr3s
regulatorne	regulatoran	Agpfpay
mjere	mjera	Ncfpa
uspostavljene	uspostaviti	Appfpay
u	u	Sl
formi	forma	Ncfsl
zahtjeva	zahtjev	Ncmpg
,	,	Z
specifičnih	specifičan	Agpmpgy
operativnih	operativan	Agpmpgy
propisa	propis	Ncmpg
i	i	Cc
implementacijskih	implementacijski	Agpmpgy
instrumenata	instrument	Ncmpg
.	.	Z

5.1.3	5.1.3	Agpmsny
Godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
nadzora	nadzor	Ncmsg
u	u	Sa
obzir	obzir	Ncmsan
treba	trebati	Vmr3s
uzeti	uzeti	Vmn
veličinu	veličina	Ncfsa
organizacije	organizacija	Ncfsg
,	,	Z
relevantne	relevantan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
okruženja	okruženje	Ncnsg
,	,	Z
aktivnosti	aktivnost	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
certifikacije	certifikacija	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Qo
podatke	podatak	Ncmpa
s	sa	Sg
proteklih	protekao	Agpmpgy
nadzora	nadzor	Ncmpg
.	.	Z

Nadzor	nadzor	Ncmsn
mora	morati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
ključne	ključan	Agpmpay
elemente	element	Ncmpa
i	i	Cc
identificirati	identificirati	Vmn
sve	sav	Agpmpay
nedostatke	nedostatak	Ncmpa
.	.	Z

Planiranje	planiranje	Ncnsn
nadzora	nadzor	Ncmsg
treba	trebati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
rezultate	rezultat	Ncmpa
identifikacije	identifikacija	Ncfsg
opasnosti	opasnost	Ncfsg
i	i	Cc
analize	analiza	Ncfsg
rizika	rizik	Ncmsg
koju	koji	Pi-fsa
provodi	provoditi	Vmr3s
i	i	Cc
održava	održavati	Vmr3s
pružatelj	pružatelj	Ncmsn
usluga	usluga	Ncfpg
u	u	Sl
sklopu	sklop	Ncmsl
vlastitoga	vlastit	Agpmsgy
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
sigurnošću	sigurnost	Ncfsi
.	.	Z

Kod	kod	Sg
planiranja	planiranje	Ncnsg
nadzora	nadzor	Ncmsg
u	u	Sa
obzir	obzir	Ncmsan
treba	trebati	Vmr3s
uzeti	uzeti	Vmn
i	i	Cc
druge	drugi	Mlompa
elemente	element	Ncmpa
(	(	Z
učestalost	učestalost	Ncfsn
događaja	događaj	Ncmpg
koji	koji	Pi-mpn
utječu	utjecati	Vmr3p
na	na	Sa
sigurnost	sigurnost	Ncfsa
,	,	Z
sigurnosne	sigurnosni	Agpmpay
probleme	problem	Ncmpa
(	(	Z
safety	safety	Xf
concern	concern	Xf
)	)	Z
,	,	Z
rezultate	rezultat	Ncmpa
RAMP	ram	Agpfpgy
inspekcija	inspekcija	Ncfpg
itd.	itd.	Y
)	)	Z
,	,	Z
kao	kao	Cs
i	i	Qo
poslovne	poslovan	Agpmpay
pokazatelje	pokazatelj	Ncmpa
(	(	Z
npr.	npr.	Y
financijski	financijski	Agpmsny
i	i	Cc
ekonomski	ekonomski	Agpmpny
rezultati	rezultat	Ncmpn
)	)	Z
.	.	Z

Podatke	podatak	Ncmpa
je	biti	Var3s
moguće	moguć	Agpnsny
kombinirano	kombiniran	Agpnsny
koristiti	koristiti	Vmn
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
prepoznali	prepoznati	Vmp-pm
nepoželjni	nepoželjan	Agpmpny
trendovi	trend	Ncmpn
te	te	Cc
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
utvrdila	utvrditi	Vmp-sf
potencijalna	potencijalan	Agpnpay
područja	područje	Ncnpa
na	na	Sa
koja	koji	Pi-fsn
treba	trebati	Vmr3s
usmjeriti	usmjeriti	Vmn
veću	velik	Agcfsay
pažnju	pažnja	Ncfsa
.	.	Z

5.1.4	5.1.4	Agpmsny
Nadzor	nadzor	Ncmsn
sigurnosti	sigurnost	Ncfsg
nad	nad	Si
pružateljima	pružatelj	Ncmpi
usluga	usluga	Ncfpg
u	u	Sl
civilnom	civilan	Agpnsly
zrakoplovstvu	zrakoplovstvo	Ncnsl
provode	provoditi	Vmr3p
zrakoplovni	zrakoplovan	Agpmpny
inspektori	inspektor	Ncmpn
.	.	Z

Zrakoplovni	zrakoplovan	Agpmsny
inspektor	inspektor	Ncmsn
vodi	voditi	Vmr3s
postupak	postupak	Ncmsan
,	,	Z
donosi	donositi	Vmr3s
rješenja	rješenje	Ncnsg
i	i	Cc
poduzima	poduzimati	Vmr3s
mjere	mjera	Ncfpa
u	u	Sl
opsegu	opseg	Ncmsl
svojih	svoj	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
obveza	obveza	Ncfsn
određenih	određen	Agpmpgy
Zakonom	zakon	Ncmsi
o	o	Sl
zračnom	zračan	Agpmsly
prometu	promet	Ncmsl
,	,	Z
propisima	propis	Ncmpl
donesenim	donijeti	Appmply
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
,	,	Z
drugim	drugi	Mlompi
propisima	propis	Ncmpi
,	,	Z
naredbama	naredba	Ncfpi
i	i	Cc
direktivama	direktiva	Ncfpl
Agencije	agencija	Ncfsg
,	,	Z
međunarodnim	međunarodni	Agpfpiy
obvezama	obveza	Ncfpi
i	i	Cc
EU	E	Npmsg
propisima	propis	Ncmpi
.	.	Z

5.1.5	5.1.5	Mdc
Proces	proces	Ncmsn
certificiranja	certificiranje	Ncnsg
i	i	Cc
nadzora	nadzor	Ncmpg
pružatelja	pružatelj	Ncmpg
usluga	usluga	Ncfpg
opisan	opisati	Appmsnn
je	biti	Var3s
u	u	Sl
internim	interni	Agpmply
dokumentima	dokument	Ncmpl
Agencije	agencija	Ncfsg
.	.	Z

Postupak	postupak	Ncmsn
nadzora	nadzor	Ncmsg
je	biti	Var3s
glavni	glavni	Agpmsny
alat	alat	Ncmsn
kojim	koji	Pi-msi
nadležne	nadležan	Agpfpny
vlasti	vlast	Ncfpn
pribavljaju	pribavljati	Vmr3p
objektivne	objektivan	Agpmpay
dokaze	dokaz	Ncmpa
o	o	Sl
usklađenosti	usklađenost	Ncfsl
organizacije	organizacija	Ncfsg
s	sa	Si
propisanim	propisati	Agpfpiy
obvezama	obveza	Ncfpi
.	.	Z

5.1.6	5.1.i	Agpfsny
Agencija	agencija	Ncfsn
je	biti	Var3s
predmet	predmet	Ncmsn
eksternih	eksteran	Agpfpgy
standardizacijskih	standardizacijski	Agpfpgy
inspekcija	inspekcija	Ncfpg
.	.	Z

Ekspertni	ekspertan	Agpmpny
timovi	tim	Ncmpn
EASA-e	EASA-a	Npfsg
kroz	kroz	Sa
standardizacijske	standardizacijski	Agpfpay
inspekcije	inspekcija	Ncfpa
provjeravaju	provjeravati	Vmr3p
način	način	Ncmsan
i	i	Cc
status	status	Ncmsan
implementacije	implementacija	Ncfsg
europske	europski	Agpfsgy
regulative	regulativa	Ncfsg
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
u	u	Sl
sklopu	sklop	Ncmsl
USOAP	USOAP	Pi-msg
programa	program	Ncmsg
(	(	Z
Universal	Universal	Xf
Safety	Safety	Xf
Oversight	Oversight	Xf
Audit	Audit	Xf
Programme	Programme	Xf
)	)	Z
,	,	Z
ICAO	ICAO	Npmsn
provodi	provoditi	Vmr3s
redoviti	redovit	Agpmsayn
audit	audit	Ncmsan
sustava	sustav	Ncmsg
nadzora	nadzor	Ncmsg
sigurnosti	sigurnost	Ncfsg
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
svih	sav	Agpmpgy
190	190	Mdc
ICAO	icao	Ncfpg
zemalja	zemlja	Ncfpg
članica	članica	Ncfpg
prema	prema	Sl
ICAO	ici	Agpfsly
SARPs	sarpa	Ncfsl
.	.	Z

5.2	5.i	Agpnsny
Prikupljanje	prikupljanje	Ncnsn
,	,	Z
analiza	analiza	Ncfsn
i	i	Cc
razmjena	razmjena	Ncfpg
podataka	podatak	Ncmpg
povezanih	povezan	Agpmpgy
sa	sa	Si
sigurnošću	sigurnost	Ncfsi

5.2.1	5.2.1	Agpmsny
Uvod	uvod	Ncmsn

Uredba	uredba	Ncfsn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
216/2008	216/2008	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
20.	20.	Mdo
veljače	veljača	Ncfsg
2008.	2008.	Mdo
o	o	Sl
zajedničkim	zajednički	Agpnply
pravilima	pravilo	Ncnpl
u	u	Sl
području	područje	Ncnsl
civilnog	civilan	Agpnsgy
zrakoplovstva	zrakoplovstvo	Ncnsg
i	i	Cc
osnivanju	osnivanje	Ncnsl
Europske	europski	Agpfsgy
agencije	agencija	Ncfsg
za	za	Sa
sigurnost	sigurnost	Ncfsa
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
postavlja	postavljati	Vmr3s
brojne	brojan	Agpmpay
ciljeve	cilj	Ncmpa
.	.	Z

Jedan	jedan	Mlcmsn
od	od	Sg
ciljeva	cilj	Ncmpg
je	biti	Var3s
promocija	promocija	Ncfsn
»	»	Z
kulture	kultura	Ncfsg
sigurnosti	sigurnost	Ncfsg
«	«	Z
uspostavom	uspostava	Ncfsi
sustava	sustav	Ncmsg
izvješćivanja	izvješćivanje	Ncnsg
o	o	Sl
događajima	događaj	Ncmpl
povezanim	povezan	Agpmply
sa	sa	Si
sigurnošću	sigurnost	Ncfsi
čija	čiji	Pi-fsn
svrha	svrha	Ncfsn
nije	biti	Var3s
dokazivanje	dokazivanje	Ncnsn
krivnje	krivnja	Ncfsg
ili	ili	Cc
kažnjavanje	kažnjavanje	Ncnsn
.	.	Z

Ovaj	ovaj	Pd-msn
se	sebe	Px--sa
cilj	cilj	Ncmsn
može	moći	Vmr3s
postići	postići	Vmn
samo	samo	Rgp
uz	uz	Sa
osiguranje	osiguranje	Ncnsa
odgovarajuće	odgovarajući	Agpfsgy
zaštite	zaštita	Ncfsg
takvih	takav	Pd-fpg
informacija	informacija	Ncfpg
.	.	Z

Drugi	drugi	Mlomsn
cilj	cilj	Ncmsn
je	biti	Var3s
osigurati	osigurati	Vmn
