VRSTA	vrsta	Ncfsn
ŽIVOTINJE	životinja	Ncfsg
KRAVE	krava	Ncfsg
KOBILE	kobila	Ncfsg
KRMAČE	krmača	Ncfsg
OVCE	ovca	Ncfsg
KOZE	koza	Ncfsg
ARTERITIS	ARTERITIS	Npmsn
KONJA	konj	Ncmsg
X	X	X
BRUCELOZA	bruceloza	Ncfpg
GOVEDA	govedo	Ncnsg
X	X	Agpfpgy
BRUCELOZA	bruceloza	Ncfpg
SVINJA	svinja	Ncfsn
X	X	Agpfsny
BOLEST	bolest	Ncfsn
AUJESZKOGA	AUJESZKOG	Npmsg
X	X	Agpfpgy
BRUCELOZA	bruceloza	Ncfpg
OVACA	ovca	Ncfpg
I	i	Cc
KOZA	koza	Ncfsn
(	(	Z
B.	B.	Y
melitensis	melitensis	Xf
)	)	Z
X	X	Xf
X	X	Xf
ENZOOTSKI	enzootski	Agpmsayn
POBAČAJ	pobačaj	Ncmsan
OVACA	ovca	Ncfpg
X	X	X
X	X	X
BRUCELOZA	bruceloza	Ncfpg
OVACA	ovca	Ncfpg
(	(	Z
B.	B.	Y
ovis	ovis	Xf
)	)	Z
X	X	X
GENITALNA	genitalni	Agpfsny
KAMPILOBAKTERIOZA	KAMPILOBAKTERIOZA	Npfsn
X	X	Xf
X	X	Xf
X	X	Xf
LEPTOSPIROZA	leptospiroza	Ncfpg
X	X	X
X	X	X
X	X	X
X	X	X
X	X	X
Q-GROZNICA	q-groznica	Ncfpg
X	X	X
X	X	Xf
X	X	Xf
RINOPNEUMONITIS	RINOPNEUMONITIS	Xf
KONJA	konj	Ncmsg
X	X	X
KONTAGIOZNI	kontagiozni	Ncfpg
METRITIS	metriti	Agpfpgy
KOBILA	kobila	Ncfpg
X	X	Agpfpgy
INFEKCIJA	infekcija	Ncfpg
SCHMALLENBERG	SCHMALLENBERG	Npfsg
VIRUSOM	virus	Ncmsi
X	X	X
X	X	X
X	X	X
KLAMIDIOZA	klamidioi	Agpnsgy
GOVEDA	govedo	Ncnsg
X	X	X
NEOSPOROZA	neosporoi	Agpnsgy
GOVEDA	govedo	Ncnsg
X	X	X
TOKSOPLAZMOZA	TOKSOPLAZMOZ	Npmpg
OVACA	ovca	Ncfpg
I	i	Cc
KOZA	koza	Ncfsn
X	X	Xf
X	X	Xf
LABORATORIJ	laboratorij	Ncmsn
U	u	Sa
KOJI	koji	Pi-msan
SE	sebe	Px--sa
ŠALJU	slati	Vmr3p
UZORCI	uzorak	Ncmpn
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Veterinarski	veterinarski	Agpmpny
zavodi	zavod	Ncmpn
Križevci	Križevc	Npmpn
,	,	Z
Vinkovci	Vinkovca	Npfsl
,	,	Z
Rijeka	Rijeka	Npfsn
i	i	Cc
Split	Split	Npmsn
Veterinarski	veterinarski	Agpmsny
fakultet	fakultet	Ncmsn
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Veterinarski	veterinarski	Agpmpny
zavodi	zavod	Ncmpn
Križevci	Križevc	Npmpn
,	,	Z
Vinkovci	Vinkovca	Npfsl
,	,	Z
Rijeka	Rijeka	Npfsn
i	i	Cc
Split	Split	Npmsn
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Veterinarski	veterinarski	Agpmpny
zavodi	zavod	Ncmpn
Križevci	Križevc	Npmpn
,	,	Z
Vinkovci	Vinkovca	Npfsl
,	,	Z
Rijeka	Rijeka	Npfsn
i	i	Cc
Split	Split	Npmsn
HVI	HVI	Npmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Veterinarski	veterinarski	Agpmpny
zavodi	zavod	Ncmpn
Križevci	Križevc	Npmpn
,	,	Z
Vinkovci	Vinkovca	Npfsl
,	,	Z
Rijeka	Rijeka	Npfsn
i	i	Cc
Split	Split	Npmsn
MATERIJAL	materijal	Ncmsn
KOJI	koji	Pi-msn
SE	sebe	Px--sa
DOSTAVLJA	dostavljati	Vmr3s
RADI	radi	Sg
LABORATORIJSKIH	laboratorijski	Agpfpgy
PRETRAGA	pretraga	Ncfpg
Krv	Krv	Npfsg
,	,	Z
bris	bris	Ncmsan
rodnice	rodnica	Ncfsg
,	,	Z
pobačeni	pobaciti	Agpmsayn
plod	plod	Ncmsan
,	,	Z
placenta	placentati	Vmr3s
Krv	krv	Ncfsa
,	,	Z
bris	bris	Ncmsan
rodnice	rodnica	Ncfsg
,	,	Z
pobačeni	pobaciti	Agpmsayn
plod	plod	Ncmsan
,	,	Z
placenta	placentati	Vmr3s
Krv	krv	Ncfsa
,	,	Z
bris	bris	Ncmsan
rodnice	rodnica	Ncfsg
,	,	Z
pobačeni	pobaciti	Agpmsayn
plod	plod	Ncmsan
,	,	Z
placenta	placentati	Vmr3s
Krv	krv	Ncfsa
,	,	Z
bris	bris	Ncmsan
rodnice	rodnica	Ncfsg
,	,	Z
pobačeni	pobaciti	Agpmsayn
plod	plod	Ncmsan
,	,	Z
placenta	placentati	Vmr3s
Krv	krv	Ncfsa
,	,	Z
bris	bris	Ncmsan
rodnice	rodnica	Ncfsg
,	,	Z
pobačeni	pobaciti	Agpmsayn
plod	plod	Ncmsan
,	,	Z
placenta	placent	Ncmsg

