nepravilnosti	nepravilnost	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
izricanje	izricanje	Ncnsa
nadzornih	nadzorni	Agpfpgy
mjera	mjera	Ncfpg
–	–	Z
20.000,00	20.000,00	Mdc
kn	KN	Ncmpg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obveznici	obveznik	Ncmpn
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
otvorenim	otvoren	Agpmply
investicijskim	investicijski	Agpmply
fondovima	fond	Ncmpl
s	sa	Si
javnom	javan	Agpfsiy
ponudom	ponuda	Ncfsi
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZOIFJP	ZOIFJP	Npmsn
)	)	Z
su	biti	Var3p
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
,	,	Z
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
iz	iz	Sg
drugih	drugi	Mlofpg
država	država	Ncfpg
članica	članica	Ncfpg
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
iz	iz	Sg
trećih	treći	Ncfsg
država	država	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
Agenciji	Agencija	Npfsd
obraćaju	obraćati	Vmr3p
sa	sa	Si
zahtjevom	zahtjev	Ncmsi
i	i	Cc
/	/	Z
ili	ili	Cc
putem	put	Sg
obavijesti	obavijest	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
za	za	Sa
poduzete	poduzet	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

Br.	Br.	Y

Administrativna	administrativan	Agpfsny
pristojba	pristojba	Ncfsn
Naknada	naknada	Ncfsn
1.	1.	Mdo
Odobrenje	odobrenje	Ncnsn
za	za	Sa
rad	rad	Ncmsan
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
23.	23.	Mdo

ZOIFJP-a	ZOIFJP	Npmsg
2.000,00	2.000,00	Mdc
kn	KN	Xf
20.000,00	20.000,00	Mdc
kn	KN	Ncmsn
2.	2.	Mdo
Proširenje	proširenje	Ncnsn
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
24.	24.	Mdo

ZOIFJP-a	ZOIFJP	Npmsg
1.000,00	1.000,00	Mdc
kn	KN	Xf
10.000,00	10.000,00	Mdc
kn	KN	Y
3.	3.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
statusne	statusni	Agpfpay
promjene	promjena	Ncfpa
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
(	(	Z
pripajanje	pripajanje	Ncnsa
,	,	Z
spajanje	spajanje	Ncnsn
i	i	Cc
podjela	podjela	Ncfpg
)	)	Z
–	–	Agpmsny
članak	članak	Ncmsn
35.	35.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOIFJP-a	zoifjp-	Ncmsg
1.000,00	1.000,00	Mdc
kn	KN	Ncmsan
10.000,00	10.000,00	Mdc
kn	KN	Y
4.	4.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
funkcije	funkcija	Ncfsg
prokurista	prokurist	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
38.	38.	Mdo
stavak	stavak	Ncmsn
7.	7.	Mdo
ZOIFJP-a	zoifjp-	Ncmsg
850,00	850,00	Mdc
kn	KN	Ncmsan
8.500,00	8.500,00	Mdc
kn	KN	Y
5.	5.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
funkcije	funkcija	Ncfsg
člana	član	Ncmsg
uprave	uprava	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
41.	41.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOIFJP-a	zoifjp-	Ncmsg
850,00	850,00	Mdc
kn	KN	Ncmsan
8.500,00	8.500,00	Mdc
kn	KN	Y
6.	6.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
delegiranje	delegiranje	Ncnsa
poslova	posao	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
64.	64.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOIFJP-a	zoifjp-	Ncmsg
500,00	500,00	Mdc
kn	KN	Ncmsan
5.000,00	5.000,00	Mdc
kn	KN	Y
7.	7.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
stjecanje	stjecanje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
u	u	Sl
društvu	društvo	Ncnsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
–	–	Z
članak	članak	Ncmsn
67.	67.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOIFJP-a	zoifjp-	Ncmsg
1.500,00	1.500,00	Mdc
kn	KN	Ncmsan
15.000,00	15.000,00	Mdc
kn	KN	Y
8.	8.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
