Obrazac	obrazac	Ncmsn
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
potpisa	potpis	Ncmpg
birača	birač	Ncmpg
uz	uz	Sa
kandidaturu	kandidatura	Ncfsa
,	,	Z

–	i	Agpnsny
OLN-4	oln-4	Ncnsn
–	–	Z
Očitovanje	očitovanje	Ncnsn
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
kandidature	kandidatura	Ncfsg
,	,	Z

–	–	Z
OLN-5	OLN-5	Mdc
–	–	Z
Glasački	glasački	Agpmsny
listić	listić	Ncmsn
za	za	Sa
izbor	izbor	Ncmsan
općinskog	općinski	Agpmsgy
načelnika	načelnik	Ncmsg
općine	općina	Ncfsg
,	,	Z

–	–	Z
OLN-6	OLN-6	Mdc
–	–	Z
Glasački	glasački	Agpmsny
listić	listić	Ncmsn
za	za	Sa
izbor	izbor	Ncmsan
gradonačelnika	gradonačelnik	Ncmpg
grada	grad	Ncmsg
,	,	Z

–	i	Agpnsny
OLN-8	oln-8	Ncnsn
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
za	za	Sa
izbor	izbor	Ncmsan
općinskog	općinski	Agpmsgy
načelnika	načelnik	Ncmsg
/	/	Z
gradonačelnika	gradonačelnik	Ncmsg
,	,	Z

–	–	Z
OLN-10	OLN-10	Mdc
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
općinskog	općinski	Agpmsgy
/	/	Z
gradskog	gradski	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
izbor	izbor	Ncmsan
općinskog	općinski	Agpmsgy
načelnika	načelnik	Ncmsg
/	/	Z
gradonačelnika	gradonačelnik	Ncmsg
,	,	Z

–	–	Z
OLN-14	OLN-14	Mdc
–	–	Z
Glasački	glasački	Agpmsny
listić	listić	Ncmsn
za	za	Sa
ponovljene	ponoviti	Agpmpay
izbore	izbor	Ncmpa
–	–	Z
drugi	drugi	Mlomsan
krug	krug	Ncmsan
izbora	izbor	Ncmpg
za	za	Sa
izbor	izbor	Ncmsan
općinskog	općinski	Agpmsgy
načelnika	načelnik	Ncmsg
,	,	Z

–	–	Z
OLN-15	OLN-15	Mdc
–	–	Z
Glasački	glasački	Agpmsny
listić	listić	Ncmsn
za	za	Sa
ponovljene	ponoviti	Agpmpay
izbore	izbor	Ncmpa
–	–	Z
drugi	drugi	Mlomsan
krug	krug	Ncmsan
izbora	izbor	Ncmpg
za	za	Sa
izbor	izbor	Ncmsan
gradonačelnika	gradonačelnik	Ncmpg
.	.	Z

1.3.	1.3.	Mdo

Obvezatne	obvezatan	Agpfpny
upute	uputa	Ncfpn
broj	broj	Ncmsn
LS	LS	Npmsn
III	III	Mrc
–	–	Z
Postupak	postupak	Ncmsn
kandidiranja	kandidiranje	Ncnsg
za	za	Sa
članove	član	Ncmpa
predstavničkih	predstavnički	Agpnpgy
tijela	tijelo	Ncnpg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
od	od	Sg
12.	12.	Mdo
travnja	travanj	Ncmsg
2013.	2013.	Mdo
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
06/13	06/13	Mdc
-	-	Z
03	03	Mdc
-	-	Z
03	03	Mdc
;	;	Z
urbroj	urbroj	Ncmsn
:	:	Z
507/18	507/18	Mdc
-	-	Z
13	13	Mdc
-	-	Z
01	01	Mdc
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
44/13	44/13	Mds
)	)	Z
,	,	Z

1.4.	1.4.	Mdo

Obvezatne	obvezatan	Agpfpny
upute	uputa	Ncfpn
broj	broj	Ncmsn
LN	LN	Npmsn
III	III	Mrc
–	–	Z
Postupak	postupak	Ncmsan
kandidiranja	kandidiranje	Ncnsg
kandidata	kandidat	Ncmpg
za	za	Sa
općinske	općinski	Agpmpay
načelnike	načelnik	Ncmpa
,	,	Z
gradonačelnike	gradonačelnik	Ncmpa
i	i	Cc
župana	župan	Ncmpg
,	,	Z
te	te	Cc
njihove	njihov	Ps3mpa
zamjenike	zamjenik	Ncmpa
,	,	Z
od	od	Sg
12.	12.	Mdo
travnja	travanj	Ncmsg
2013.	2013.	Mdo
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
05/13	05/13	Mdc
-	-	Z
03/04	03/04	Mdc
;	;	Z
urbroj	urbroj	Ncmsn
:	:	Z
507/18	507/18	Mdc
-	-	Z
13	13	Mdc
-	-	Z
01	01	Mdc
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
44/13	44/13	Mds
)	)	Z
i	i	Cc

1.5.	1.5.	Mdo

Obvezatne	obvezatan	Agpfpny
upute	uputa	Ncfpn
broj	broj	Ncmsn
LS	LS	Npmsn
IV	IV	Mrc
,	,	Z
LN	LN	Npmsn
IV	IV	Npmsn
i	i	Cc
MLN	MLN	Npmsn
IV	IV	Mrc
–	–	Z
o	o	Sl
načinu	način	Ncmsl
uređenja	uređenje	Ncnsg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
,	,	Z
od	od	Sg
12.	12.	Mdo
travnja	travanj	Ncmsg
2013.	2013.	Mdo
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
06/13	06/13	Mdc
-	-	Z
03/04	03/04	Mdc
;	;	Z
urbroj	urbroj	Ncmsn
:	:	Z
507/18	507/18	Mdc
-	-	Z
13	13	Mdc
-	-	Z
01	01	Mdc
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
44/13	44/13	Mds
)	)	Z
.	.	Z

2.	2.	Mdo
Ove	ovaj	Pd-fsg
Obvezatne	obvezatan	Agpfsgy
upute	uputa	Ncfsg
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
5.	5.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
06/15	06/15	Mdc
-	-	Z
03/01	03/01	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
507/19	507/19	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
5.	5.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Branko	Branko	Npmsn
Hrvatin	Hrvatin	Npmsn
,	,	Z
dipl.	dipl.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

