(±)	(±)	Npmsn
-3	-3	Mdc
-	-	Z
[	[	Z
(	(	Z
α-methylphenylethyl	α-methylphenylethyl	Npmsn
)	)	Z
amino	amino	Ncmsn
]	]	Z
propionitrile	propionitrile	Agpmsny
fentermin	fentermin	Ncmsn
Phentermine	Phentermina	Npfsg
α	α	Npfsg
,	,	Z
α-dimetilfenetilamin	α-dimetilfenetilamin	Ncmsn
α	α	Qr
,	,	Z
α-dimethylphenethylamine	α-dimethylphenethylamina	Ncfpn
fludiazepam	fludiazepam	Pp1-pd
Fludiazepam	Fludiazepam	Npmsn
7-klor	7-klor	Npmsn
-5	-5	Npmsn
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-1-metil	-1-metil	Ncnsn
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
7-chloro	7-chloro	Npmsn
-5	-5	Npmsn
-	-	Z
(	(	Z
o-fluorophenyl	o-fluorophenyl	Npmsn
)	)	Z
-1,3-dihydro	-1,3-dihydro	Xf
-1-methyl	-1-methyl	Xf
-2	-2	Xf
H-1	H-1	Xf
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npfsg
-2-one	-2-ona	Npfsg
flurazepam	flurazepam	Pp1-pd
Flurazepam	Flurazepam	Npmsn
7-klor	7-klor	Npmsn
-1	-1	Mdc
-	-	Z
[	[	Z
2	2	Mdc
-	-	Z
(	(	Z
dietilamino	dietilamino	Ncmsn
)	)	Z
etil	etil	Ncmsan
]	]	Z
-5	-5	Mds
-	-	Z
(	(	Z
o-fluorofenil	o-fluorofenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-2	-2	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
7-chloro	7-chloro	Npmsn
-1	-1	Mdc
-	-	Z
[	[	Z
2	2	Mdc
-	-	Z
(	(	Z
diethylamino	diethylamino	Ncmsn
)	)	Z
ethyl	ethyl	Ncmsn
]	]	Z
-5	-5	Mdc
-	-	Z
(	(	Z
o-fluorophenyl	o-fluorophenyl	Npmsn
)	)	Z
-1,3-dihydro	-1,3-dihydr	Agpnsny
-2	-2	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npfsg
-2-one	-2-ona	Npfsg
halazepam	halazepam	Pp1-pd
Halazepam	Halazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
-	-	Z
(	(	Z
2,2,2-trifluoretil	2,2,2-trifluoretil	Npmsn
)	)	Z
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
7-chloro	7-chloro	Xf
-1,3-dihydro	-1,3-dihydro	Xf
-5-phenyl	-5-phenyl	Xf
-1	-1	Xf
-	-	Z
(	(	Z
2,2,2-trifluoroethyl	2,2,2-trifluoroethyl	Npmsn
)	)	Z
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npfsg
-2-one	-2-ona	Npfsg
haloksazolam	haloksazol	Ncmsi
Haloxazolam	Haloxazol	Npmsi
10-brom	10-br	Npmsi
-11	-11	Mdc
b	b	Y
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahidrooksazolo	b-tetrahidrooksazoti	Vmp-sn
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
on	on	Pp3msn
10-bromo	10-bromo	Rgp
-11	-11	Mdc
b	b	Y
-	-	Z
(	(	Z
o-fluorophenyl	o-fluorophenyl	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahydrooxazolo	b-tetrahydrooxazoti	Vmp-sn
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
one	oni	Pp3fpn
kamazepam	kamazepam	Agpmsny
Camazepam	Camazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-3-hidroksi	-3-hidroksi	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
-	-	Z
dimetilkarbamat	dimetilkarbamat	Ncmsn
(	(	Z
ester	ester	Xf
)	)	Z
7-chloro	7-chloro	Xf
-1,3-dihydro	-1,3-dihydro	Xf
-3-hydroxy	-3-hydroxy	Xf
-1-methyl	-1-methyl	Xf
-5-phenyl	-5-phenyl	Xf
-2	-2	Xf
H-1	H-1	Xf
,	,	Z
4-benzodiazepin	4-benzodiazepin	Ncmsn
-2-one	-2-on	Agpfsgy
dimethylcarbamate	dimethylcarbamata	Ncfsg
(	(	Z
ester	ester	Xf
)	)	Z
ketazolam	ketazolam	Agpmsny
Ketazolam	ketazolam	Agpmsny
11-klor	11-klor	Ncmsn
-8,12	-8,12	Mdc
b-dihidro-2	b-dihidro-2	Mdm
,	,	Z
8-dimetil	8-dimetil	Npfsn
-12	-12	Npfsn
b-fenil-4H	b-fenil-4H	Npfsn
-	-	Z
[	[	Z
1,3	1,3	Mdc
]	]	Z
oksazino	oksazin	Agpnsny
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-4	benzodiazepin-i	Agpnsny
,	,	Z
7	7	Mdc
(	(	Z
6	6	Mdc
H	h	Y
)	)	Z
-	-	Z
dion	dion	Xf
11-chloro	11-chloro	Xf
-8,12	-8,12	Mdc
b-dihydro-2	b-dihydro-2	Mdm
,	,	Z
8-dimethyl	8-dimethyl	Npfsn
-12	-12	Npfsn
b-phenyl-4H	b-phenyl-4H	Npfsn
-	-	Z
[	[	Z
1,3	1,3	Mdc
]	]	Z
oxazino	oxazin	Agpnsny
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-4	benzodiazepin-i	Agpnsny
,	,	Z
7	7	Mdc
(	(	Z
6	6	Mdc
H	h	Y
)	)	Z
-	-	Z
dione	dione	Agpmsny
klobazam	klobazam	Agpmsny
Clobazam	Clobazam	Npmsn
7-klor	7-klor	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
H-1	H-1	Npmsn
,	,	Z
5-benzodiazepin	5-benzodiazepin	Npmsn
-2,4	-2,4	Mdc
(	(	Z
3	3	Mdc
H	h	Y
,	,	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
dion	dion	Xf
7-chloro	7-chloro	Xf
-1-methyl	-1-methyl	Xf
-5-phenyl	-5-phenyl	Xf
-1	-1	Xf
H-1	H-1	Xf
,	,	Z
5-benzodiazepine	5-benzodiazepin	Ncmsv
-2,4	-2,4	Mdc
(	(	Z
3	3	Mdc
H	h	Y
,	,	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
dione	dione	Agpmsny
kloksazolam	kloksazolam	Agpmsny
Cloxazolam	cloxazolam	Agpmsny
10-klor	10-klor	Ncmsn
-11	-11	Mdc
b	b	Y
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahidrooksazolo	b-tetrahidrooksazol	Agpnsny
-	-	Z
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
on	on	Pp3msn
10-chloro	10-chloro	Rgp
-11	-11	Mdc
b	b	Y
-	-	Z
(	(	Z
o-chlorophenyl	o-chlorophenyl	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahydrooxazolo	b-tetrahydrooxazol	Agpnsny
-	-	Z
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
one	oni	Pp3fpn
klonazepam	klonazepam	Agpmsny
Clonazepam	Clonazepam	Npmsn
5	5	Mdc
-	-	Z
(	(	Z
