alpha-phenylacetoacetonitrile	alpha-phenylacetoacetonitriti	Vmp-pf
2-Phenylacetoacetonitrile	2-phenylacetoacetonitriti	Vmp-pf
2926	2926	Mdc
90	90	Mdc
95	95	Mdc
4468	4468	Mdc
-	-	Z
48	48	Mdc
-	-	Z
8	8	Mdc

Kategorija	kategorija	Ncfsn
1.	1.	Mdo
uključuje	uključivati	Vmr3s
i	i	Cc
stereoizomere	stereoizomer	Ncmpa
navedenih	naveden	Agpfpgy
tvari	tvar	Ncfpg
koje	koji	Pi-fpn
nisu	biti	Var3p
katin	katin	Ncmsn
kad	kad	Cs
god	god	Qo
je	biti	Var3s
postojanje	postojanje	Ncnsn
takvih	takav	Pd-mpg
izomera	izomer	Ncmpg
moguće	moguć	Agpnsny
,	,	Z
kao	kao	Cs
i	i	Cc
soli	sol	Ncfpn
navedenih	naveden	Agpfpgy
tvari	tvar	Ncfpg
kad	kad	Cs
god	god	Qo
je	biti	Var3s
postojanje	postojanje	Ncnsn
takvih	takav	Pd-fpg
soli	sol	Ncfpg
moguće	moguć	Agpnsny
i	i	Cc
ako	ako	Cs
nisu	biti	Var3p
soli	sol	Ncfpn
katina	katin	Ncmpg
.	.	Z

Kategorija	kategorija	Ncfsn
2.	2.	Mdo

POTKATEGORIJA	potkategorija	Ncfsn
2.	2.	Mdo
A	a	X

Tvar	tvar	Ncfsn
Tvar	Tvar	Npmsn
,	,	Z
engleski	engleski	Agpmsny
CAS-ovo	CAS-ov	Aspnsny
ime	ime	Ncnsn
KN	KN	Npmsn
oznaka	oznaka	Ncfpg
CAS-ov	CAS-ov	Aspmsnn
broj	broj	Ncmsn
anhidrid	anhidrid	Ncmsn
octene	octen	Agpfsgy
kiseline	kiselina	Ncfsg
Acetic	Acetic	Npmsn
anhydride	anhydridjeti	Vmr3p
(	(	Z
acetic	acetic	Xf
oxide	oxide	Xf
)	)	Z
2915	2915	Mdc
24	24	Mdc
00	00	Mdc
108	108	Mdc
-	-	Z
24	24	Mdc
-	-	Z
7	7	Mdc

Potkategorija	potkategorija	Ncfsn
2.	2.	Mdo
A	a	Cc
uključuje	uključivati	Vmr3s
soli	sol	Ncfsg
navedenih	naveden	Agpfpgy
tvari	tvar	Ncfpg
kad	kad	Cs
god	god	Qo
je	biti	Var3s
postojanje	postojanje	Ncnsn
takvih	takav	Pd-fpg
soli	sol	Ncfpg
moguće	moguć	Agpnsny
.	.	Z

POTKATEGORIJA	potkategorija	Ncfsn
2.	2.	Mdo
B	b	X

Tvar	tvar	Ncfsn
Tvar	Tvar	Npmsn
,	,	Z
engleski	engleski	Agpmsny
CAS-ovo	CAS-ov	Aspnsny
ime	ime	Ncnsn
KN	KN	Npmsn
oznaka	oznaka	Ncfpg
CAS-ov	CAS-ov	Aspmsnn
broj	broj	Ncmsn
feniloctena	fenilocten	Agpfsny
kiselina	kiselina	Ncfsn
Phenylacetic	Phenylacetic	Npmsn
acid	acid	Ncmsn
(	(	Z
benzeneacetic	benzeneacetic	Xf
acid	acid	Ncmsn
)	)	Z
2916	2916	Mdc
34	34	Mdc
00	00	Mdc
103	103	Mdc
-	-	Z
82	82	Mdc
-	-	Z
2	2	Mdc
antranilna	antranilan	Agpfsny
kiselina	kiselina	Ncfsn
Anthranilic	Anthranilic	Npmsn
acid	acid	Ncmsn
(	(	Z
2-aminobenzoic	2-aminobenzoic	Xf
acid	acid	Ncmsn
)	)	Z
2922	2922	Mdc
43	43	Mdc
00	00	Mdc
118	118	Mdc
-	-	Z
92	92	Mdc
-	-	Z
3	3	Mdc
piperidin	piperidin	Y
Piperidine	Piperidina	Npfsg
(	(	Z
piperidine	piperidin	Ncmsv
)	)	Z
2933	2933	Mdc
32	32	Mdc
00	00	Mdc
110	110	Mdc
-	-	Z
89	89	Mdc
-	-	Z
4	4	Mdc
kalijev	kalijev	Agpmsny
permanganat	permanganat	Ncmsn
Potassium	Potassium	Npmsn
permanganate	permanganati	Vmr2p
(	(	Z
permanganic	permanganic	Xf
acid	acid	Xf
(	(	Z
HMnO4	hmnoa	Ncfpn
)	)	Z
,	,	Z
potassium	potassium	Ncfsn
salt	sal	Ncmpg
)	)	Z
2841	2841	Mdc
61	61	Mdc
00	00	Mdc
7722	7722	Mdc
-	-	Z
64	64	Mdc
-	-	Z
7	7	Mdc

Potkategorija	potkategorija	Ncfsn
2.	2.	Mdo
B	b	X
uključuje	uključivati	Vmr3s
soli	sol	Ncfsg
navedenih	naveden	Agpfpgy
tvari	tvar	Ncfpg
kad	kad	Cs
god	god	Qo
je	biti	Var3s
postojanje	postojanje	Ncnsn
takvih	takav	Pd-fpg
soli	sol	Ncfpg
moguće	moguć	Agpnsny
.	.	Z

Kategorija	kategorija	Ncfsn
3.	3.	Mdo

Tvar	tvar	Ncfsn
Tvar	Tvar	Npmsn
,	,	Z
engleski	engleski	Agpmsny
CAS-ovo	CAS-ov	Aspnsny
ime	ime	Ncnsn
KN	KN	Npmsn
oznaka	oznaka	Ncfpg
CAS-ov	CAS-ov	Aspmsnn
broj	broj	Ncmsn
klorovodična	klorovodični	Agpfsny
kiselina	kiselina	Ncfsn
Hydrochloric	Hydrochloric	Npmsn
acid	acid	Ncmsn
(	(	Z
hydrochloric	hydrochloric	Xf
acid	acid	Ncmsn
)	)	Z
2806	2806	Mdc
10	10	Mdc
00	00	Mdc
7647	7647	Mdc
-	-	Z
01	01	Mdc
-	-	Z
0	0	Mdc
sumporna	sumporan	Agpfsny
kiselina	kiselina	Ncfsn
Sulphuric	Sulphuric	Npmsn
acid	acid	Ncmsn
(	(	Z
sulfuric	sulfuric	Xf
acid	acid	Ncmsn
)	)	Z
2807	2807	Mdc
00	00	Mdc
00	00	Mdc
7664	7664	Mdc
-	-	Z
93	93	Mdc
-	-	Z
9	9	Mdc
toluen	toluen	Ncmsn
Toluene	Toluena	Npfsg
(	(	Z
toluene	toluen	Ncmpa
)	)	Z
2902	2902	Mdc
30	30	Mdc
00	00	Mdc
108	108	Mdc
-	-	Z
88	88	Mdc
-	-	Z
3	3	Mdc
dietil-eter	dietil-eter	Xf
Diethyl	Diethyl	Xf
ether	ether	Xf
(	(	Z
1,1	1,1	Mdc
’	’	Z
-	-	Z
oxybis	oxybis	Ncmsn
[	[	Z
ethane	ethana	Ncfsg
]	]	Z
)	)	Z
2909	2909	Mdc
11	11	Mdc
00	00	Mdc
60	60	Mdc
-	-	Z
29	29	Mdc
-	-	Z
7	7	Mdc
aceton	aceton	Ncmsn
Acetone	Acetona	Npfsg
(	(	Z
2-propanone	2-propanona	Ncfpn
)	)	Z
2914	2914	Mdc
11	11	Mdc
00	00	Mdc
67	67	Mdc
-	-	Z
64	64	Mdc
-	-	Z
1	1	Mdc
metil-etil-keton	metil-etil-keton	Y
Methyl	Methyl	Npfsg
ethyl	ethyi	Agpmpay
ketone	keton	Ncmpa
(	(	Z
2-butanone	2-butanona	Ncfpn
)	)	Z
2914	2914	Mdc
12	12	Mdc
00	00	Mdc
78	78	Mdc
-	-	Z
93	93	Mdc
-	-	Z
3	3	Mdc

Kategorija	kategorija	Ncfsn
3.	3.	Mdo
uključuje	uključivati	Vmr3s
soli	sol	Ncfpa
navedenih	naveden	Agpfpgy
tvari	tvar	Ncfpg
kad	kad	Cs
god	god	Qo
je	biti	Var3s
postojanje	postojanje	Ncnsn
takvih	takav	Pd-fpg
soli	sol	Ncfpg
moguće	moguć	Agpnsny
i	i	Cc
ako	ako	Cs
nisu	biti	Var3p
soli	sol	Ncfpn
klorovodične	klorovodični	Agpfsgy
ili	ili	Cc
sumporne	sumporan	Agpfsgy
kiseline	kiselina	Ncfsg
.	.	Z

Kategorija	kategorija	Ncfsn
4.	4.	Mdo

Tvar	tvar	Ncfsn
Naziv	naziv	Ncmsn
KN	KN	Npmsn
(	(	Z
ako	ako	Cs
je	biti	Var3s
različit	različit	Agpmsnn
)	)	Z
KN	KN	Npmsn
oznaka	oznaka	Ncfsn
Lijekovi	lijek	Ncmpn
i	i	Cc
veterinarsko-medicinski	veterinarsko-medicinski	Agpmpny
proizvodi	proizvod	Ncmpn
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
efedrin	efedrin	Ncmsan
ili	ili	Cc
soli	sol	Ncfsg
efedrina	efedrin	Ncmsg
Sadrži	sadržati	Vmr3s
efedrin	efedrin	Ncmsan
ili	ili	Cc
soli	sol	Ncfsg
efedrina	efedrin	Ncmsg
3003	3003	Mdc
40	40	Mdc
20	20	Mdc
3004	3004	Mdc
40	40	Mdc
20	20	Mdc
Lijekovi	lijek	Ncmpn
i	i	Cc
veterinarsko-medicinski	veterinarsko-medicinski	Agpmpny
proizvodi	proizvod	Ncmpn
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
pseudoefedrin	pseudoefedrin	Ncmsan
ili	ili	Cc
soli	sol	Ncfsl
pseudoefedrina	pseudoefedrin	Ncfsg
Sadrži	sadržati	Vmr3s
pseudoefedrin	pseudoefedrin	Ncmsan
(	(	Z
INN	INN	Npmsn
)	)	Z
ili	ili	Cc
soli	sol	Ncfsg
pseudefedrina	pseudefedrin	Ncmsg
3003	3003	Mdc
40	40	Mdc
30	30	Mdc
3004	3004	Mdc
40	40	Mdc
30	30	Mdc

Izuzeća	izuzeće	Ncnpn
od	od	Sg
zahtjeva	zahtjev	Ncmpg
EU	E	Npmsg
za	za	Sa
stavljanje	stavljanje	Ncnsa
tvari	tvar	Ncfpg
na	na	Sa
tržište	tržište	Ncnsa

Tvar	tvar	Ncfsn
Ograničenje	ograničenje	Ncnsn
*	*	Z
anhidrid	anhidrid	Ncmsn
octene	octen	Agpfsgy
kiseline	kiselina	Ncfsg
100	100	Mdc
l	l	Y
kalijev	kalijev	Agpmsann
permanganat	permanganat	Ncmsan
100	100	Mdc
kg	kg	Y
antranilna	antranilan	Agpfsny
kiselina	kiselina	Ncfsn
1	1	Mdc
kg	kg	Ncfpg
feniloctena	fenilocten	Agpfsny
kiselina	kiselina	Ncfsn
1	1	Mdc
kg	kg	Ncmpg
piperidin	piperidin	Rgp
0,5	0,5	Mdc
kg	kg	Ncfpg

*	i	Agpfpny
Navedene	naveden	Agpfpny
količine	količina	Ncfpn
predstavljaju	predstavljati	Vmr3p
gornju	gornji	Agpfsay
dozvoljenu	dozvoljen	Agpfsay
granicu	granica	Ncfsa
za	za	Sa
promet	promet	Ncmsan
navedenim	naveden	Agpfply
tvarima	tvar	Ncfpl
unutar	unutar	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg

Ako	ako	Cs
nije	biti	Var3s
drugačije	drugačije	Rgp
navedeno	navesti	Appnsny
u	u	Sl
ovom	ovaj	Pd-msl
dokumentu	dokument	Ncmsl
sva	sav	Agpnpay
su	biti	Agpnpay
kemijska	kemijski	Agpnpay
imena	ime	Ncnpa
prema	prema	Sl
nomenklaturi	nomenklatura	Ncfsl
Međunarodne	međunarodni	Agpfsgy
unije	unija	Ncfsg
za	za	Sa
čistu	čist	Agpfsay
i	i	Cc
primijenjenu	primijeniti	Agpfsay
kemiju	kemija	Ncfsa
(	(	Z
IUPAC	IUPAC	Npmsn
)	)	Z
.	.	Z

INN	INN	Xf
–	–	Z
Međunarodna	međunarodni	Agpnpay
nezaštićena	nezaštićen	Agpnpay
imena	ime	Ncnpa
(	(	Z
International	International	Xf
non-proprietary	non-proprietary	Xf
names	names	Xf
)	)	Z
ili	ili	Cc
generička	generički	Agpnpay
imena	ime	Ncnpa
prema	prema	Sl
Svjetskoj	svjetski	Agpfsly
zdravstvenoj	zdravstven	Agpfsly
organizaciji	organizacija	Ncfsl
(	(	Z
WHO	WHO	Npmsn
)	)	Z

II	ii	Mrc
.	.	Z

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Popisa	popis	Ncmsg
droga	droga	Ncfpg
,	,	Z
psihotropnih	psihotropni	Agpfpgy
tvari	tvar	Ncfpg
i	i	Cc
biljaka	biljka	Ncfpg
iz	iz	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
dobiti	dobiti	Vmn
droga	droga	Ncfsn
te	te	Cc
tvari	tvar	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
uporabiti	uporabiti	Vmn
za	za	Sa
izradu	izrada	Ncfsa
droga	droga	Ncfpg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Popis	popis	Ncmsan
droga	droga	Ncfpg
,	,	Z
psihotropnih	psihotropni	Agpfpgy
tvari	tvar	Ncfpg
i	i	Cc
biljaka	biljka	Ncfpg
iz	iz	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
dobiti	dobiti	Vmn
droga	droga	Ncfsn
te	te	Cc
tvari	tvar	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
uporabiti	uporabiti	Vmn
za	za	Sa
izradu	izrada	Ncfsa
droga	droga	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
156/2014	156/2014	Mds
i	i	Cc
42/2015	42/2015	Mds
)	)	Z
.	.	Z

III	III	Mrc
.	.	Z

Ovaj	ovaj	Pd-msn
Popis	popis	Ncmsn
droga	droga	Ncfpg
,	,	Z
psihotropnih	psihotropni	Agpfpgy
tvari	tvar	Ncfpg
i	i	Cc
biljaka	biljka	Ncfpg
iz	iz	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
dobiti	dobiti	Vmn
droga	droga	Ncfsn
te	te	Cc
tvari	tvar	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
uporabiti	uporabiti	Vmn
za	za	Sa
izradu	izrada	Ncfsa
droga	droga	Ncfpg
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
11/96	11/96	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
534	534	Mdc
-	-	Z
02	02	Mdc
-	-	Z
1	1	Mdc
-	-	Z
1/2	1/2	Mdc
-	-	Z
16	16	Mdc
-	-	Z
01	01	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
20.	20.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
prim	prim	Ncmsan
.	.	Z

Siniša	Siniša	Npfsn
Varga	Varga	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
dent	dent	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

