zakonodavstvo	zakonodavstvo	Ncnsn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
zahtijeva	zahtijevati	Vmr3s
takvu	takav	Pd-fsa
vrstu	vrsta	Ncfsa
jamstva	jamstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
dosadašnjoj	dosadašnji	Agpfsly
točki	točka	Ncfsl
23.	23.	Mdo
koja	koji	Pi-fsn
postaje	postajati	Vmr3s
točka	točka	Ncfsn
21.	21.	Mdo
,	,	Z
stupac	stupac	Ncmsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
10.	10.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
04/14	04/14	Mdc
-	-	Z
01/02	01/02	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
524	524	Mdc
-	-	Z
06	06	Mdc
-	-	Z
04	04	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
16	16	Mdc
-	-	Z
4	4	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
8.	8.	Mdo
veljače	veljača	Ncfsg
2016.	2016.	Mdo

Ministrica	ministrica	Ncfsn
dr.	dr.	Y
sc.	sc.	Y
Nada	Nada	Npfsn
Šikić	Šikić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

