toga	taj	Pd-nsg
ponovno	ponovno	Rgp
pristupiti	pristupiti	Vmn
provjeri	provjera	Ncfsl
znanja	znanje	Ncnsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Osobama	osoba	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
uspješno	uspješno	Rgp
završile	završiti	Vmp-pf
program	program	Ncmsan
osposobljavanja	osposobljavanje	Ncnsg
Nositelj	nositelj	Ncmsn
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
izdaje	izdaja	Ncfsg
Uvjerenje	uvjerenje	Ncnsn
o	o	Sl
završenom	završen	Agpmsly
programu	program	Ncmsl
osposobljavanja	osposobljavanje	Ncnsg
.	.	Z

Uvjerenje	uvjerenje	Ncnsn
o	o	Sl
završenom	završen	Agpmsly
programu	program	Ncmsl

Članak	članak	Ncmsn
15.	15.	Mdo

Uvjerenje	uvjerenje	Ncnsn
o	o	Sl
završenom	završen	Agpmsly
programu	program	Ncmsl
osposobljavanja	osposobljavanje	Ncnsg
ili	ili	Cc
usavršavanja	usavršavanje	Ncnsg
sadrži	sadržati	Vmr3s
:	:	Z

–	i	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
akademski	akademski	Agpmsayn
ili	ili	Cc
stručni	stručan	Agpmsny
naziv	naziv	Ncmsn
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
,	,	Z
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
,	,	Z

–	–	Sa
datum	datum	Ncmsan
polaganja	polaganje	Ncnsg
programa	program	Ncmsg
i	i	Cc
vrstu	vrsta	Ncfsa
programa	program	Ncmpg
,	,	Z

–	–	Z
naziv	naziv	Ncmsn
Nositelja	nositelj	Ncmsg
programa	program	Ncmsg
,	,	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
provedbenog	provedbeni	Agpmsgy
propisa	propis	Ncmsg
temeljem	temelj	Sg
kojega	koji	Ncmsg
se	sebe	Px--sa
program	program	Ncmsn
provodi	provoditi	Vmr3s
,	,	Z

–		Agcmsny
broj	broj	Ncmsn
Uvjerenja	uvjerenje	Ncnsg
,	,	Z
datum	datum	Ncmsn
i	i	Cc
mjesto	mjesto	Ncnsa
izdavanja	izdavanje	Ncnsg
Uvjerenja	uvjerenje	Ncnsg
,	,	Z

–	i	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
Nositelja	nositelj	Ncmsg
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
i	i	Cc
njegov	njegov	Ps3msan
pečat	pečat	Ncmsan
.	.	Z

Osposobljavanje	osposobljavanje	Ncnsn
stranih	stran	Agpmpgy
državljana	državljanin	Ncmpg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
kandidat	kandidat	Ncmsn
za	za	Sa
osposobljavanja	osposobljavanje	Ncnpa
nije	biti	Var3s
državljanin	državljanin	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
uz	uz	Sa
prijavu	prijava	Ncfsa
osposobljavanja	osposobljavanje	Ncnsg
,	,	Z
prilaže	prilagati	Vmr3s
i	i	Cc
dokaz	dokaz	Ncmsan
o	o	Sl
državljanstvu	državljanstvo	Ncnsl
i	i	Cc
dokaz	dokaz	Ncmsn
o	o	Sl
poslovnoj	poslovan	Agpfsly
sposobnosti	sposobnost	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
treba	trebati	Vmr3s
priložiti	priložiti	Vmn
ovjerene	ovjeriti	Agpfpay
potvrde	potvrda	Ncfpa
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
.	.	Z

Priznavanje	priznavanje	Ncnsn
znanja	znanje	Ncnsg
stečenog	steći	Appnsgy
u	u	Sl
inozemstvu	inozemstvo	Ncnsl

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Državljanin	državljanin	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
stekao	steći	Vmp-sm
status	status	Ncmsan
revizora	revizor	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
,	,	Z
status	status	Ncmsan
revizora	revizor	Ncmsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
priznaje	priznavati	Vmr3s
se	sebe	Px--sa
ako	ako	Cs
Povjerenstvo	povjerenstvo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
njegov	njegov	Ps3msn
status	status	Ncmsn
revizora	revizor	Ncmsg
stečen	steći	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
programom	program	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
stekao	steći	Vmp-sm
status	status	Ncmsan
revizora	revizor	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
prema	prema	Sl
programu	program	Ncmsl
koji	koji	Pi-msn
ne	ne	Qz
uključuje	uključivati	Vmr3s
sve	sav	Agpmpay
sadržaje	sadržaj	Ncmpa
iz	iz	Sg
programa	program	Ncmsg
prema	prema	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Povjerenstvo	povjerenstvo	Ncnsn
određuje	određivati	Vmr3s
sadržaje	sadržaj	Ncmpa
iz	iz	Sg
kojih	koji	Pi-mpg
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
treba	trebati	Vmr3s
položiti	položiti	Vmn
teorijski	teorijski	Agpmsayn
i	i	Cc
praktički	praktički	Agpmsny
dio	dio	Ncmsn
osposobljavanja	osposobljavanje	Ncnsg
prema	prema	Sl
programa	program	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
