statutarna	statutaran	Agpnpay
pitanja	pitanje	Ncnpa
nije	biti	Var3s
dao	dati	Vmp-sm
suglasnost	suglasnost	Ncfsa
na	na	Sa
sporni	sporan	Agpmsayn
Pravilnik	pravilnik	Ncmsan
,	,	Z
navedeni	naveden	Agpmsny
Pravilnik	pravilnik	Ncmsn
nije	biti	Var3s
mogao	moći	Vmp-sm
stupiti	stupiti	Vmn
na	na	Sa
pravnu	pravni	Agpfsay
snagu	snaga	Ncfsa
,	,	Z
bez	bez	Sg
suglasnosti	suglasnost	Ncfsg
Senata	senat	Ncmsg
Sveučilišta	sveučilište	Ncnsg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
86.	86.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
će	htjeti	Var3s
sud	sud	Ncmsn
presudom	presuda	Ncfsi
ukinuti	ukinuti	Vmn
opći	opći	Agpmsayn
akt	akt	Ncmsan
,	,	Z
ili	ili	Cc
pojedine	pojedini	Agpfpny
njegove	njegov	Ps3fsg
odredbe	odredba	Ncfsg
,	,	Z
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
nije	biti	Var3s
suglasan	suglasan	Agpmsnn
sa	sa	Si
zakonom	zakon	Ncmsi
ili	ili	Cc
statutom	statut	Ncmsi
javnopravnog	javnopravni	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

Kako	kako	Cs
je	biti	Var3s
u	u	Sl
postupku	postupak	Ncmsl
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
sporni	sporan	Agpmsny
Pravilnik	pravilnik	Ncmsn
donesen	donijeti	Appmsnn
bez	bez	Sg
suglasnosti	suglasnost	Ncfsg
Senata	senat	Ncmsg
Sveučilišta	sveučilište	Ncnsg
navedeni	naveden	Agpmsny
Pravilnik	pravilnik	Ncmsn
nije	biti	Var3s
donesen	donijeti	Appmsnn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
38.	38.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Statuta	statut	Ncmsg
Sveučilišta	sveučilište	Ncnsg
,	,	Z
te	te	Cc
bez	bez	Sg
propisane	propisati	Agpfsgy
suglasnosti	suglasnost	Ncfsg
nije	biti	Var3s
mogao	moći	Vmp-sm
ni	ni	Qo
stupiti	stupiti	Vmn
na	na	Sa
pravnu	pravni	Agpfsay
snagu	snaga	Ncfsa
,	,	Z
pa	pa	Cc
ga	on	Pp3msa
je	biti	Var3s
stoga	stoga	Rgp
temeljem	temelj	Ncmsi
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
86.	86.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
trebalo	trebati	Vmp-sn
ukinuti	ukinuti	Vmn
.	.	Z

Isto	isti	Agpnsay
pravno	pravni	Agpnsay
shvaćanje	shvaćanje	Ncnsa
zauzeo	zauzeti	Vmp-sm
je	biti	Var3s
ovaj	ovaj	Pd-msn
Sud	sud	Ncmsn
u	u	Sl
presudi	presuda	Ncfsl
Usoz-117	Usoz-117	Mdc
/	/	Z
2012	2012	Mdc
od	od	Sg
12.	12.	Mdo
lipnja	lipanj	Ncmsg
2013.	2013.	Mdo
koja	koji	Pi-fsn
je	biti	Var3s
objavljena	objaviti	Appfsny
u	u	Sl
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
,	,	Z
broj	broj	Ncmsn
89/2013	89/2013	Mdc
od	od	Sg
10.	10.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo

Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s
navoda	navod	Ncmsg
iz	iz	Sg
očitovanja	očitovanje	Ncnsg
