normama	norma	Ncfpl
ili	ili	Cc
drugim	drugi	Mlofpl
tehničkim	tehnički	Agpfply
specifikacijama	specifikacija	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
navedene	navesti	Appfpny
u	u	Sl
EU	E	Npmsl
izjavi	izjava	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
vage	vaga	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Kada	kada	Cs
proizvođač	proizvođač	Ncmsn
to	taj	Pd-nsa
smatra	smatrati	Vmr3s
prikladnim	prikladan	Agpmsiy
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
rizike	rizik	Ncmpa
koje	koji	Pi-mpa
predstavlja	predstavljati	Vmr3s
vaga	vaga	Ncfsn
namijenjena	namijeniti	Appfsny
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
uzima	uzimati	Vmr3s
uzorke	uzorak	Ncmpa
vaga	vaga	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
već	već	Rgp
stavljene	stavljen	Agpfpny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
,	,	Z
provodi	provoditi	Vmr3s
ispitivanja	ispitivanje	Ncnsg
i	i	Cc
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
vodi	voditi	Vmr3s
knjigu	knjiga	Ncfsa
pritužbi	pritužba	Ncfpg
i	i	Cc
registar	registar	Ncmsn
nesukladnih	nesukladan	Agpmpgy
i	i	Cc
opozvanih	opozvati	Agpfpgy
vaga	vaga	Ncfpg
.	.	Z

O	o	Sl
svakom	svaki	Pi-msl
takvom	takav	Pd-nsl
praćenju	praćenje	Ncnsl
mora	morati	Vmr3s
obavijestiti	obavijestiti	Vmn
distributere	distributer	Ncmpa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
osigurati	osigurati	Vmn
da	da	Cs
vaga	vaga	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
stavio	staviti	Vmp-sm
na	na	Sa
tržište	tržište	Ncnsa
nosi	nositi	Vmr3s
broj	broj	Ncmsan
tipa	tip	Ncmsg
,	,	Z
šarže	šarža	Ncfsg
ili	ili	Cc
serije	serija	Ncfsg
ili	ili	Cc
bilo	bilo	Qo
koji	koji	Pi-msan
drugi	drugi	Mlomsan
element	element	Ncmsan
koji	koji	Pi-msn
omogućuje	omogućivati	Vmr3s
njezinu	njezin	Ps3fsa
identifikaciju	identifikacija	Ncfsa
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
u	u	Sl
Dodatku	dodatak	Ncmsl
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Za	za	Sa
vage	vaga	Ncfpa
namijenjene	namijenjen	Agpfpay
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
,	,	Z
proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
staviti	staviti	Vmn
natpise	natpis	Ncmpa
navedene	navesti	Appmpay
u	u	Sl
točki	točka	Ncfsl
1.	1.	Mdo
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Za	za	Sa
vage	vaga	Ncfpa
koje	koji	Pi-fpn
nisu	biti	Var3p
namijenjene	namijenjen	Agpfpny
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
,	,	Z
proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
staviti	staviti	Vmn
natpise	natpis	Ncmpa
navedene	navesti	Appmpay
u	u	Sl
točki	točka	Ncfsl
2.	2.	Mdo
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Kada	kada	Rgp
su	biti	Var3p
na	na	Sa
vagu	vaga	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
namijenjena	namijeniti	Appfsny
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
bilo	bilo	Qo
koju	koji	Pi-fsa
svrhu	svrha	Ncfsa
navedenu	navesti	Appfsay
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
pričvršćeni	pričvršćen	Agpmpny
uređaji	uređaj	Ncmpn
i	i	Cc
/	/	Z
ili	ili	Cc
je	biti	Var3s
vaga	vaga	Ncfsn
priključena	priključiti	Appfsny
na	na	Sa
uređaje	uređaj	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
ne	ne	Qz
upotrebljavaju	upotrebljavati	Vmr3p
ili	ili	Cc
nisu	biti	Var3p
namijenjeni	namijenjen	Agpmpny
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
,	,	Z
na	na	Sa
svaki	svaki	Pi-msan
od	od	Sg
tih	taj	Pd-mpg
uređaja	uređaj	Ncmpg
proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
staviti	staviti	Vmn
oznaku	oznaka	Ncfsa
ograničenja	ograničenje	Ncnsg
uporabe	uporaba	Ncfsg
kako	kako	Cs
je	biti	Var3s
predviđeno	predvidjeti	Appnsny
člankom	članak	Ncmsi
20.	20.	Mdo
te	te	Cc
točkom	točka	Ncfsi
3.	3.	Mdo
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
na	na	Sl
vagi	vaga	Ncfsl
navesti	navesti	Vmn
svoje	svoj	Px-nsa
ime	ime	Ncnsa
,	,	Z
registrirani	registriran	Agpmsny
trgovački	trgovački	Agpmsny
naziv	naziv	Ncmsn
ili	ili	Cc
registriranu	registriran	Agpfsay
trgovačku	trgovački	Agpfsay
oznaku	oznaka	Ncfsa
i	i	Cc
adresu	adresa	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
dostupan	dostupan	Agpmsnn
.	.	Z

Adresa	adresa	Ncfsn
mora	morati	Vmr3s
označavati	označavati	Vmn
jedinstveno	jedinstven	Agpnsay
mjesto	mjesto	Ncnsa
na	na	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
dostupan	dostupan	Agpmsnn
.	.	Z

Kontakt	kontakt	Ncmsn
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
osigurati	osigurati	Vmn
da	da	Cs
su	biti	Var3p
uz	uz	Sa
vagu	vaga	Ncfsa
namijenjenu	namijeniti	Appfsay
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sa
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
a	a	Cc
)	)	Z
do	do	Sg
f	a	Ncfsg
)	)	Z
priložene	priložen	Agpfpay
upute	uputa	Ncfpa
i	i	Cc
informacije	informacija	Ncfpn
sastavljene	sastaviti	Appfpny
na	na	Sl
hrvatskom	hrvatski	Agpmsly
