Najkasnije	kasno	Rgs
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Upravnom	upravan	Agpnsly
vijeću	vijeće	Ncnsl
Zavoda	zavod	Ncmsg
obvezno	obvezno	Rgp
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
izvješće	izvješće	Ncnsn
o	o	Sl
ostvarenim	ostvariti	Agpmply
preduvjetima	preduvjet	Ncmpl
za	za	Sa
postupanje	postupanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
petnaestog	petnaesti	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
025	025	Mdc
-	-	Z
04/15	04/15	Mdc
-	-	Z
01/14	01/14	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
338	338	Mdc
-	-	Z
01	01	Mdc
-	-	Z
01	01	Mdc
-	-	Z
15	15	Mdc
-	-	Z
01	01	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
29.	29.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Upravnog	upravan	Agpnsgy
vijeća	vijeće	Ncnsg
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Marko	Marko	Npmsn
Duvnjak	Duvnjak	Npmsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

TISKANICE	tiskanica	Ncfpn

