nadzire	nadzirati	Vmr3s
evidenciju	evidencija	Ncfsa
konja	konj	Ncmpg
u	u	Sl
zakupu	zakup	Ncmsl
,	,	Z
brine	brinuti	Vmr3s
o	o	Sl
istima	isti	Ncmpl
–	–	Z
vodi	voditi	Vmr3s
kontrolu	kontrola	Ncfsa
izvršavanja	izvršavanje	Ncnsg
i	i	Cc
poštivanja	poštivanje	Ncnsg
zakupnih	zakupni	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
te	te	Cc
organizira	organizirati	Vmr3s
kontrolu	kontrola	Ncfsa
konja	konj	Ncmpg
na	na	Sl
terenu	teren	Ncmsl
–	–	Z
odabire	odabirati	Vmr3s
konje	konj	Ncmpa
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
ponuditi	ponuditi	Vmn
u	u	Sa
zakup	zakup	Ncmsan
,	,	Z
prodaju	prodaja	Ncfsa
ili	ili	Cc
izlučenje	izlučenje	Ncnsa
iz	iz	Sg
uzgoja	uzgoj	Ncmsg
–	–	Z
koordinira	koordinirati	Vmr3s
programe	program	Ncmpa
obuke	obuka	Ncfsg
i	i	Cc
treninga	trening	Ncmsg
konja	konj	Ncmsg
–	–	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
organizaciji	organizacija	Ncfsl
natjecanja	natjecanje	Ncnsg
,	,	Z
turističkih	turistički	Agpmpgy
programa	program	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
manifestacija	manifestacija	Ncfpg
,	,	Z
te	te	Cc
korištenja	korištenje	Ncnsg
jahaonice	jahaonica	Ncfsg
–	–	Z
organizira	organizirati	Vmr3s
označavanje	označavanje	Ncnsa
konja	konj	Ncmpg
sukladno	sukladno	Rgp
važećim	važeći	Agpmpiy
propisima	propis	Ncmpi
–	–	Z
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
za	za	Sa
primjenu	primjena	Ncfsa
i	i	Cc
praćenje	praćenje	Ncnsa
zakonske	zakonski	Agpfsgy
regulative	regulativa	Ncfsg
vezane	vezan	Agpfpay
za	za	Sa
uzgojno	uzgojan	Agpnsay
selekcijski	selekcijski	Agpmsayn
rad	rad	Ncmsan
–	–	Z
brine	brinuti	Vmr3s
i	i	Cc
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
zaštiti	zaštita	Ncfsl
konja	konj	Ncmsay
–	–	Z
organizira	organizirati	Vmr3s
provođenje	provođenje	Ncnsa
propisanih	propisati	Agpfpgy
veterinarskih	veterinarski	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
rješenja	rješenje	Ncnsg
nadležnih	nadležan	Agpfpgy
inspekcija	inspekcija	Ncfpg
–	–	Z
organizira	organizirati	Vmr3s
dispoziciju	dispozicija	Ncfsa
čišćenja	čišćenje	Ncnsg
objekata	objekt	Ncmpg
i	i	Cc
uređenje	uređenje	Ncnsa
okoliša	okoliš	Ncmsg
–	–	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
organizaciji	organizacija	Ncfsl
ratarske	ratarski	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
proizvodnji	proizvodnja	Ncfsl
stočne	stočni	Agpfsgy
hrane	hrana	Ncfsg
,	,	Z
te	te	Cc
distribuciji	distribucija	Ncfsl
u	u	Sa
otkupne	otkupni	Agpmpay
centre	centar	Ncmpa
i	i	Cc
skladišta	skladište	Ncnsg
–	–	Z
vidi	vidjeti	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
potrebnoj	potreban	Agpfsly
količini	količina	Ncfsl
hrane	hrana	Ncfsg
i	i	Cc
stelje	stelja	Ncfsg
–	–	Z
organizira	organizirati	Vmr3s
i	i	Cc
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
potrošnje	potrošnja	Ncfsg
hrane	hrana	Ncfsg
i	i	Cc
vođenje	vođenje	Ncnsa
skladišta	skladište	Ncnsg
hrane	hrana	Ncfsg
–	–	Z
organizira	organizirati	Vmr3s
i	i	Cc
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
fijakerima	fijaker	Ncmpl
,	,	Z
