potrebi	potreba	Ncfsl
obavlja	obavljati	Vmr3s
dežurstvo	dežurstvo	Ncnsa
i	i	Cc
druge	drugi	Mlompa
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
–	–	Z
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
prema	prema	Sl
nalogu	nalog	Ncmsl
nadređenog	nadrediti	Agpmsgy
djelatnika	djelatnik	Ncmsg
0,844	0,844	Mdc
Pomoćni	pomoćan	Agpmsny
radnik	radnik	Ncmsn
1	1	Mdc
SI	biti	Var2s
:	:	Z
SSS	SSS	Npmsn
PS	PS	Y
:	:	Z
smisao	smisao	Ncmsn
za	za	Sa
rad	rad	Ncmsan
s	sa	Si
konjima	konj	Ncmpi
RI	R	Npmsg
:	:	Z
1	1	Mdc
godina	godina	Ncfpg
na	na	Sl
istim	isti	Agpfply
ili	ili	Cc
sličnim	sličan	Agpmply
poslovima	posao	Ncmpl
DZ	DZ	Npmsn
:	:	Z
–	–	Z
vozačka	vozački	Agpfsny
dozvola	dozvola	Ncfsn
B	b	Agpfsgy
kategorije	kategorija	Ncfsg
PR	PR	Npmsn
:	:	Z
1	1	Mdc
mjesec	mjesec	Ncmsan
–	–	Z
obavlja	obavljati	Vmr3s
dežurstvo	dežurstvo	Ncnsa
i	i	Cc
druge	drugi	Mlompa
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
–	–	Z
obavlja	obavljati	Vmr3s
sve	sav	Agpmpay
poslove	posao	Ncmpa
hranidbe	hranidba	Ncfsg
i	i	Cc
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
njezinoj	njezin	Agpfsly
kvaliteti	kvaliteta	Ncfsl
pri	pri	Sl
hranidbi	hranidba	Ncfsl
–	–	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
higijenske	higijenski	Agpfsgy
njege	njega	Ncfsg
konja	konj	Ncmsg
–	–	Z
pomaže	pomagati	Vmr3s
prilikom	prilikom	Sg
postupaka	postupak	Ncmpg
uzgoja	uzgoj	Ncmsg
i	i	Cc
reprodukcije	reprodukcija	Ncfsg
(	(	Z
pripusti	pripust	Ncfsl
,	,	Z
odbijanje	odbijanje	Ncnsn
ždrebadi	ždrebe	Ncnsg
,	,	Z
socijalizacija	socijalizacija	Ncfsn
konja	konj	Ncmpg
,	,	Z
pomoć	pomoć	Ncfsn
pri	pri	Sl
ždrebljenju	ždrebljenj	Ncmsl
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z
–	–	Z
pomaže	pomagati	Vmr3s
u	u	Sl
poslovima	posao	Ncmpl
obrezivanja	obrezivanje	Ncnsg
/	/	Z
potkivanja	potkivanje	Ncnsg
,	,	Z
žigovanja	žigovanje	Ncnsg
i	i	Cc
veterinarskim	veterinarski	Agpmpiy
pregledima	pregled	Ncmpi
–	–	Z
održava	održavati	Vmr3s
red	red	Ncmsan
i	i	Cc
čistoću	čistoća	Ncfsa
staja	staja	Ncfpg
,	,	Z
pratećih	prateći	Agpmpgy
objekata	objekt	Ncmpg
i	i	Cc
prostorija	prostorija	Ncfpg
,	,	Z
ekonomskog	ekonomski	Agpnsgy
dvorišta	dvorište	Ncnsg
–	–	Z
održava	održavati	Vmr3s
okoliš	okoliš	Ncmsan
rukovanjem	rukovanje	Ncnsi
kosilicama	kosilica	Ncfpl
i	i	Cc
ostalim	ostali	Agpmpiy
strojevima	stroj	Ncmpi
–	–	Z
dovozi	dovoziti	Vmr3s
krmu	krma	Ncfsa
i	i	Cc
radi	raditi	Vmr3s
ostale	ostali	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
štali	štala	Ncfsl
–	–	Z
nadzire	nadzirati	Vmr3s
konje	konj	Ncmpa
tijekom	tijekom	Sg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
i	i	Cc
izvještava	izvještavati	Vmr3s
nadređenog	nadrediti	Appmsgy
o	o	Sl
radnjama	radnja	Ncfpl
koje	koji	Pi-fpn
mogu	moći	Vmr3p
štetiti	štetiti	Vmn
konjima	konj	Ncmpd
i	i	Cc
imovini	imovina	Ncfsl
–	–	Z
obavlja	obavljati	Vmr3s
nadzor	nadzor	Ncmsan
u	u	Sl
dvorištu	dvorište	Ncnsl
i	i	Cc
svim	sav	Agpmply
objektima	objekt	Ncmpl
,	,	Z
te	te	Cc
je	biti	Var3s
obavezan	obavezan	Agpmsnn
izvijestiti	izvijestiti	Vmn
nadređenog	nadrediti	Appmsgy
o	o	Sl
radnjama	radnja	Ncfpl
koje	koji	Pi-fpn
mogu	moći	Vmr3p
uzrokovati	uzrokovati	Vmn
štetu	šteta	Ncfsa
–	–	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
svim	sav	Agpmply
sezonskim	sezonski	Agpmply
poslovima	posao	Ncmpl
i	i	Cc
skladištenju	skladištenje	Ncnsl
hrane	hrana	Ncfsg
za	za	Sa
konje	konj	Ncmpa
–	–	Z
po	po	Sl
završetku	završetak	Ncmsl
dežurstva	dežurstvo	Ncnsg
podnosi	podnositi	Vmr3s
izvještaj	izvještaj	Ncmsan
neposrednom	neposredan	Agpmsly
rukovoditelju	rukovoditelj	Ncmsl
–	–	Z
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
prema	prema	Sl
nalogu	nalog	Ncmsl
nadređenog	nadrediti	Agpmsgy
djelatnika	djelatnik	Ncmsg
0,727	0,727	Mdc
Dežurni	dežuran	Agpmsny
radnik	radnik	Ncmsn
7	7	Mdc
SI	biti	Var2s
:	:	Z
NSS	NSS	Npmsn
ili	ili	Cc
SSS	SSS	Npmsn
PS	PS	Npmsn
:	:	Z
smisao	smisao	Ncmsn
za	za	Sa
rad	rad	Ncmsan
s	sa	Si
konjima	konj	Ncmpi
RI	R	Npmsg
:	:	Z
1	1	Mdc
godina	godina	Ncfpg
na	na	Sl
istim	isti	Agpfply
ili	ili	Cc
sličnim	sličan	Agpmply
poslovima	posao	Ncmpl
DZ	DZ	Npmsn
:	:	Z
–	–	Z
vozačka	vozački	Agpfsny
dozvola	dozvola	Ncfsn
B	b	Agpfsgy
kategorije	kategorija	Ncfsg
PR	PR	Npmsn
:	:	Z
1	1	Mdc
mjesec	mjesec	Ncmsan
–	–	Z
obavlja	obavljati	Vmr3s
dežurstvo	dežurstvo	Ncnsa
i	i	Cc
druge	drugi	Mlompa
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
–	–	Z
obavlja	obavljati	Vmr3s
sve	sav	Agpmpay
poslove	posao	Ncmpa
