poseban	poseban	Agpmsann
račun	račun	Ncmsan
:	:	Z
»	»	Z
FM	FM	I
«	«	Z

–	i	Agpnsny
odnošenje	odnošenje	Ncnsn
čekova	ček	Ncmpg
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
na	na	Sa
stranu	strana	Ncfsa
valutu	valuta	Ncfsa
banci	banka	Ncfsl
na	na	Sa
otkup	otkup	Ncmsan
:	:	Z
»	»	Z
FC	fc	Ncmsn
«	«	Z

–	–	Z
odnošenje	odnošenje	Ncnsn
strane	strana	Ncfsg
gotovine	gotovina	Ncfsg
banci	banak	Ncmpn
na	na	Sa
otkup	otkup	Ncmsan
:	:	Z
»	»	Z
FG	fg	Ncmsn
«	«	Z

–	–	Z
kod	kod	Sg
transakcija	transakcija	Ncfpg
ostalih	ostali	Agpfpgy
uplata	uplata	Ncfpg
odnosno	odnosno	Rgp
isplata	isplata	Ncfsn
strane	strana	Ncfsg
gotovine	gotovina	Ncfsg
i	i	Cc
gotovine	gotovina	Ncfsg
u	u	Sl
kunama	kuna	Ncfpl
:	:	Z

–	i	Agpfpay
ostale	ostali	Agpfpay
uplate	uplata	Ncfpa
:	:	Z
»	»	Z
OU	O	Npmsl
«	«	Z

–	i	Agpfpay
ostale	ostali	Agpfpay
isplate	isplata	Ncfpa
:	:	Z
»	»	Z
OI	OI	Mro
«	«	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Serijski	serijski	Agpmsny
se	sebe	Px--sa
brojevi	broj	Ncmpn
transakcije	transakcija	Ncfsg
na	na	Sl
svakom	svaki	Pi-nsl
blagajničkom	blagajnički	Agpnsly
mjestu	mjesto	Ncnsl
dodjeljuju	dodjeljivati	Vmr3p
tako	tako	Cs
da	da	Cs
prvoga	prvi	Mlomsg
radnog	radni	Agpmsgy
dana	dan	Ncmsg
u	u	Sl
novoj	nov	Agpfsly
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
brojčani	brojčani	Agpmsny
dio	dio	Ncmsn
prvoga	prvi	Mlomsg
serijskog	serijski	Agpmsgy
broja	broj	Ncmsg
transakcije	transakcija	Ncfsg
počinje	počinjati	Vmr3s
brojem	broj	Ncmsi
jedan	jedan	Mlcmsn
(	(	Z
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Svaka	svaki	Pi-fsn
transakcija	transakcija	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
pojavljuje	pojavljivati	Vmr3s
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
mjenjačkih	mjenjački	Agpmpgy
poslova	posao	Ncmpg
tijekom	tijekom	Sg
iste	isti	Agpfsgy
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
jedinstveni	jedinstven	Agpmsayn
serijski	serijski	Agpmsayn
broj	broj	Ncmsan
.	.	Z

II	ii	Mrc
.	.	Z
5.	5.	Mdo
Funkcije	funkcija	Ncfpn
vezane	vezati	Appfpny
uz	uz	Sa
izradu	izrada	Ncfsa
obveznih	obvezan	Agpnpgy
izvješća	izvješće	Ncnpg

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
mjenjačkom	mjenjački	Agpnsly
mjestu	mjesto	Ncnsl
obavljaju	obavljati	Vmr3p
mjenjački	mjenjački	Agpmpny
poslovi	posao	Ncmpn
na	na	Sa
više	mnogo	Rgc
blagajničkih	blagajnički	Agpnpgy
mjesta	mjesto	Ncnpg
,	,	Z
zaštićeni	zaštititi	Agpmsny
program	program	Ncmsn
može	moći	Vmr3s
omogućiti	omogućiti	Vmn
rad	rad	Ncmsan
u	u	Sl
mrežnim	mrežni	Agpmply
uvjetima	uvjet	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
mjenjački	mjenjački	Agpmpny
poslovi	posao	Ncmpn
obavljaju	obavljati	Vmr3p
na	na	Sa
više	mnogo	Rgc
blagajničkih	blagajnički	Agpnpgy
mjesta	mjesto	Ncnpg
i	i	Cc
kada	kada	Rgp
zaštićeni	zaštititi	Appmsny
program	program	Ncmsn
radi	raditi	Vmr3s
u	u	Sl
mrežnim	mrežni	Agpmply
uvjetima	uvjet	Ncmpl
,	,	Z
zaštićeni	zaštititi	Appmsny
program	program	Ncmsn
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
izradu	izrada	Ncfsa
jedinstvenih	jedinstven	Agpnpgy
obveznih	obvezan	Agpnpgy
izvješća	izvješće	Ncnpg
za	za	Sa
sva	sav	Agpnpay
blagajnička	blagajnički	Agpnpay
mjesta	mjesto	Ncnpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zaštićeni	zaštititi	Appmsayn
program	program	Ncmsan
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
:	:	Z

–	–	Agpmsny
prikaz	prikaz	Ncmsn
obveznih	obvezan	Agpnpgy
izvješća	izvješće	Ncnpg
na	na	Sl
zaslonu	zaslon	Ncmsl
računala	računalo	Ncnpa
na	na	Sl
blagajničkom	blagajnički	Agpnsly
mjestu	mjesto	Ncnsl

–	–	Agpmsny
ispis	ispis	Ncmsn
obveznih	obvezan	Agpnpgy
izvješća	izvješće	Ncnpg
na	na	Sl
pisaču	pisač	Ncmsl
na	na	Sl
mjenjačkom	mjenjački	Agpnsly
mjestu	mjesto	Ncnsl

–	i	Agpnsay
pohranjivanje	pohranjivanje	Ncnsa
i	i	Cc
čuvanje	čuvanje	Ncnsa
obveznih	obvezan	Agpnpgy
izvješća	izvješće	Ncnpg
u	u	Sl
rokovima	rok	Ncmpl
i	i	Cc
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
Odlukom	odluka	Ncfsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obvezna	obvezan	Agpnpny
izvješća	izvješće	Ncnpn
sadržavaju	sadržavati	Vmr3p
i	i	Cc
ispunjavaju	ispunjavati	Vmr3p
se	sebe	Px--sa
podacima	podatak	Ncmpi
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

a	a	Cc
)	)	Z
Izvješće	izvješće	Ncnsn
»	»	Z
Blagajnički	blagajnički	Agpmsny
