poslovanje	poslovanje	Ncnsn
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
akronim	akronim	Ncmsn
IZDKN01	IZDKN01	X

–	–	Z
kod	kod	Sg
prijenosa	prijenos	Ncmsg
kuna	kuna	Ncfpg
u	u	Sa
blagajnu	blagajna	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
namijenjena	namijeniti	Appfsny
za	za	Sa
obavljanje	obavljanje	Ncnsa
drugih	drugi	Mlofpg
djelatnosti	djelatnost	Ncfpg
istoga	isti	Agpmsgy
ovlaštenog	ovlašten	Agpmsgy
mjenjača	mjenjač	Ncmsg
bilježi	bilježiti	Vmr3s
se	sebe	Px--sa
tekst	tekst	Ncmsn
»	»	Z
isplata	isplata	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
–	–	Z
prijenos	prijenos	Ncmsan
kuna	kuna	Ncfpg
u	u	Sa
blagajnu	blagajna	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
namijenjena	namijeniti	Appfsny
za	za	Sa
obavljanje	obavljanje	Ncnsa
drugih	drugi	Mlofpg
djelatnosti	djelatnost	Ncfpg
istoga	isti	Agpmsgy
ovlaštenog	ovlašten	Agpmsgy
mjenjača	mjenjač	Ncmsg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
akronim	akronim	Ncmsn
IZDKN05	IZDKN05	X

–	–	Z
kod	kod	Sg
prijenosa	prijenos	Ncmsg
gotovine	gotovina	Ncfsg
u	u	Sl
kunama	kuna	Ncfpl
na	na	Sa
drugo	drugi	Mlonsa
blagajničko	blagajnički	Agpnsay
mjesto	mjesto	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
unutar	unutar	Sg
istoga	isti	Agpnsgy
mjenjačkog	mjenjački	Agpnsgy
mjesta	mjesto	Ncnsg
bilježi	bilježiti	Vmr3s
se	sebe	Px--sa
tekst	tekst	Ncmsn
»	»	Z
isplata	isplata	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
–	–	Z
prijenos	prijenos	Ncmsan
kuna	kuna	Ncfpg
na	na	Sa
drugo	drugi	Mlonsa
blagajničko	blagajnički	Agpnsay
mjesto	mjesto	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
unutar	unutar	Sg
istoga	isti	Agpnsgy
mjenjačkog	mjenjački	Agpnsgy
mjesta	mjesto	Ncnsg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
akronim	akronim	Ncmsn
IZDKN07	IZDKN07	X

–	–	Z
kod	kod	Sg
prijenosa	prijenos	Ncmsg
gotovine	gotovina	Ncfsg
u	u	Sl
kunama	kuna	Ncfpl
na	na	Sa
drugo	drugi	Mlonsa
mjenjačko	mjenjački	Agpnsay
mjesto	mjesto	Ncnsa
istoga	isti	Ncmsg
ovlaštenog	ovlašten	Agpmsgy
mjenjača	mjenjač	Ncmsg
bilježi	bilježiti	Vmr3s
se	sebe	Px--sa
tekst	tekst	Ncmsn
»	»	Z
isplata	isplata	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
–	–	Z
prijenos	prijenos	Ncmsan
kuna	kuna	Ncfpg
na	na	Sa
drugo	drugi	Mlonsa
mjenjačko	mjenjački	Agpnsay
mjesto	mjesto	Ncnsa
istoga	isti	Ncmsg
ovlaštenog	ovlašten	Agpmsgy
mjenjača	mjenjač	Ncmsg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
akronim	akronim	Ncmsn
IZDKN08	IZDKN08	X

–	–	Z
kod	kod	Sg
isplata	isplata	Ncfpg
u	u	Sl
kunama	kuna	Ncfpl
bilježi	bilježiti	Vmr3s
se	sebe	Px--sa
tekst	tekst	Ncmsn
»	»	Z
isplata	isplata	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
–	–	Z
izlaz	izlaz	Ncmsn
efektivnih	efektivan	Agpfpgy
kuna	kuna	Ncfpg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
akronim	akronim	Ncmsn
IZDKN09	IZDKN09	X

–	–	Z
kod	kod	Sg
uplata	uplata	Ncfpg
strane	stran	Agpfsgy
gotovine	gotovina	Ncfsg
na	na	Sl
osnovi	osnova	Ncfsl
primitka	primitak	Ncmsg
strane	stran	Agpfsgy
gotovine	gotovina	Ncfsg
s	sa	Sg
drugoga	drugi	Agpnsgy
blagajničkog	blagajnički	Agpnsgy
mjesta	mjesto	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
unutar	unutar	Sg
