promijenjene	promijeniti	Agpmpay
parenhimske	parenhimski	Agpmpay
organe	organ	Ncmpa
(	(	Z
pluća	pluća	Ncnpg
,	,	Z
jetra	jetra	Ncfsn
)	)	Z
radi	radi	Sg
parazitološke	parazitološki	Agpfsgy
pretrage	pretraga	Ncfsg
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
u	u	Sl
klaonici	klaonica	Ncfsl
mora	morati	Vmr3s
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
svakom	svaki	Pi-msl
utvrđenom	utvrditi	Agpmsly
slučaju	slučaj	Ncmsl
ehinokokoze	ehinokokoza	Ncfsg
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg
te	te	Cc
o	o	Sl
nalazu	nalaz	Ncmsl
izvijestiti	izvijestiti	Vmn
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
iz	iz	Sg
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
o	o	Sl
istome	isti	Ncmsl
mora	morati	Vmr3s
izvijestiti	izvijestiti	Vmn
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
u	u	Sl
mjestu	mjesto	Ncnsl
podrijetla	podrijetlo	Ncnsg
pozitivne	pozitivan	Agpfsgy
životinje	životinja	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pravne	pravni	Agpfpny
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
,	,	Z
koje	koji	Pi-fpn
kolju	kolja	Ncfsa
životinje	životinja	Ncfsg
za	za	Sa
javnu	javan	Agpfsay
potrošnju	potrošnja	Ncfsa
,	,	Z
kao	kao	Cs
i	i	Qo
posjednici	posjednik	Ncmpn
životinja	životinja	Ncfpg
koji	koji	Pi-mpn
životinje	životinja	Ncfpn
kolju	kolja	Ncfsa
za	za	Sa
osobnu	osoban	Agpfsay
uporabu	uporaba	Ncfsa
u	u	Sl
kućanstvu	kućanstvo	Ncnsl
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
radi	radi	Sg
sprečavanja	sprečavanje	Ncnsg
širenja	širenje	Ncnsg
ehinokokoze	ehinokokoza	Ncfsg
,	,	Z
odbačene	odbaciti	Agpmpay
organe	organ	Ncmpa
zaklanih	zaklati	Agpfpgy
životinja	životinja	Ncfpg
učiniti	učiniti	Vmn
neškodljivim	neškodljiv	Agpmsiy
u	u	Sl
objektu	objekt	Ncmsl
za	za	Sa
toplinsku	toplinski	Agpfsay
preradu	prerada	Ncfsa
ili	ili	Cc
prokuhavanjem	prokuhavanje	Ncnsi
,	,	Z
odnosno	odnosno	Rgp
spaljivanjem	spaljivanje	Ncnsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
snosi	snositi	Vmr3s
posjednik	posjednik	Ncmsn
životinje	životinja	Ncfsg
,	,	Z
a	a	Cc
troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

2.	2.	Mdo
Cisticerkoza	cisticerkoz	Ncmsg

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nalaza	nalaz	Ncmsg
promjena	promjena	Ncfpg
na	na	Sl
liniji	linija	Ncfsl
klanja	klanje	Ncnsg
koje	koji	Pi-nsn
upućuju	upućivati	Vmr3p
na	na	Sa
cisticerkozu	cisticerkoza	Ncfsa
,	,	Z
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
ili	ili	Cc
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
mišić	mišić	Ncmsan
s	sa	Si
promjenama	promjena	Ncfpi
radi	radi	Sg
pretrage	pretraga	Ncfsg
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
u	u	Sl
klaonici	klaonica	Ncfsl
mora	morati	Vmr3s
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
svakom	svaki	Pi-msl
utvrđenom	utvrditi	Agpmsly
slučaju	slučaj	Ncmsl
cisticerkoze	cisticerkoza	Ncfsg
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg
te	te	Cc
o	o	Sl
nalazu	nalaz	Ncmsl
izvijestiti	izvijestiti	Vmn
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
iz	iz	Sg
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
o	o	Sl
istome	isti	Ncmsl
mora	morati	Vmr3s
izvijestiti	izvijestiti	Vmn
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
u	u	Sl
mjestu	mjesto	Ncnsl
podrijetla	podrijetlo	Ncnsg
pozitivne	pozitivan	Agpfsgy
životinje	životinja	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

3.	3.	Mdo
Trihineloza	trihineloza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
zaštite	zaštita	Ncfsg
zdravlja	zdravlje	Ncnsg
ljudi	čovjek	Ncmpg
i	i	Cc
utvrđivanja	utvrđivanje	Ncnsg
proširenosti	proširenost	Ncfsg
i	i	Cc
suzbijanja	suzbijanje	Ncnsg
trihineloze	trihineloza	Ncfsg
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
provedene	provesti	Appfpny
mjere	mjera	Ncfsg
otkrivanja	otkrivanje	Ncnsg
,	,	Z
suzbijanja	suzbijanje	Ncnsg
i	i	Cc
iskorjenjivanja	iskorjenjivanje	Ncnsg
bolesti	bolest	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Naredbom	naredba	Ncfsi
o	o	Sl
obveznom	obvezan	Agpmsly
pregledu	pregled	Ncmsl
mesa	meso	Ncnsg
svinja	svinja	Ncfpg
na	na	Sa
prisutnost	prisutnost	Ncfsa
oblića	oblića	Pi-fsn
roda	roda	Ncfsn
Trichinella	Trichinella	Npfsn
kod	kod	Sg
klanja	klanje	Ncnsg
za	za	Sa
osobnu	osoban	Agpfsay
uporabu	uporaba	Ncfsa
u	u	Sl
kućanstvu	kućanstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
