zbirni	zbirni	Agpmpny
računi	račun	Ncmpn
u	u	Sl
smislu	smisao	Ncmsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
648/2012.	648/2012.	Mds

34.	34.	Mdo

Obračunski	obračunski	Agpmsny
račun	račun	Ncmsn
u	u	Sl
smislu	smisao	Ncmsl
Dijela	dio	Ncmsg
petog	peti	Agpmsgy
ovoga	ovaj	Ncmsg
Zakona	zakon	Ncmsg
je	biti	Var3s
račun	račun	Ncmsn
za	za	Sa
plaćanje	plaćanje	Ncnsa
ili	ili	Cc
račun	račun	Ncmsan
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
koji	koji	Pi-mpn
za	za	Sa
poravnanje	poravnanje	Ncnsa
i	i	Cc
namiru	namir	Agpfsny
transakcija	transakcija	Ncfsn
financijskim	financijski	Agpmpdy
instrumentima	instrument	Ncmpd
koristi	koristiti	Vmr3s
središnja	središnji	Agpfsny
druga	drugi	Mlofsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
i	i	Cc
drugi	drugi	Mlompn
sudionici	sudionik	Ncmpn
sustava	sustav	Ncmsg
u	u	Sl
smislu	smisao	Ncmsl
posebnog	poseban	Agpmsgy
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
konačnost	konačnost	Ncfsn
namire	namiriti	Vmr3p
u	u	Sl
platnim	platni	Agpmply
sustavima	sustav	Ncmpl
i	i	Cc
sustavima	sustav	Ncmpl
za	za	Sa
namiru	namira	Ncfsa
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
.	.	Z
«	«	Z
.	.	Z

Dosadašnja	dosadašnji	Agpfsny
točka	točka	Ncfsn
31.	31.	Mdo
postaje	postajati	Vmr3s
točka	točka	Ncfsn
35.	35.	Mdo

Članak	članak	Ncmsn
3.	3.	Mdo

U	u	Sl
članku	članak	Ncmsl
4.	4.	Mdo
iza	iza	Sg
točke	točka	Ncfsg
48.	48.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
točke	točka	Ncfpn
49.	49.	Mdo
,	,	Z
50.	50.	Mdo
,	,	Z
51.	51.	Mdo
,	,	Z
52.	52.	Mdo
,	,	Z
53.	53.	Mdo
i	i	Cc
54.	54.	Mdo
koje	koji	Pi-mpa
glase	glas	Ncmpa
:	:	Z

»	»	Z
49.	49.	Mdo

Matično	matičan	Agpnsny
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
je	biti	Var3s
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
koje	koji	Pi-nsn
ima	imati	Vmr3s
instituciju	institucija	Ncfsa
ili	ili	Cc
financijsku	financijski	Agpfsay
instituciju	institucija	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
društvo	društvo	Ncnsn
kći	kći	Ncfsg
ili	ili	Cc
koja	koji	Pi-fsn
ima	imati	Vmr3s
sudjelujući	sudjelujući	Agpmsayn
udio	udjel	Ncmsan
u	u	Sl
takvoj	takav	Pd-fsl
instituciji	institucija	Ncfsl
ili	ili	Cc
financijskoj	financijski	Agpfsly
instituciji	institucija	Ncfsl
te	te	Cc
koja	koji	Pi-fsn
sama	sam	Agpfsny
nije	biti	Var3s
društvo	društvo	Ncnsn
kći	kći	Ncfsg
neke	neki	Pi-fsg
druge	drugi	Mlofsg
institucije	institucija	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
dobila	dobiti	Vmp-sf
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
ili	ili	Cc
financijskog	financijski	Agpmsgy
holdinga	holding	Ncmsg
ili	ili	Cc
mješovitog	mješovit	Agpmsgy
financijskog	financijski	Agpmsgy
holdinga	holding	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
osnovan	osnovati	Appmsnn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

50.	50.	Mdo

Matično	matičan	Agpnsny
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
je	biti	Var3s
matično	matičan	Agpnsny
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
ili	ili	Cc
bilo	bilo	Qo
kojoj	koji	Pi-fsl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsd
koje	koji	Pi-nsn
nije	biti	Var3s
društvo	društvo	Ncnsn
