svim	sav	Agpfply
državama	država	Ncfpl
članicama	članica	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
grupa	grupa	Ncfsn
posluje	poslovati	Vmr3s
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmsg
kad	kad	Cs
je	biti	Var3s
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
Agenciji	Agencija	Npfsl
dostavilo	dostaviti	Vmp-sn
plan	plan	Ncmsan
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
.	.	Z

Agencija	agencija	Ncfsn
postupa	postupati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tom	taj	Pd-fsi
zajedničkom	zajednički	Agpfsiy
odlukom	odluka	Ncfsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zatražiti	zatražiti	Vmn
pomoć	pomoć	Ncfsa
EBA-e	EBA-a	Npfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
31.	31.	Mdo
točkom	točka	Ncfsi
(	(	Z
c	C	Npmsn
)	)	Z
Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
donesena	donijeti	Appfsny
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
Agenciji	Agencija	Npfsl
dostavilo	dostaviti	Vmp-sn
plan	plan	Ncmsan
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
samostalnu	samostalan	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
potrebi	potreba	Ncfsl
izrade	izrada	Ncfsg
plana	plan	Ncmsg
oporavka	oporavak	Ncmsg
za	za	Sa
investicijsko	investicijski	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
Agencija	agencija	Ncfsn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
,	,	Z
kao	kao	Cs
i	i	Qo
o	o	Sl
primjeni	primjena	Ncfsl
mjera	mjera	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
43.	43.	Mdo
b	b	Cc
stavaka	stavak	Ncmpg
6.	6.	Mdo
do	do	Sg
11.	11.	Mdo
ovoga	ovaj	Ncmsg
Zakona	zakon	Ncmsg
za	za	Sa
svaku	svaki	Pi-fsa
pojedinu	pojedini	Agpfsay
članicu	članica	Ncfsa
grupe	grupa	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
Agencija	agencija	Ncfsn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
plana	plan	Ncmsg
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
,	,	Z
a	a	Cc
prije	prije	Sg
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-nsn
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
sjedište	sjedište	Ncnsa
drugih	drugi	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
uključena	uključiti	Appnpny
u	u	Sa
grupu	grupa	Ncfsa
zatraži	zatražiti	Vmr3s
posredovanje	posredovanje	Ncnsa
EBA-e	EBA-a	Npfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010	1093/2010	Mdc
te	te	Cc
EBA	eba	Ncfsn
donese	donijeti	Vmr3s
odluku	odluka	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
postupiti	postupiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tom	taj	Pd-fsi
odlukom	odluka	Ncfsi
.	.	Z

Rok	rok	Ncmsn
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
rokom	rok	Ncmsi
za	za	Sa
mirenje	mirenje	Ncnsa
u	u	Sl
smislu	smisao	Ncmsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1093/2010.	1093/2010.	Mds

Ako	ako	Cs
EBA	EBA	Npfsn
ne	ne	Qz
donese	donijeti	Vmr3s
odluku	odluka	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
odluka	odluka	Ncfsn
Agencije	agencija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
EBA	EBA	Npfsn
može	moći	Vmr3s
