VATROGASTVA	vatrogastvo	Ncnsg
PO	po	Sl
GRADOVIMA	grad	Ncmpl
/		Agpfply
OPĆINAMA	općina	Ncfpl
U	u	Sl
2016.	2016.	Mdo

GODINI	godina	Ncfsl

Tablica	tablica	Ncfsn
3.	3.	Mdo
općine	općina	Ncfsg
/	/	Z
gradovi	grad	Ncmpn
Red	red	Ncmsan
.	.	Z
broj	broj	Ncmsn
Osnivači	osnivač	Ncmpn
i	i	Cc
suosnivači	suosnivač	Ncmpn
javnih	javan	Agpfpgy
vatrogasnih	vatrogasan	Agpfpgy
postrojbi	postrojba	Ncfpg
gradovi	grad	Ncmpn
/	i	Agpfsgy
općine	općina	Ncfsg
Naziv	naziv	Ncmsn
javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg
Ukupno	ukupno	Rgp
kuna	kuna	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
1.	1.	Mdo
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
JVP	JVP	Npmsn
ZAGREB	Zagreb	Npmsn
40.104.688	40.104.688	Mdc
2.	2.	Mdo
Grad	grad	Ncmsn
Zaprešić	Zaprešić	Npmsn
JVP	JVP	Npmsn
ZAPREŠIĆ	ZAPREŠIĆ	Npmsn
3.773.990	3.773.990	Mdc
3.	3.	Mdo
Grad	grad	Ncmsn
Samobor	Samobor	Npmsn
JVP	JVP	Npmsn
SAMOBOR	SAMOBOR	Npmsn
2.792.544	2.792.544	Mdc
4.	4.	Mdo
Grad	grad	Ncmsn
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
JVP	jv	Agpfpgy
VELIKA	velik	Agpfsny
GORICA	gorica	Ncfsn
4.565.018	4.565.018	Mdc
5.	5.	Mdo
Grad	grad	Ncmsn
Ivanić-Grad	Ivanić-Grad	Npmsn
JVP	JVP	Npmsn
IVANIĆ	Ivanić	Npmsn
GRAD	grad	Ncmsn
3.538.142	3.538.142	Mdc
6.	6.	Mdo
Suosnivači	suosnivač	Ncmpn
:	:	Z
ZAGORSKA	zagorski	Agpfsny
JVP	jvp	Ncfsn
7.105.783	7.105.783	Mdc
Grad	grad	Ncmsn
Zabok	Zabok	Npmsn
(	(	Z
8,96	8,96	Mdc
%	%	Z
)	)	Z
636.678	636.678	Mdc
Grad	grad	Ncmsn
Klanjec	Klanjec	Npmsn
(	(	Z
3,09	3,09	Mdc
%	%	Z
)	)	Z
219.569	219.569	Mdc
Grad	grad	Ncmsn
Oroslavje	Oroslavja	Npfsg
(	(	Z
5,98	5,98	Mdc
%	%	Z
)	)	Z
424.925	424.925	Mdc
Grad	grad	Ncmsn
Pregrada	pregrada	Ncfsn
(	(	Z
6,85	6,85	Mdc
%	%	Z
)	)	Z
486.747	486.747	Mdc
Grad	grad	Ncmsn
Zlatar	Zlatar	Npmsn
(	(	Z
6,22	6,22	Mdc
%	%	Z
)	)	Z
441.980	441.980	Mdc
Grad	grad	Ncmsn
Donja	Donja	Npfsn
Stubica	Stubica	Npfsn
(	(	Z
5,67	5,67	Mdc
%	%	Z
)	)	Z
402.898	402.898	Mdc
Općina	Općina	Npfsn
Bedekovčina	Bedekovčina	Npfsn
(	(	Z
8,11	8,11	Mdc
%	%	Z
)	)	Z
576.279	576.279	Mdc
Općina	Općina	Npfsn
Budinščina	Budinščina	Npfsn
(	(	Z
2,67	2,67	Mdc
%	%	Z
)	)	Z
189.724	189.724	Mdc
Općina	općina	Ncfsn
Desinić	Desinić	Npmsn
(	(	Z
3,33	3,33	Mdc
%	%	Z
)	)	Z
236.622	236.622	Mdc
Općina	općina	Ncfsn
Gornja	gornji	Agpfsny
Stubica	Stubica	Npfsn
(	(	Z
5,48	5,48	Mdc
%	%	Z
)	)	Z
389.397	389.397	Mdc
Općina	Općina	Npfsn
Hrašćina	Hrašćina	Npfsn
(	(	Z
1,75	1,75	Mdc
%	%	Z
)	)	Z
124.351	124.351	Mdc
Općina	Općina	Npfsn
Konjšćina	Konjšćina	Npfsn
(	(	Z
3,90	3,90	Mdc
%	%	Z
)	)	Z
277.125	277.125	Mdc
Općina	općina	Ncfsn
Kraljevec	Kraljevec	Npmsn
na	na	Sl
Sutli	Sutla	Npfsl
(	(	Z
1,74	1,74	Mdc
%	%	Z
)	)	Z
123.641	123.641	Mdc
Općina	općina	Ncfsn
Krapinske	krapinski	Agpfsgy
Toplice	Toplica	Npfsg
(	(	Z
5,49	5,49	Mdc
%	%	Z
)	)	Z
390.108	390.108	Mdc
Općina	općina	Ncfsn
Kumrovec	Kumrovec	Npmsn
(	(	Z
1,77	1,77	Mdc
%	%	Z
)	)	Z
125.772	125.772	Mdc
Općina	općina	Ncfsn
