Broj	broj	Ncmsn
:	:	Z
511	511	Mdc
-	-	Z
01	01	Mdc
-	-	Z
152	152	Mdc
-	-	Z
691/6	691/6	Mdc
-	-	Z
2016.	2016.	Mdo

Zagreb	Zagreb	Npmsn
,	,	Z
7.	7.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
Vlaho	Vlaho	Npmsn
Orepić	Orepić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
I	i	Cc

KRITERIJI	kriterij	Ncmpn
ODREĐIVANJA	određivanje	Ncnsg
KLASIFIKACIJE	klasifikacija	Ncfsg
SKUPINA	skupina	Ncfsn
OPREME	oprema	Ncfsg
U	u	Sa
KATEGORIJE	kategorija	Ncfpa

1.	1.	Mdo
OPREMA	oprema	Ncfsn
SKUPINE	skupina	Ncfsg
I	i	Cc

a	a	Cc
)	)	Z
Opremu	oprema	Ncfsa
kategorije	kategorija	Ncfsg
M1	ma	Ncfsg
čini	činiti	Vmr3s
oprema	oprema	Ncfsn
izrađena	izraditi	Appfsny
i	i	Cc
po	po	Sl
potrebi	potreba	Ncfsl
opremljena	opremiti	Appfsny
dodatnim	dodatan	Agpnply
posebnim	poseban	Agpnply
sredstvima	sredstvo	Ncnpl
zaštite	zaštita	Ncfsg
,	,	Z
sposobna	sposoban	Agpfsny
funkcionirati	funkcionirati	Vmn
prema	prema	Sl
radnim	radni	Agpmply
parametrima	parametar	Ncmpl
što	što	Pi3n-n
ih	oni	Pp3-pa
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
proizvođač	proizvođač	Ncmsn
,	,	Z
osiguravajući	osiguravati	Rr
vrlo	vrlo	Rgp
visoku	visok	Agpfsay
razinu	razina	Ncfsa
zaštite	zaštita	Ncfsg
.	.	Z

Oprema	oprema	Ncfsn
ove	ovaj	Pd-fsg
kategorije	kategorija	Ncfsg
namijenjena	namijeniti	Appfsny
je	biti	Var3s
uporabi	uporaba	Ncfsl
u	u	Sl
podzemnim	podzeman	Agpmply
dijelovima	dio	Ncmpl
rudnika	rudnik	Ncmpg
,	,	Z
kao	kao	Cs
i	i	Qo
onim	onaj	Pd-mpl
dijelovima	dio	Ncmpl
vanjskih	vanjski	Agpfpgy
instalacija	instalacija	Ncfpg
tih	taj	Pd-mpg
rudnika	rudnik	Ncmpg
ugroženih	ugroziti	Appmpgy
metanom	metan	Ncmsi
i	i	Cc
/	/	Z
ili	ili	Cc
zapaljivom	zapaljiv	Agpfsiy
prašinom	prašina	Ncfsi
.	.	Z

Za	za	Sa
opremu	oprema	Ncfsa
u	u	Sl
ovoj	ovaj	Pd-fsl
kategoriji	kategorija	Ncfsl
zahtijeva	zahtijevati	Vmr3s
se	sebe	Px--sa
da	da	Cs
ostane	ostati	Vmr3s
upotrebljiva	upotrebljiv	Agpfsny
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
izuzetnih	izuzetan	Agpmpgy
kvarova	kvar	Ncmpg
opreme	oprema	Ncfsg
,	,	Z
uz	uz	Sa
prisutnost	prisutnost	Ncfsa
eksplozivne	eksplozivan	Agpfsgy
atmosfere	atmosfera	Ncfsg
i	i	Cc
da	da	Cs
su	biti	Var3p
joj	on	Pp3fsd
svojstvena	svojstven	Agpnpny
sredstva	sredstvo	Ncnpn
zaštite	zaštita	Ncfsg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z

–	–	Z
da	da	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kvara	kvar	Ncmsg
jednog	jedan	Agpnsgy
sredstva	sredstvo	Ncnsg
zaštite	zaštita	Ncfsg
barem	barem	Rgp
jedno	jedan	Mlcnsa
drugo	drugi	Agpnsay
nezavisno	nezavisan	Agpnsay
sredstvo	sredstvo	Ncnsa
osigurava	osiguravati	Vmr3s
traženu	tražen	Agpfsay
razinu	razina	Ncfsa
zaštite	zaštita	Ncfsg
,	,	Z

–	–	Z
ili	ili	Cc
je	biti	Var3s
osigurana	osigurati	Appfsny
tražena	tražen	Agpfsny
razina	razina	Ncfsn
zaštite	zaštita	Ncfsg
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
dvaju	dva	Mlcm-g
kvarova	kvar	Ncmpg
nastalih	nastao	Agpmpgy
nezavisno	nezavisno	Rgp
jedan	jedan	Mlcmsn
o	o	Sl
drugome	drugi	Ncfsl
.	.	Z

Oprema	oprema	Ncfsn
u	u	Sl
ovoj	ovaj	Pd-fsl
kategoriji	kategorija	Ncfsl
mora	morati	Vmr3s
udovoljavati	udovoljavati	Vmn
dodatnim	dodatan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
navedenim	naveden	Agpmpiy
u	u	Sl
točki	točka	Ncfsl
2.0.1.	2.0.1.	Mds

Priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z

b	b	Npmsn
)	)	Z
Opremu	oprema	Ncfsa
kategorije	kategorija	Ncfsg
M2	m	Agpfpgy
čini	čini	Ncfpg
oprema	opremati	Vmr3s
izrađena	izraditi	Appfsny
tako	tako	Cs
da	da	Cs
može	moći	Vmr3s
funkcionirati	funkcionirati	Vmn
prema	prema	Sl
radnim	radni	Agpmply
parametrima	parametar	Ncmpl
što	što	Pi3n-n
ih	oni	Pp3-pa
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
proizvođač	proizvođač	Ncmsn
osiguravajući	osiguravajući	Agpmsny
visoku	visok	Agpfsay
razinu	razina	Ncfsa
zaštite	zaštita	Ncfsg
.	.	Z

Oprema	oprema	Ncfsn
u	u	Sl
ovoj	ovaj	Pd-fsl
kategoriji	kategorija	Ncfsl
je	biti	Var3s
namijenjena	namijeniti	Appfsny
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
podzemnim	podzeman	Agpmply
dijelovima	dio	Ncmpl
rudnika	rudnik	Ncmpg
kao	kao	Cs
i	i	Qo
onim	onaj	Pd-mpl
dijelovima	dio	Ncmpl
površinskih	površinski	Agpfpgy
instalacija	instalacija	Ncfpg
tih	taj	Pd-mpg
rudnika	rudnik	Ncmpg
koji	koji	Pi-mpn
bi	biti	Vaa3p
mogli	moći	Vmp-pm
biti	biti	Van
ugroženi	ugroziti	Appmpny
metanom	metan	Ncmsi
i	i	Cc
/	/	Z
ili	ili	Cc
zapaljivom	zapaljiv	Agpfsiy
prašinom	prašina	Ncfsi
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
pojave	pojava	Ncfsg
eksplozivne	eksplozivan	Agpfsgy
atmosfere	atmosfera	Ncfsg
ovoj	ovoj	Ncmsn
opremi	oprema	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
moguće	moguć	Agpnsny
isklopiti	isklopit	Agpnsny
napajanje	napajanje	Ncnsn
.	.	Z

Sredstva	sredstvo	Ncnpa
zaštite	zaštita	Ncfsg
