njihove	njihov	Ps3fsg
učestalosti	učestalost	Ncfsg
;	;	Z

d		Agpnpgy
)	)	Z
izvješća	izvješće	Ncnpa
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
izvješća	izvješće	Ncnpa
o	o	Sl
provjeri	provjera	Ncfsl
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
ispitivanjima	ispitivanje	Ncnpl
i	i	Cc
kalibraciji	kalibracija	Ncfsl
,	,	Z
izvještaji	izvještaj	Ncmpn
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
zaposlenika	zaposlenik	Ncmpg
itd.	itd.	Y
;	;	Z
te	te	Cc

e	e	I
)	)	Z
nadzornih	nadzorni	Agpfpgy
mjera	mjera	Ncfpg
za	za	Sa
postizanje	postizanje	Ncnsa
tražene	tražen	Agpfsgy
kvalitete	kvaliteta	Ncfsg
proizvoda	proizvod	Ncmpg
i	i	Cc
učinkovitog	učinkovit	Agpnsgy
djelovanja	djelovanje	Ncnsg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
.	.	Z

3.3.	3.3.	Mdo

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
ocjenjuje	ocjenjivati	Vmr3s
sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
utvrdilo	utvrditi	Vmp-sn
udovoljava	udovoljavati	Vmr3s
li	li	Qq
zahtjevima	zahtjev	Ncmpi
navedenim	naveden	Agpmpiy
u	u	Sl
točki	točka	Ncfsl
3.2.	3.2.	Mds

Ono	onaj	Pd-nsn
pretpostavlja	pretpostavljati	Vmr3s
sukladnost	sukladnost	Ncfsn
s	sa	Si
tim	taj	Pd-mpi
zahtjevima	zahtjev	Ncmpi
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
elemente	element	Ncmpa
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odgovarajućim	odgovarajući	Agpfpiy
specifikacijama	specifikacija	Ncfpi
relevantnih	relevantan	Agpmpgy
usklađenih	uskladiti	Appfpgy
normi	norma	Ncfpg
.	.	Z

Uz	uz	Sa
iskustvo	iskustvo	Ncnsa
u	u	Sl
sustavu	sustav	Ncmsl
vođenja	vođenje	Ncnsg
kvalitete	kvaliteta	Ncfsg
ocjeniteljski	ocjeniteljski	Agpmsny
tim	tim	Ncmsn
također	također	Rgp
mora	morati	Vmr3s
imati	imati	Vmn
najmanje	malo	Rgs
jednog	jedan	Mlcmsg
člana	član	Ncmsg
s	sa	Si
iskustvom	iskustvo	Ncnsi
u	u	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
iz	iz	Sg
područja	područje	Ncnsg
relevantnog	relevantan	Agpmsgy
proizvoda	proizvod	Ncmsg
i	i	Cc
tehnologije	tehnologija	Ncfsg
proizvoda	proizvod	Ncmpg
kao	kao	Cs
i	i	Cc
znanje	znanje	Ncnsa
o	o	Sl
primjenjivim	primjenjiv	Agpmply
zahtjevima	zahtjev	Ncmpl
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Postupak	postupak	Ncmsn
ocjene	ocjena	Ncfsg
uključuje	uključivati	Vmr3s
obilazak	obilazak	Ncmsan
objekata	objekt	Ncmpg
proizvođača	proizvođač	Ncmsg
u	u	Sa
svrhu	svrha	Ncfsa
ocjenjivanja	ocjenjivanje	Ncnsg
.	.	Z

Ocjeniteljski	ocjeniteljski	Agpmsny
tim	tim	Ncmsn
pregledava	pregledavati	Vmr3s
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
točke	točka	Ncfsg
3.1.	3.1i	Agpfsgy
podtočke	podtočka	Ncfsg
e	e	I
)	)	Z
kako	kako	Cs
bi	biti	Vaa3s
potvrdio	potvrditi	Vmp-sm
sposobnost	sposobnost	Ncfsa
proizvođača	proizvođač	Ncmsg
da	da	Cs
utvrdi	utvrditi	Vmr3s
primjenjive	primjenjiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
kako	kako	Cs
bi	biti	Vaa3s
izvršio	izvršiti	Vmp-sm
nužne	nužan	Agpmpay
preglede	pregled	Ncmpa
za	za	Sa
osiguranje	osiguranje	Ncnsa
sukladnosti	sukladnost	Ncfsg
proizvoda	proizvod	Ncmpg
s	sa	Si
tim	taj	Pd-mpi
zahtjevima	zahtjev	Ncmpi
.	.	Z

Odluka	odluka	Ncfsn
se	sebe	Px--sa
upućuje	upućivati	Vmr3s
proizvođaču	proizvođač	Ncmsd
.	.	Z

Obavijest	obavijest	Ncfsn
sadrži	sadržati	Vmr3s
zaključke	zaključak	Agpfpay
ocjene	ocjena	Ncfpa
i	i	Cc
obrazloženu	obrazložiti	Appfsay
odluku	odluka	Ncfsa
o	o	Sl
