direktora	direktor	Ncmsg
iz	iz	Sg
područja	područje	Ncnsg
vanjske	vanjski	Agpfsgy
,	,	Z
sigurnosne	sigurnosni	Agpfsgy
i	i	Cc
obrambene	obramben	Agpfsgy
politike	politika	Ncfsg
EU	E	Npmsg
;	;	Z
održava	održavati	Vmr3s
redovite	redovit	Agpmpay
kontakte	kontakt	Ncmpa
s	sa	Si
Europskom	europski	Agpfsiy
službom	služba	Ncfsi
za	za	Sa
vanjsko	vanjski	Agpnsay
djelovanje	djelovanje	Ncnsa
i	i	Cc
prema	prema	Sl
njoj	on	Pp3fsd
promiče	promicati	Vmr3s
interese	interes	Ncmpa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

U	u	Sl
Sektoru	sektor	Ncmsl
za	za	Sa
Zajedničku	zajednički	Agpfsay
vanjsku	vanjski	Agpfsay
i	i	Cc
sigurnosnu	sigurnosni	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZVSP	ZVSP	Npmsn
)	)	Z
ustrojavaju	ustrojavati	Vmr3p
se	sebe	Px--sa
:	:	Z

4.3.1.	4.3.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
vanjsku	vanjski	Agpfsay
i	i	Cc
sigurnosnu	sigurnosni	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZVSP	ZVSP	Npmsn
)	)	Z
i	i	Cc
EU	E	Npmsg
mjere	mjera	Ncfpa
ograničavanja	ograničavanje	Ncnsg
;	;	Z

4.3.2.	4.3.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
sigurnosnu	sigurnosni	Agpfsay
i	i	Cc
obrambenu	obramben	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZSOP	ZSOP	Npmsn
)	)	Z
.	.	Z

4.3.1.	4.3.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
vanjsku	vanjski	Agpfsay
i	i	Cc
sigurnosnu	sigurnosni	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZVSP	ZVSP	Npmsn
)	)	Z
i	i	Cc
EU	E	Npmsg
mjere	mjera	Ncfpa
ograničavanja	ograničavanje	Ncnsg

Članak	članak	Ncmsn
39.	39.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
vanjsku	vanjski	Agpfsay
i	i	Cc
sigurnosnu	sigurnosni	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZVSP	ZVSP	Npmsn
)	)	Z
i	i	Cc
EU	E	Npmsg
mjere	mjera	Ncfpa
ograničavanja	ograničavanje	Ncnsg
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
utvrđivanju	utvrđivanje	Ncnsl
i	i	Cc
provedbi	provedba	Ncfsl
ZVSP-a	zvsp-	Ncmsg
te	te	Cc
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
usklađenosti	usklađenost	Ncfsl
stajališta	stajalište	Ncnsg
i	i	Cc
politika	politika	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sa	sa	Si
stajalištima	stajalište	Ncmpi
i	i	Cc
politikama	politika	Ncfpl
