tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Investicijska	investicijski	Agpnpny
društva	društvo	Ncnpn
dužna	dužan	Agpnpny
su	biti	Var3p
dostaviti	dostaviti	Vmn
Agenciji	Agencija	Npfsd
nerevidirane	nerevidiran	Agpmpay
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvještaj	izvještaj	Ncmsn
odnosi	odnositi	Vmr3s
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Investicijska	investicijski	Agpnpny
društva	društvo	Ncnpn
dužna	dužan	Agpnpny
su	biti	Var3p
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
revidirane	revidirati	Appfpny
godišnje	godišnje	Rgp
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
i	i	Cc
revizorsko	revizorski	Agpnsay
izvješće	izvješće	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvještaj	izvještaj	Ncmsn
odnosi	odnositi	Vmr3s
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
,	,	Z
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Agenciji	Agencija	Npfsd
revidirane	revidirati	Appfpny
godišnje	godišnje	Rgp
konsolidirane	konsolidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
i	i	Cc
revizorsko	revizorski	Agpnsny
izvješće	izvješće	Ncnsn
za	za	Sa
grupu	grupa	Ncfsa
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
po	po	Sl
proteku	protek	Ncmsl
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvještaj	izvještaj	Ncmsn
odnosi	odnositi	Vmr3s
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Investicijska	investicijski	Agpnpny
društva	društvo	Ncnpn
dostavljaju	dostavljati	Vmr3p
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
Agenciji	agencija	Ncfsd
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
s	sa	Si
naprednim	napredan	Agpmsiy
elektroničkim	elektronički	Agpmsiy
potpisom	potpis	Ncmsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tehničkom	tehnički	Agpfsiy
uputom	uputa	Ncfsi
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
dostavilo	dostaviti	Vmp-sn
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
trenutku	trenutak	Ncmsl
kad	kad	Cs
je	biti	Var3s
izvještaj	izvještaj	Ncmsn
prihvaćen	prihvatiti	Appmsnn
na	na	Sl
poslužitelju	poslužitelj	Ncmsl
Agencije	agencija	Ncfsg
za	za	Sa
zaprimanje	zaprimanje	Ncnsa
izvještaja	izvještaj	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
opravdanim	opravdati	Agpmply
slučajevima	slučaj	Ncmpl
nemogućnosti	nemogućnost	Ncfsg
dostave	dostava	Ncfsg
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
stavkom	stavak	Ncmsan
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
dostaviti	dostaviti	Vmn
izvještaje	izvještaj	Ncmpa
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
neposredno	neposredno	Rgp
ili	ili	Cc
poštom	pošta	Ncfsi
