krivotvorene	krivotvoriti	Appfpny
dokumentacije	dokumentacija	Ncfpn

4.	4.	Mdo
neovlašteno	neovlašteno	Rgp
ili	ili	Cc
samovoljno	samovoljno	Rgp
koristi	koristiti	Vmr3s
podatke	podatak	Ncmpa
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
radi	radi	Sg
obavljanja	obavljanje	Ncnsg
ili	ili	Cc
stvaranja	stvaranje	Ncnsg
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
prijevarnih	prijevaran	Agpfpgy
radnji	radnja	Ncfpg
,	,	Z
postupanja	postupanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi

5.	5.	Mdo
zlouporabom	zlouporaba	Ncfsi
povjerenja	povjerenje	Ncnsg
,	,	Z
prijevarnim	prijevaran	Agpnsiy
,	,	Z
lažnim	lažan	Agpnsiy
ili	ili	Cc
obmanjujućim	obmanjujući	Agpfpiy
radnjama	radnja	Ncfpi
obavlja	obavljati	Vmr3s
radnje	radnja	Ncfpa
,	,	Z
postupanja	postupanje	Ncnsg
ili	ili	Cc
raspolaganja	raspolaganje	Ncnsg
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
ili	ili	Cc
stvara	stvarati	Vmr3s
uvjete	uvjet	Ncmpa
za	za	Sa
takve	takav	Agpfpay
radnje	radnja	Ncfpa
,	,	Z
postupanja	postupanje	Ncnsg
ili	ili	Cc
raspolaganja	raspolaganje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Svako	svaki	Pi-nsn
postupanje	postupanje	Ncnsn
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
kao	kao	Cs
primatelj	primatelj	Ncmsn
robe	roba	Ncfsg
deklarira	deklarirati	Vmr3s
ili	ili	Cc
navede	navesti	Vmr3s
nepostojeća	nepostojeći	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
osoba	osoba	Ncfsn
bez	bez	Sg
čijeg	čiji	Pi-nsg
znanja	znanje	Ncnsg
i	i	Cc
volje	volja	Ncfsg
je	biti	Var3s
korišten	koristiti	Appmsnn
njezin	njezin	Ps3msn
identitet	identitet	Ncmsn
ili	ili	Cc
njezini	njezin	Ps3mpn
drugi	drugi	Mlompn
podaci	podatak	Ncmpn
zlouporaba	zlouporaba	Ncfsn
je	biti	Var3s
prava	pravo	Ncnpg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
u	u	Sl
smislu	smisao	Ncmsl
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
provjerom	provjera	Ncfsi
carinske	carinski	Agpfsgy
deklaracije	deklaracija	Ncfsg
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
utvrde	utvrda	Ncfsg
okolnosti	okolnost	Ncfsg
iz	iz	Sg
kojih	koji	Pi-fpg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
bi	biti	Vaa3s
deklarirana	deklarirati	Appfsny
roba	roba	Ncfsn
mogla	moći	Vmp-sf
biti	biti	Van
predmet	predmet	Ncmsn
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
carinski	carinski	Agpmsny
ured	ured	Ncmsn
pokreće	pokretati	Vmr3s
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
okolnosti	okolnost	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđene	utvrditi	Appfpny
:	:	Z

1.	1.	Mdo
prije	prije	Sg
puštanja	puštanje	Ncnsg
robe	roba	Ncfsg
,	,	Z
carinski	carinski	Agpmsny
ured	ured	Ncmsn
odmah	odmah	Rgp
obavještava	obavještavati	Vmr3s
deklaranta	deklarant	Ncmsay
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
,	,	Z
a	a	Cc
po	po	Sl
potrebi	potreba	Ncfsl
i	i	Cc
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
način	način	Ncmsan
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
povezane	povezati	Appfpny
s	sa	Si
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
subjekt	subjekt	Ncmsn
provjere	provjera	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
)	)	Z
,	,	Z
dostavom	dostava	Ncfsi
obavijesti	obavijest	Ncfsg
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
.	.	Z

Dok	dok	Cs
traje	trajati	Vmr3s
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
roba	roba	Ncfpg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
puštena	pustiti	Appfsny
deklarantu	deklarant	Ncmsd
na	na	Sa
slobodno	slobodan	Agpnsay
raspolaganje	raspolaganje	Ncnsa

2.	2.	Mdo
nakon	nakon	Sg
puštanja	puštanje	Ncnsg
robe	roba	Ncfsg
,	,	Z
obavještavanje	obavještavanje	Ncnsa
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
provodi	provoditi	Vmr3s
se	sebe	Px--sa
uz	uz	Sa
odgovarajuću	odgovarajući	Agpfsay
primjenu	primjena	Ncfsa
članka	članak	Ncmsg
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Obavijest	obavijest	Ncfsn
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
obavijest	obavijest	Ncfsn
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
)	)	Z
sadrži	sadržati	Vmr3s
utvrđeno	utvrditi	Agpnsny
činjenično	činjeničan	Agpnsny
stanje	stanje	Ncnsn
,	,	Z
obrazloženje	obrazloženje	Ncnsa
okolnosti	okolnost	Ncfsg
i	i	Cc
razloga	razlog	Ncmpg
zbog	zbog	Sg
kojih	koji	Pi-mpg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
deklarirana	deklarirati	Appfsny
roba	roba	Ncfsn
predmet	predmet	Agpfsgy
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
,	,	Z
uputu	uputa	Ncfsa
subjektu	subjekt	Ncmsd
provjere	provjera	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
rokovima	rok	Ncmpl
dostave	dostaviti	Vmr3p
očitovanja	očitovanje	Ncnpa
na	na	Sa
obavijest	obavijest	Ncfsa
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
te	te	Cc
posljedicama	posljedica	Ncfpd
ako	ako	Cs
ne	ne	Qz
dostavi	dostaviti	Vmr3s
traženo	tražen	Agpnsay
očitovanje	očitovanje	Ncnsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Subjekt	subjekt	Ncmsn
provjere	provjera	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
dostaviti	dostaviti	Vmn
obrazloženo	obrazložiti	Appnsny
očitovanje	očitovanje	Ncnsa
o	o	Sl
činjenicama	činjenica	Ncfpl
i	i	Cc
okolnostima	okolnost	Ncfpl
navedenim	naveden	Agpfply
u	u	Sl
obavijesti	obavijest	Ncfsl
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
te	te	Cc
za	za	Sa
svoje	svoj	Px-fpa
tvrdnje	tvrdnja	Ncfpa
dostaviti	dostaviti	Vmn
dokaze	dokaz	Ncmpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
obavijesti	obavijest	Ncfsg
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
.	.	Z

Ako	ako	Cs
subjekt	subjekt	Ncmsn
provjere	provjera	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
ostavljenom	ostaviti	Agpmsly
roku	rok	Ncmsl
ne	ne	Qz
dostavi	dostaviti	Vmr3s
očitovanje	očitovanje	Ncnsa
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
suglasan	suglasan	Agpmsnn
s	sa	Si
činjenicama	činjenica	Ncfpi
i	i	Cc
okolnostima	okolnost	Ncfpl
navedenim	naveden	Agpfply
u	u	Sl
obavijesti	obavijest	Ncfsl
o	o	Sl
sumnji	sumnja	Ncfsl
u	u	Sa
zlouporabu	zlouporaba	Ncfsa
prava	pravo	Ncnsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
carinski	carinski	Agpmsny
ured	ured	Ncmsn
koristi	koristiti	Vmr3s
sva	sav	Agpnpay
dokazna	dokazni	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
relevantnih	relevantan	Agpfpgy
činjenica	činjenica	Ncfpg
,	,	Z
uključujući	uključivati	Rr
obavijesti	obavijest	Ncfpa
i	i	Cc
informacije	informacija	Ncfpa
prikupljene	prikupiti	Appfpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
administrativna	administrativan	Agpfsny
suradnja	suradnja	Ncfsn
i	i	Cc
razmjena	razmjena	Ncfpg
informacija	informacija	Ncfpg
s	sa	Si
drugim	drugi	Mlofpi
državama	država	Ncfpi
.	.	Z

U	u	Sl
postupku	postupak	Ncmsl
utvrđivanja	utvrđivanje	Ncnsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
subjekti	subjekt	Ncmpn
provjere	provjera	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
ne	ne	Qz
mogu	moći	Vmr3p
se	sebe	Px--sa
