prvog	prvi	Mlomsg
dobavljača	dobavljač	Ncmsg
uz	uz	Sa
korekciju	korekcija	Ncfsa
financijskog	financijski	Agpmsgy
iznosa	iznos	Ncmsg
za	za	Sa
već	već	Rgp
isporučeno	isporučiti	Appnsay
voće	voće	Ncnsa
i	i	Cc
povrće	povrće	Ncnsa
.	.	Z

Učestalost	učestalost	Ncfsn
isporuke	isporuka	Ncfsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Isporuka	isporuka	Ncfsn
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
odvijat	odvijati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
najmanje	malo	Rgs
jednom	jednom	Rgp
tjedno	tjedno	Rgp
u	u	Sa
nastavne	nastavni	Agpmpay
dane	dan	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
školskim	školski	Agpmsiy
kalendarom	kalendar	Ncmsi
tijekom	tijekom	Sg
cijele	cijel	Agpfsgy
školske	školski	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dobavljač	dobavljač	Ncmsn
će	htjeti	Var3s
započeti	započeti	Vmn
isporuku	isporuka	Ncfsa
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
nakon	nakon	Sg
izdavanja	izdavanje	Ncnsg
privremene	privremen	Agpfsgy
odluke	odluka	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
podstavka	podstavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Raspodjela	raspodjela	Ncfsn
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
odvijat	odvijati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
istoga	isti	Agpmsgy
dana	dan	Ncmsg
kada	kada	Cs
i	i	Cc
isporuka	isporuka	Ncfsn
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
ili	ili	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
24	24	Mdc
h	h	Y
od	od	Sg
isporuke	isporuka	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Dobavljač	dobavljač	Ncmsn
će	htjeti	Var3s
izdati	izdati	Vmn
školi	škola	Ncfsl
otpremnicu	otpremnica	Ncfsa
za	za	Sa
isporučeno	isporučiti	Agpnsay
voće	voće	Ncnsa
i	i	Cc
povrće	povrće	Ncnsa
na	na	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
stajati	stajati	Vmn
napomena	napomena	Ncfsn
:	:	Z
»	»	Z
Troškove	trošak	Ncmpa
za	za	Sa
voće	voće	Ncnsa
i	i	Cc
povrće	povrće	Ncnsa
isporučeno	isporučiti	Appnsny
u	u	Sa
školu	škola	Ncfsa
po	po	Sl
ovoj	ovaj	Pd-fsl
otpremnici	otpremnica	Ncfsl
podmirit	podmiriti	Vmn
će	htjeti	Var3s
Ministarstvo	ministarstvo	Ncnsn
poljoprivrede	poljoprivreda	Ncfsg
.	.	Z
«	«	Z

(	(	Z
5	5	Mdc
)	)	Z
Škola	škola	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
potpisati	potpisati	Vmn
otpremnicu	otpremnica	Ncfsa
,	,	Z
uzeti	uzeti	Vmn
jedan	jedan	Mlcmsan
primjerak	primjerak	Ncmsan
otpremnice	otpremnica	Ncfsg
te	te	Cc
voditi	voditi	Vmn
posebnu	poseban	Agpfsay
evidenciju	evidencija	Ncfsa
preuzetih	preuzet	Agpfpgy
količina	količina	Ncfpg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
.	.	Z

Prateće	prateći	Agpfpay
mjere	mjera	Ncfpa

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Shema	shema	Ncfsn
školskog	školski	Agpnsgy
voća	voće	Ncnsg
