ostvarivanja	ostvarivanje	Ncnpn
prava	pravo	Ncnsg
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
i	i	Cc
ponovne	ponovan	Agpfsgy
uporabe	uporaba	Ncfsg
informacija	informacija	Ncfpg
;	;	Z

9.	9.	Mdo
izrađuje	izrađivati	Vmr3s
nacrte	nacrt	Ncmpa
mišljenja	mišljenje	Ncnsg
povodom	povod	Sg
upita	upit	Ncmsg
i	i	Cc
pruža	pružati	Vmr3s
pomoć	pomoć	Ncfsa
tijelima	tijelo	Agpfsgy
javne	javan	Agpfsgy
vlasti	vlast	Ncfsg
i	i	Cc
građana	građanin	Ncmpg
u	u	Sl
pogledu	pogled	Ncmsl
pravilne	pravilan	Agpfsgy
primjene	primjena	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
te	te	Cc
prava	prav	Agpfsny
i	i	Cc
obveza	obveza	Ncfsn
tijela	tijelo	Ncnsg
javne	javan	Agpfsgy
vlasti	vlast	Ncfsg
i	i	Cc
građana	građanin	Ncmpg
;	;	Z

10.	10.	Mdo
priprema	pripremati	Vmr3s
nacrte	nacrt	Ncmpa
akata	akt	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
potiče	poticati	Vmr3s
donošenje	donošenje	Ncnsn
ili	ili	Cc
izmjena	izmjena	Ncfsn
propisa	propis	Ncmpg
radi	radi	Sg
provedbe	provedba	Ncfsg
i	i	Cc
unaprjeđenja	unaprjeđenje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
i	i	Cc
ponovne	ponovan	Agpfsgy
uporabe	uporaba	Ncfsg
informacija	informacija	Ncfpg
;	;	Z

11.	11.	Mdo
prati	pratiti	Vmr3s
,	,	Z
analizira	analizirati	Vmr3s
i	i	Cc
potiče	poticati	Vmr3s
usklađivanje	usklađivanje	Ncnsa
zakona	zakon	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
propisa	propis	Ncmpg
s	sa	Si
međunarodnim	međunarodni	Agpmpiy
pravnim	pravni	Agpmpiy
aktima	akt	Ncmpi
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
koje	koji	Pi-fpa
je	biti	Var3s
prihvatila	prihvatiti	Vmp-sf
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
,	,	Z
kao	kao	Cs
i	i	Cc
s	sa	Si
praksom	praksa	Ncfsi
relevantnih	relevantan	Agpnpgy
tijela	tijelo	Ncnpg
,	,	Z
pravnom	pravni	Agpfsiy
stečevinom	stečevina	Ncfsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
te	te	Cc
domaćom	domaći	Agpfsiy
,	,	Z
europskom	europski	Agpmsly
i	i	Cc
međunarodnom	međunarodni	Agpfsiy
sudskom	sudski	Agpfsiy
praksom	praksa	Ncfsi
;	;	Z

12.	12.	Mdo
prati	pratiti	Vmr3s
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpa
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
i	i	Cc
ponovne	ponovan	Agpfsgy
uporabe	uporaba	Ncfsg
informacija	informacija	Ncfpg
;	;	Z

13.	13.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
nacrta	nacrt	Ncmsg
izvješća	izvješće	Ncnsg
o	o	Sl
provedbi	provedba	Ncfsl
Zakona	zakon	Ncmsg
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
u	u	Sl
okviru	okvir	Ncmsl
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
te	te	Cc
nacrta	nacrt	Ncmsg
drugih	drugi	Mlonpg
izvješća	izvješće	Ncnpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Povjerenika	povjerenik	Ncmsg
;	;	Z

14.	14.	Mdo
priprema	pripremati	Vmr3s
materijale	materijal	Ncmpa
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
Povjerenika	povjerenik	Ncmpg
u	u	Sl
radu	rad	Ncmsl
radnih	radni	Agpnpgy
tijela	tijelo	Ncnpg
Hrvatskog	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
i	i	Cc
sjednica	sjednica	Ncfpg
Hrvatskog	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
;	;	Z

15.	15.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
osmišljavanju	osmišljavanje	Ncnsl
i	i	Cc
provedbi	provedba	Ncfsl
programa	program	Ncmsg
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc
usavršavanja	usavršavanje	Ncnsg
službenika	službenik	Ncmpg
za	za	Sa
informiranje	informiranje	Ncnsa
u	u	Sl
tijelima	tijelo	Ncnpl
javne	javan	Agpfpay
vlasti	vlast	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
primjenom	primjena	Ncfsi
Zakona	zakon	Ncmsg
o	o	Sl
pravu	pravo	Ncnsl
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
;	;	Z

16.	16.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
osmišljavanju	osmišljavanje	Ncnsl
i	i	Cc
provedbi	provedba	Ncfsl
promotivnih	promotivan	Agpmpgy
i	i	Cc
edukacijskih	edukacijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
iz	iz	Sg
područja	područje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
pristup	pristup	Ncmsan
informacijama	informacija	Ncfpl
i	i	Cc
ponovne	ponovan	Agpfsgy
uporabe	uporaba	Ncfsg
informacija	informacija	Ncfpg
za	za	Sa
ciljane	ciljati	Agpfpay
društvene	društven	Agpfpay
skupine	skupina	Ncfpa
(	(	Z
građani	građanin	Ncmpn
,	,	Z
mediji	medij	Ncmpn
,	,	Z
udruge	udruga	Ncfpn
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
privatni	privatan	Agpmsny
sektor	sektor	Ncmsn
)	)	Z
;	;	Z

17.	17.	Mdo
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
po	po	Sl
nalogu	nalog	Ncmsl
Povjerenika	povjerenik	Ncmsg
