prosječno	prosječan	Agpnsny
vrijeme	vrijeme	Ncnsn
odgovora	odgovor	Ncmsg
u	u	Sl
jednoj	jedan	Agpfsly
godini	godina	Ncfsl
(	(	Z
sekunde	sekunda	Ncfpn
)	)	Z
%	%	Z
odgovorenih	odgovoriti	Agpmpgy
poziva	poziv	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
do	do	Sg
20	20	Mdc
sekundi	sekunda	Ncfpg
%	%	Z
1.8	1.8	Mdc
Omjer	omjer	Ncmsn
broja	broj	Ncmsg
javnih	javan	Agpfpgy
telefonskih	telefonski	Agpfpgy
govornica	govornica	Ncfpg
u	u	Sl
radu	rad	Ncmsl
%	%	Z
u	u	Sl
jednoj	jedan	Agpfsly
godini	godina	Ncfsl
%	%	Z
1.9	1.9	Mdc
Učestalost	učestalost	Ncfsn
prigovora	prigovor	Ncmsg
/	/	Z
pritužbi	pritužba	Ncfpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ispravnosti	ispravnost	Ncfsg
računa	račun	Ncmsg
za	za	Sa
obavljene	obaviti	Agpfpay
univerzalne	univerzalan	Agpfpay
usluge	usluga	Ncfpa
%	%	Z
u	u	Sl
jednoj	jedan	Agpfsly
godini	godina	Ncfsl
%	%	Z

Izjavljujemo	izjavljivati	Vmr1p
da	da	Cs
su	biti	Var3p
podaci	podatak	Ncmpn
točni	točan	Agpmpny
.	.	Z

Za	za	Sa
podatke	podatak	Ncmpa
i	i	Cc
njihovu	njihov	Ps3fsa
točnost	točnost	Ncfsa
preuzimamo	preuzimati	Vmr1p
potpunu	potpun	Agpfsay
materijalnu	materijalan	Agpfsay
i	i	Cc
kaznenu	kazneni	Agpfsay
odgovornost	odgovornost	Ncfsa
.	.	Z

Mjesto	mjesto	Ncnsn
i	i	Cc
datum	datum	Ncmsn
:	:	Z

Žig	žig	Ncmsn
i	i	Cc
potpis	potpis	Ncmsan
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
«	«	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Pravilnika	pravilnik	Ncmsg
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
osim	osim	Sg
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Pravilnika	pravilnik	Ncmsg
koja	koji	Pi-fsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
devedeset	devedeset	Mlc
(	(	Z
90	90	Mdc
)	)	Z
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/14	02/14	Mdc
-	-	Z
02/12	02/12	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
376	376	Mdc
-	-	Z
04	04	Mdc
-	-	Z
16	16	Mdc
-	-	Z
02	02	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
26.	26.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Vijeća	vijeće	Ncnsg
dr.	dr.	Y
sc.	sc.	Y
Dražen	Dražen	Npmsn
Lučić	Lučić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

