dodatnih	dodatan	Agpmpgy
izvještaja	izvještaj	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
razdoblje	razdoblje	Ncnsa
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
sastavlja	sastavljati	Vmr3s
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
godišnje	godišnji	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
Godišnji	godišnji	Agpmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
revidirani	revidirati	Appmpny
od	od	Sg
strane	strana	Ncfsg
neovisnog	neovisan	Agpmsgy
ovlaštenog	ovlašten	Agpmsgy
revizora	revizor	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
tromjesečna	tromjesečan	Agpnpay
razdoblja	razdoblje	Ncnpa
sa	sa	Sg
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
ožujka	ožujak	Ncmsg
,	,	Z
30.	30.	Mdo
lipnja	lipanj	Ncmsg
,	,	Z
30.	30.	Mdo
rujna	rujan	Ncmsg
te	te	Cc
31.	31.	Mdo
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
sastavlja	sastavljati	Vmr3s
tromjesečne	tromjesečan	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
,	,	Z
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
točke	točka	Ncfpa
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
i	i	Cc
tromjesečne	tromjesečan	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
točke	točka	Ncfpn
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
10.	10.	Mdo
i	i	Cc
14.	14.	Mdo

Rokovi	rok	Ncmpn
i	i	Cc
način	način	Ncmsan
dostave	dostava	Ncfsg
izvještaja	izvještaj	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
,	,	Z
stavka	stavka	Ncfsn
1.	1.	Mdo
i	i	Cc
godišnje	godišnji	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
tekuće	tekući	Agpfsgy
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
dostaviti	dostaviti	Vmn
Agenciji	Agencija	Npfsl
najkasnije	kasno	Rgs
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
sljedeće	sljedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
tromjesečne	tromjesečan	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
,	,	Z
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
točke	točka	Ncfpa
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
i	i	Cc
tromjesečne	tromjesečan	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
točke	točka	Ncfpn
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
10.	10.	Mdo
i	i	Cc
14.	14.	Mdo
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsd
:	:	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
ožujka	ožujak	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
lipnja	lipanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
listopada	listopad	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	–	Z
sa	sa	Si
stanjem	stanje	Ncnsi
na	na	Sa
dan	dan	Ncmsan
31.	31.	Mdo
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
siječnja	siječanj	Ncmsg
sljedeće	sljedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Leasing	leasing	Ncmsn
društva	društvo	Ncnsg
su	biti	Var3p
dužna	dužan	Agpnpny
financijske	financijski	Agpfsgy
i	i	Cc
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
dostaviti	dostaviti	Vmn
u	u	Sl
rokovima	rok	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
potpisane	potpisati	Appfpny
naprednim	napredan	Agpmsiy
elektroničkim	elektronički	Agpmsiy
potpisom	potpis	Ncmsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tehničkom	tehnički	Agpfsiy
uputom	uputa	Ncfsi
Agencije	agencija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dostavilo	dostaviti	Vmp-sn
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
izvještaj	izvještaj	Ncmsn
prihvaćen	prihvatiti	Appmsnn
na	na	Sl
poslužitelju	poslužitelj	Ncmsl
Agencije	agencija	Ncfsg
za	za	Sa
zaprimanje	zaprimanje	Ncnsa
izvještaja	izvještaj	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
opravdanim	opravdati	Agpmply
slučajevima	slučaj	Ncmpl
nemogućnosti	nemogućnost	Ncfsg
dostave	dostava	Ncfsg
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
stavkom	stavak	Ncmsan
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
izvještaje	izvještaj	Ncmpa
dostaviti	dostaviti	Vmn
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
neposredno	neposredno	Rgp
ili	ili	Cc
poštom	pošta	Ncfsi
u	u	Sa
svrhu	svrha	Ncfsa
pravodobnog	pravodoban	Agpnsgy
izvješćivanja	izvješćivanje	Ncnsg
.	.	Z

Leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
izvještaje	izvještaj	Ncmpa
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
stavkom	stavak	Ncmsan
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
čim	čim	Cs
prestanu	prestati	Vmr3p
razlozi	razlog	Ncmpn
nemogućnosti	nemogućnost	Ncfsg
dostave	dostava	Ncfsg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
8	8	Mdc
dana	dan	Ncmpg
od	od	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
izvještaja	izvještaj	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
leasing	leasing	Ncmsn
društva	društvo	Ncnsg
dužna	dužan	Agpfsny
su	biti	Var3p
Bilješke	bilješka	Ncfpn
uz	uz	Sa
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
,	,	Z
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
točka	točka	Ncfsn
5.	5.	Mdo
dostaviti	dostaviti	Vmn
uz	uz	Sa
revidirane	revidirati	Agpmpay
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
na	na	Sa
način	način	Ncmsan
i	i	Cc
u	u	Sl
rokovima	rok	Ncmpl
propisanim	propisati	Appmply
člankom	članak	Ncmsi
74.	74.	Mdo
,	,	Z
stavka	stavka	Ncfsn
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
leasingu	leasing	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
br.	br.	Y
141/13	141/13	Mdc
)	)	Z
.	.	Z

Objava	objava	Ncfsn
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
na	na	Sl
svojoj	svoj	Px-fsl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
objaviti	objaviti	Vmn
revidirane	revidirati	Appfpny
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
isteka	istek	Ncmsg
godine	godina	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
ti	taj	Pd-mpn
izvještaji	izvještaj	Ncmpn
odnose	odnositi	Vmr3p
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
na	na	Sl
svojoj	svoj	Px-fsl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
imati	imati	Vmn
objavljene	objavljen	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
najmanje	mali	Ncnsa
zadnjih	zadnji	Agpfpgy
5	5	Ncfpg
poslovnih	poslovan	Agpfpgy
godina	godina	Ncfpg
ili	ili	Cc
kraće	kratko	Rgc
ako	ako	Cs
leasing	leasing	Ncmsn
društvo	društvo	Ncnsn
posluje	poslovati	Vmr3s
kraće	kratko	Rgc
od	od	Sg
5	5	Mdc
godina	godina	Ncfpg
.	.	Z

Završne	završan	Agpfpny
odredbe	odredba	Ncfpn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
strukturi	struktura	Ncfsl
i	i	Cc
