Hrvatske	hrvatski	Agpfsgy
agencije	agencija	Ncfsg
za	za	Sa
nadzor	nadzor	Ncmsan
financijskih	financijski	Agpfpgy
usluga	usluga	Ncfpg
ima	imati	Vmr3s
udjel	udjel	Ncmsan
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
čije	čiji	Pi-fpn
djelatnosti	djelatnost	Ncfpn
nisu	biti	Var3p
ograničene	ograničiti	Appfpny
na	na	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
odjeljcima	odjeljak	Ncmpl
A	a	Cc
i	i	Qo
B	b	X
Priloga	prilog	Ncmsg
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
18.	18.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
a	a	Cc
stjecanje	stjecanje	Ncnsa
takvog	takav	Pd-msg
udjela	udjel	Ncmsg
nema	nemati	Vmr3s
materijalni	materijalan	Agpmsayn
utjecaj	utjecaj	Ncmsan
na	na	Sa
likvidnost	likvidnost	Ncfsa
,	,	Z
kapitalnu	kapitalan	Agpfsay
adekvatnost	adekvatnost	Ncfsa
i	i	Cc
stabilnost	stabilnost	Ncfsa
središnjeg	središnji	Agpmsgy
depozitorija	depozitorij	Ncmsg
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg

2.	2.	Mdo
krši	kršiti	Vmr3s
odredbe	odredba	Ncfpa
o	o	Sl
organizacijskim	organizacijski	Agpmply
zahtjevima	zahtjev	Ncmpl
iz	iz	Sg
članaka	članak	Ncmsg
26.	26.	Mdo
i	i	Cc
27.	27.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
takvo	takav	Pd-nsn
kršenje	kršenje	Ncnsn
nema	nemati	Vmr3s
značaj	značaj	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
propusti	propustiti	Vmr3s
žurno	žurno	Rgp
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
agenciju	agencija	Ncfsa
za	za	Sa
nadzor	nadzor	Ncmsan
financijskih	financijski	Agpfpgy
usluga	usluga	Ncfpg
i	i	Cc
odbor	odbor	Ncmsn
korisnika	korisnik	Ncmpg
o	o	Sl
odluci	odluka	Ncfsl
kojom	koji	Pi-fsi
upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
odluči	odlučiti	Vmr3s
da	da	Cs
neće	htjeti	Var3s
slijediti	slijediti	Vmn
savjet	savjet	Ncmsan
odbora	odbor	Ncmsg
korisnika	korisnik	Ncmpg
sukladno	sukladno	Rgp
članku	članak	Ncmsl
28.	28.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
takav	takav	Pd-msn
propust	propust	Ncmsn
nema	nemati	Vmr3s
značaj	značaj	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
ne	ne	Qz
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
sukladno	sukladno	Rgp
uvjetima	uvjet	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Ncmsl
takve	takav	Pd-fsg
neusklađenosti	neusklađenost	Ncfsg
nemaju	nemati	Vmr3p
značaj	značaj	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
izdvoji	izdvojiti	Vmr3s
usluge	usluga	Ncfpa
ili	ili	Cc
djelatnosti	djelatnost	Ncfsl
trećoj	treći	Mlofsl
strani	strana	Ncfsl
protivno	protivno	Rgp
uvjetima	uvjet	Ncmpd
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
takvo	takav	Pd-nsn
kršenje	kršenje	Ncnsn
nema	nemati	Vmr3s
značaj	značaj	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

6.	6.	Mdo
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
,	,	Z
ne	ne	Qz
objavi	objaviti	Vmr3s
ili	ili	Cc
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
javno	javno	Rgp
objavljene	objavljen	Agpmpay
kriterije	kriterij	Ncmpa
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
koji	koji	Pi-mpn
omogućuju	omogućivati	Vmr3p
pošten	pošten	Agpmsann
i	i	Cc
otvoren	otvoren	Agpmsann
pristup	pristup	Ncmsan
svim	sav	Agpmpdy
pravnim	pravni	Agpfply
osobama	osoba	Ncfpl
koje	koji	Pi-fpn
imaju	imati	Vmr3p
namjeru	namjera	Ncfsa
postati	postati	Vmn
sudionicima	sudionik	Ncmpd
sukladno	sukladno	Rgp
članku	članak	Ncmsd
33.	33.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
takvo	takav	Pd-nsn
kršenje	kršenje	Ncnsn
nema	nemati	Vmr3s
