sklopljene	sklopiti	Appfpny
s	sa	Si
počiniteljem	počinitelj	Ncmsi
prekršaja	prekršaj	Ncmsg
sukladno	sukladan	Agpnsny
zakonu	zakon	Ncmsl
kojim	koji	Pi-msi
je	biti	Var3s
uređen	urediti	Appmsnn
prekršajni	prekršajni	Agpmsny
postupak	postupak	Ncmsn
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
62.	62.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
c	C	Agpfsgy
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
o	o	Sl
neobjavljenim	neobjavljen	Agpfply
izrečenim	izreći	Agpfply
sankcijama	sankcija	Ncfpl
i	i	Cc
drugim	drugi	Mlofpl
mjerama	mjera	Ncfpl
obavještava	obavještavati	Vmr3s
ESMA-u	ESMA	Npfsa
.	.	Z

Područje	područje	Ncnsn
rada	rad	Ncmsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg

Članak	članak	Ncmsn
6.	6.	Mdo

Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
za	za	Sa
potrebe	potreba	Ncfpa
provedbe	provedba	Ncfsg
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
i	i	Cc
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
obavlja	obavljati	Vmr3s
sljedeće	sljedeći	Agpmpay
poslove	posao	Ncmpa
:	:	Z

1.	1.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izdavanju	izdavanje	Ncnsl
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
,	,	Z
proširenju	proširenje	Ncnsl
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
,	,	Z
postupku	postupak	Ncmsl
priznavanja	priznavanje	Ncnsg
,	,	Z
postupku	postupak	Ncmsl
nadzora	nadzor	Ncmsg
nad	nad	Si
poslovanjem	poslovanje	Ncnsi
,	,	Z
ukidanju	ukidanje	Ncnsl
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
središnjem	središnji	Agpmsly
depozitoriju	depozitorij	Ncmsl
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
i	i	Cc
izdvajanju	izdvajanje	Ncnsl
osnovne	osnovan	Agpfsgy
usluge	usluga	Ncfsg
trećoj	treći	Mlofsl
strani	strana	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
12.	12.	Mdo
,	,	Z
19.	19.	Mdo
,	,	Z
20.	20.	Mdo
,	,	Z
22.	22.	Mdo
i	i	Cc
25.	25.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc

2.	2.	Mdo
kao	kao	Cs
relevantno	relevantan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
a	a	Cc
u	u	Sl
okolnostima	okolnost	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
24.	24.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
nadležnim	nadležan	Agpnsiy
tijelom	tijelo	Ncnsi
matične	matičan	Agpfsgy
države	država	Ncfsg
i	i	Cc
nadležnim	nadležan	Agpnsiy
tijelom	tijelo	Ncnsi
države	država	Ncfsg
članice	članica	Ncfsg
domaćina	domaćin	Ncmpg
te	te	Cc
relevantnim	relevantan	Agpnply
tijelima	tijelo	Ncnpl
matične	matičan	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
države	država	Ncfsg
članice	članica	Ncfsg
domaćina	domaćin	Ncmpg
uspostavlja	uspostavljati	Vmr3s
dogovore	dogovor	Ncmpa
o	o	Sl
suradnji	suradnja	Ncfsl
za	za	Sa
nadzor	nadzor	Ncmsan
djelatnosti	djelatnost	Ncfsg
središnjeg	središnji	Agpmsgy
depozitorija	depozitorij	Ncmsg
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
domaćinu	domaćin	Ncmsl

3.	3.	Mdo
odlučuje	odlučivati	Vmr3s
o	o	Sl
izdavanju	izdavanje	Ncnsl
,	,	Z
proširenju	proširenje	Ncnsl
i	i	Cc
ukidanju	ukidanje	Ncnsl
odobrenja	odobrenje	Ncnsg
za	za	Sa
imenovanje	imenovanje	Ncnsa
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
ili	ili	Cc
za	za	Sa
pružanje	pružanje	Ncnsa
bilo	bilo	Qo
koje	koji	Pi-fsg
pomoćne	pomoćan	Agpfsgy
usluge	usluga	Ncfsg
bankovnog	bankovan	Agpmsgy
tipa	tip	Ncmsg
središnjem	središnji	Agpmsly
depozitoriju	depozitorij	Ncmsl
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
55.	55.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc

4.	4.	Mdo
nadzire	nadzirati	Vmr3s
imenovane	imenovati	Agpfpay
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
i	i	Cc
središnje	središnji	Agpmpay
depozitorije	depozitorij	Ncmpa
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
koji	koji	Pi-mpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
pružanje	pružanje	Ncnsa
pomoćnih	pomoćan	Agpfpgy
usluga	usluga	Ncfpg
bankovnog	bankovan	Agpmsgy
tipa	tip	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
uvjeta	uvjet	Ncmpg
predviđenih	predvidjeti	Appmpgy
u	u	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
575/2013	575/2013	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
26.	26.	Mdo
lipnja	lipanj	Ncmsg
2013.	2013.	Mdo
o	o	Sl
bonitetnim	bonitetni	Agpmply
zahtjevima	zahtjev	Ncmpl
za	za	Sa
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
i	i	Cc
investicijska	investicijski	Agpnpay
društva	društvo	Ncnpa
i	i	Cc
o	o	Sl
izmjeni	izmjena	Ncfsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
648/2012	648/2012	Mdc
i	i	Cc
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
je	biti	Var3s
uređeno	uređen	Agpnsny
osnivanje	osnivanje	Ncnsn
i	i	Cc
poslovanje	poslovanje	Ncnsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
,	,	Z
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
60.	60.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc

5.	5.	Mdo
nadzire	nadzirati	Vmr3s
imenovane	imenovati	Agpfpay
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
i	i	Cc
središnje	središnji	Agpmpay
depozitorije	depozitorij	Ncmpa
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
koji	koji	Pi-mpn
imaju	imati	Vmr3p
odobrenje	odobrenje	Ncnsa
za	za	Sa
pružanje	pružanje	Ncnsa
pomoćnih	pomoćan	Agpfpgy
usluga	usluga	Ncfpg
bankovnog	bankovan	Agpmsgy
tipa	tip	Ncmsg
u	u	Sl
pogledu	pogled	Ncmsl
usklađenosti	usklađenost	Ncfsg
s	sa	Si
bonitetnim	bonitetni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
59.	59.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
909/2014	909/2014	Mdc
,	,	Z
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
izvještava	izvještavati	Vmr3s
Hrvatsku	hrvatski	Agpfsay
agenciju	agencija	Ncfsa
za	za	Sa
