dobrovoljnih	dobrovoljan	Agpmpgy
mirovinskih	mirovinski	Agpmpgy
fondova	fond	Ncmpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
odobrenje	odobrenje	Ncnsn
oduzima	oduzimati	Vmr3s
samo	samo	Rgp
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
tu	taj	Pd-fsa
djelatnost	djelatnost	Ncfsa

6.	6.	Mdo
ako	ako	Cs
Agencija	agencija	Ncfsn
ocijeni	ocijeniti	Vmr3s
da	da	Cs
se	sebe	Px--sa
poslovanje	poslovanje	Ncnsn
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
ne	ne	Qz
vodi	voditi	Vmr3s
pažnjom	pažnja	Ncfsi
dobrog	dobar	Agpmsgy
stručnjaka	stručnjak	Ncmsg
i	i	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dobrom	dobar	Agpfsiy
poslovnom	poslovan	Agpfsiy
praksom	praksa	Ncfsi

7.	7.	Mdo
ako	ako	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
teže	teža	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
sustavno	sustavno	Rgp
kršilo	kršiti	Vmp-sn
odredbe	odredba	Ncfpa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
propise	propis	Ncmpa
donesene	donesen	Agpmpay
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
druge	drugi	Mlompa
propise	propis	Ncmpa
kojih	koji	Pi-mpg
se	sebe	Px--sa
dužno	dužno	Rgp
pridržavati	pridržavati	Vmn

8.	8.	Mdo
ako	ako	Cs
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rješenjem	rješenje	Ncnsi
kojim	koji	Pi-msi
Agencija	agencija	Ncfsn
nalaže	nalagati	Vmr3s
mjere	mjera	Ncfpa
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
nezakonitosti	nezakonitost	Ncfsg
