izmjene	izmjena	Ncfpa
i	i	Cc
dopune	dopuna	Ncfsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
199.	199.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

32.	32.	Mdo
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
200.	200.	Mdo
ili	ili	Cc
članka	članak	Ncmsg
201.	201.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
glede	glede	Sg
sadržaja	sadržaj	Ncmsg
ključnih	ključan	Agpmpgy
podataka	podatak	Ncmpg
za	za	Sa
ulagatelje	ulagatelj	Ncmpa

33.	33.	Mdo
ne	ne	Qz
ažurira	ažurirati	Vmr3s
redovito	redovito	Rgp
ključne	ključan	Agpmpay
podatke	podatak	Ncmpa
za	za	Sa
ulagatelje	ulagatelj	Ncmpa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
202.	202.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

34.	34.	Mdo
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
217.	217.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ili	ili	Cc
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
izabere	izabrati	Vmr3s
ili	ili	Cc
promijeni	promijeniti	Vmr3s
depozitara	depozitar	Ncmsay
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
Agencije	agencija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
napravi	napraviti	Vmr3s
bitne	bitan	Agpfpay
promjene	promjena	Ncfpa
ugovora	ugovor	Ncmsg
o	o	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg
depozitara	depozitar	Ncmpg
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
Agencije	agencija	Ncfsg

35.	35.	Mdo
postupi	postupiti	Vmr3s
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
233.	233.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

36.	36.	Mdo
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
237.	237.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

37.	37.	Mdo
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
237.	237.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

38.	38.	Mdo
postupi	postupiti	Vmr3s
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
pravilnika	pravilnik	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
237.	237.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

39.	39.	Mdo
izdaje	izdaja	Ncfsg
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z
osim	osim	Sg
udjela	udjel	Ncmsg
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
,	,	Z
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
241.	241.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

40.	40.	Mdo
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
243.	243.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
osnuje	osnovati	Vmr3s
UCITS	ucits	Agpmsann
fond	fond	Ncmsan
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
Agencije	agencija	Ncfsg

41.	41.	Mdo
započne	započeti	Vmr3s
početnu	početan	Agpfsay
ponudu	ponuda	Ncfsa
udjela	udjel	Ncmsg
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
245.	245.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

42.	42.	Mdo
ne	ne	Qz
vrati	vratiti	Vmr3s
uplaćena	uplatiti	Agpnpay
sredstva	sredstvo	Ncnpa
ulagateljima	ulagatelj	Ncmpd
u	u	Sl
roku	rok	Ncmsl
i	i	Cc
uz	uz	Sa
uvjete	uvjet	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
245.	245.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

43.	43.	Mdo
naplaćuje	naplaćivati	Vmr3s
naknade	naknada	Ncfpa
ili	ili	Cc
troškove	trošak	Ncmpa
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
247.	247.	Mdo
ili	ili	Cc
članka	članak	Ncmsg
248.	248.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

44.	44.	Mdo
ulaže	ulagati	Vmr3s
imovinu	imovina	Ncfsa
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
252.	252.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

45.	45.	Mdo
ulaže	ulagati	Vmr3s
imovinu	imovina	Ncfsa
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
254.	254.	Mdo
do	do	Sg
258.	258.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
ne	ne	Qz
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
izuzecima	izuzetak	Ncmpl
od	od	Sg
ograničenja	ograničenje	Ncnsg
ulaganja	ulaganje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
259.	259.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

46.	46.	Mdo
ulaže	ulagati	Vmr3s
imovinu	imovina	Ncfsa
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
252.	252.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
ne	ne	Qz
uskladi	uskladiti	Vmr3s
ulaganja	ulaganje	Ncnsg
fonda	fond	Ncmsg
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
259.	259.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
ili	ili	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

47.	47.	Mdo
postupi	postupiti	Vmr3s
