sadržajem	sadržaj	Ncmsi
propisanim	propisati	Agpmsiy
člankom	članak	Ncmsi
65.	65.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

15.	15.	Mdo
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
organizacijske	organizacijski	Agpmpay
zahtjeve	zahtjev	Ncmpa
propisane	propisati	Agpmpay
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
66.	66.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

16.	16.	Mdo
ne	ne	Qz
izrađuje	izrađivati	Vmr3s
ili	ili	Cc
ne	ne	Qz
dostavlja	dostavljati	Vmr3s
izvještaje	izvještaj	Ncmpa
društva	društvo	Ncnsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
Agenciji	agencija	Ncfsl
u	u	Sl
rokovima	rok	Ncmpl
ili	ili	Cc
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
67.	67.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
67.	67.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

17.	17.	Mdo
ne	ne	Qz
postupi	postupiti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
69.	69.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

18.	18.	Mdo
ne	ne	Qz
propiše	propisati	Vmr3s
ili	ili	Cc
ne	ne	Qz
implementira	implementirati	Vmr3s
interne	interni	Agpfpay
politike	politika	Ncfpa
i	i	Cc
procedure	procedura	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
73.	73.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

19.	19.	Mdo
sazna	saznati	Vmr3s
za	za	Sa
stjecanje	stjecanje	Ncnsa
ili	ili	Cc
otuđenje	otuđenje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
u	u	Sl
društvu	društvo	Ncnsl
,	,	Z
a	a	Cc
o	o	Sl
tome	taj	Pd-nsl
bez	bez	Sg
odgode	odgoda	Ncfsg
ne	ne	Qz
obavijesti	obavijestiti	Vmr3s
Agenciju	agencija	Ncfsa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
82.	82.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

20.	20.	Mdo
jednom	jednom	Rgp
godišnje	godišnje	Rgp
Agenciji	agencija	Ncfsl
ne	ne	Qz
dostavi	dostaviti	Vmr3s
popis	popis	Ncmsan
svih	sav	Agpmpgy
imatelja	imatelj	Ncmpg
kvalificiranih	kvalificiran	Agpmpgy
udjela	udjel	Ncmpg
s	sa	Si
veličinom	veličina	Ncfsi
pojedinih	pojedini	Agpmpgy
udjela	udjel	Ncmpg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
82.	82.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

21.	21.	Mdo
društvo	društvo	Ncnsn
prenositelj	prenositelj	Ncmsn
ne	ne	Qz
objavi	objaviti	Vmr3s
informaciju	informacija	Ncfsa
o	o	Sl
prijenosu	prijenos	Ncmsl
upravljanja	upravljanje	Ncnsg
ili	ili	Cc
ne	ne	Qz
obavijesti	obavijestiti	Vmr3s
sve	sav	Agpnsay
ulagatelje	ulagatelj	Ncmpa
o	o	Sl
prijenosu	prijenos	Ncmsl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
88.	88.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

22.	22.	Mdo
društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
ne	ne	Qz
objavi	objaviti	Vmr3s
informaciju	informacija	Ncfsa
o	o	Sl
prijenosu	prijenos	Ncmsl
upravljanja	upravljanje	Ncnsg
ili	ili	Cc
ne	ne	Qz
obavijesti	obavijestiti	Vmr3s
sve	sav	Agpnsay
ulagatelje	ulagatelj	Ncmpa
o	o	Sl
prijenosu	prijenos	Ncmsl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
88.	88.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

23.	23.	Mdo
postupak	postupak	Ncmsan
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
ne	ne	Qz
provede	provesti	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
110.	110.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

24.	24.	Mdo
ulagateljima	ulagatelj	Ncmpi
najmanje	malo	Rgs
jednom	jednom	Rgp
godišnje	godišnje	Rgp
ne	ne	Qz
dostavi	dostaviti	Vmr3s
izvadak	izvadak	Ncmsan
o	o	Sl
stanju	stanje	Ncnsl
i	i	Cc
prometima	promet	Ncmpl
udjelima	udjel	Ncmpi
,	,	Z
prema	prema	Sl
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
115.	115.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

25.	25.	Mdo
na	na	Sa
zahtjev	zahtjev	Ncmsan
ulagatelja	ulagatelj	Ncmpg
ili	ili	Cc
njihovih	njihov	Ps3mpg
zastupnika	zastupnik	Ncmpg
ne	ne	Qz
dostavi	dostaviti	Vmr3s
izvadak	izvadak	Ncmsan
o	o	Sl
stanju	stanje	Ncnsl
i	i	Cc
prometima	promet	Ncmpl
udjela	udjel	Ncmsg
,	,	Z
prema	prema	Sl
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
115.	115.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

26.	26.	Mdo
vodi	voditi	Vmr3s
registar	registar	Ncmsan
ili	ili	Cc
objavljuje	objavljivati	Vmr3s
podatke	podatak	Ncmpa
iz	iz	Sg
registra	registar	Ncmsg
udjela	udjel	Ncmsg
protivno	protivno	Rgp
pravilniku	pravilnik	Ncmsd
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
ovoga	ovaj	Pd-msg
