razmjeni	razmjena	Ncfsl
svih	sav	Agpfpgy
informacija	informacija	Ncfpg
s	sa	Si
revizorskim	revizorski	Agpnsiy
društvom	društvo	Ncnsi
glavnog	glavni	Agpmsgy
UCITS	UCIT	Npmsg
fonda	fond	Ncmsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
306.	306.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
pravilnika	pravilnik	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
335.	335.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
10.000,00	10.000,00	Mdc
do	do	Sg
30.000,00	30.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
prekršaj	prekršaj	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
revizora	revizor	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Prekršaji	prekršaj	Ncmpn
ostalih	ostali	Agpfpgy
osoba	osoba	Ncfpg

Članak	članak	Ncmsn
402.	402.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
50.000,00	50.000,00	Mdc
do	do	Sg
100.000,00	100.000,00	Mdc
kuna	kuna	Ncfpg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
prekršaj	prekršaj	Ncmsan
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
:	:	Z

1.	1.	Mdo
koja	koji	Pi-fsn
koristi	koristiti	Vmr3s
izraz	izraz	Ncmsan
»	»	Z
za	za	Sa
upravljanje	upravljanje	Ncnsa
UCITS	UCITS	Si
fondovima	fond	Ncmpi
«	«	Z
,	,	Z
»	»	Z
za	za	Sa
upravljanje	upravljanje	Ncnsa
investicijskim	investicijski	Agpmpiy
fondovima	fond	Ncmpi
«	«	Z
ili	ili	Cc
»	»	Z
za	za	Sa
upravljanje	upravljanje	Ncnsa
fondovima	fond	Ncmpi
«	«	Z
ili	ili	Cc
izvedenice	izvedenica	Ncfsg
tih	taj	Pd-fpg
riječi	riječ	Ncfpg
za	za	Sa
potrebe	potreba	Ncfpa
tvrtke	tvrtka	Ncfsg
,	,	Z
dijela	dio	Ncmsg
tvrtke	tvrtka	Ncfsg
ili	ili	Cc
promidžbe	promidžba	Ncfsg
,	,	Z
