priložiti	priložiti	Vmn
obavijest	obavijest	Ncfsa
o	o	Sl
statusu	status	Ncmsl
ponuđenih	ponuditi	Agpnpgy
jamstava	jamstvo	Ncnpg
.	.	Z

Ograničenja	ograničenje	Ncnpn
ulaganja	ulaganje	Ncnsg
kod	kod	Sg
repliciranja	repliciranje	Ncnsg
indeksa	indeks	Ncmsg

Članak	članak	Ncmsn
255.	255.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
254.	254.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
neovisno	neovisan	Agpnsny
o	o	Sl
ograničenjima	ograničenje	Ncnpl
ulaganja	ulaganje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
258.	258.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
do	do	Sg
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
dionice	dionica	Ncfpa
ili	ili	Cc
dužničke	dužnički	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
jednog	jedan	Mlcmsg
izdavatelja	izdavatelj	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
cilj	cilj	Ncmsn
strategije	strategija	Ncfsg
ulaganja	ulaganje	Ncnsg
fonda	fond	Ncmsg
replicirati	replicirati	Vmn
određeni	određen	Agpmsayn
dionički	dionički	Agpmsayn
indeks	indeks	Ncmsan
ili	ili	Cc
obveznički	obveznički	Agpmsny
indeks	indeks	Ncmsn
koji	koji	Pi-msn
priznaje	priznavati	Vmr3s
Agencija	agencija	Ncfsn
.	.	Z

Repliciranje	repliciranje	Ncnsn
indeksa	indeks	Ncmsg
znači	značiti	Vmr3s
repliciranje	repliciranje	Ncnsa
temeljne	temeljan	Agpfsgy
imovine	imovina	Ncfsg
indeksa	indeks	Ncmsg
,	,	Z
a	a	Cc
u	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
dozvoljeno	dozvoliti	Appnsny
je	biti	Var3s
i	i	Cc
korištenje	korištenje	Ncnsa
financijskih	financijski	Agpfpgy
izvedenica	izvedenica	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Indeks	indeks	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
sljedeće	sljedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
njegov	njegov	Ps3msn
je	biti	Var3s
sastav	sastav	Ncmsn
dovoljno	dovoljno	Rgp
diverzificiran	diverzificirati	Appmsnn
na	na	Sa
način	način	Ncmsan
da	da	Cs
su	biti	Var3p
sastavnice	sastavnica	Ncfpn
indeksa	indeks	Ncmsg
usklađene	uskladiti	Appfpny
s	sa	Si
načelima	načelo	Ncmpi
razdiobe	razdioba	Ncfsg
rizika	rizik	Ncmpg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

b	b	Npmsn
)	)	Z
predstavlja	predstavljati	Vmr3s
adekvatnu	adekvatan	Agpfsay
referentnu	referentan	Agpfsay
vrijednost	vrijednost	Ncfsa
tržišta	tržište	Ncnsg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
i	i	Qo

c	C	Npmsn
)	)	Z
da	da	Cs
se	sebe	Px--sa
objavljuje	objavljivati	Vmr3s
na	na	Sa
adekvatan	adekvatan	Agpmsann
način	način	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
do	do	Sg
35	35	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
dionice	dionica	Ncfpa
ili	ili	Cc
dužničke	dužnički	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
jednog	jedan	Mlcmsg
izdavatelja	izdavatelj	Ncmsg
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
prijeko	prijek	Agpnsny
potrebno	potreban	Agpnsny
za	za	Sa
repliciranje	repliciranje	Ncnsa
indeksa	indeks	Ncmsg
i	i	Cc
opravdano	opravdati	Appnsny
iznimnim	izniman	Agpmpiy
tržišnim	tržišni	Agpmpiy
uvjetima	uvjet	Ncmpi
,	,	Z
a	a	Cc
posebno	posebno	Rgp
na	na	Sl
uređenim	uređen	Agpnply
tržištima	tržište	Ncnpl
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
određeni	određen	Agpmsny
prenosivi	prenosiv	Agpmsny
vrijednosni	vrijednosan	Agpmsny
papir	papir	Ncmsn
ili	ili	Cc
instrument	instrument	Ncmsan
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
visoko	visoko	Rgp
dominantan	dominantan	Agpmsnn
.	.	Z

