primjene	primjena	Ncfpa
pravila	pravilo	Ncnsg
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
utvrđeno	utvrditi	Appnsny
da	da	Cs
ima	imati	Vmr3s
jednu	jedan	Mlcfsa
ili	ili	Cc
više	mnogo	Rgc
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
nad	nad	Si
njim	on	Pp3msi
imaju	imati	Vmr3p
kontrolu	kontrola	Ncfsa
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
osobe	osoba	Ncfpn
o	o	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
,	,	Z
naziv	naziv	Ncmsn
,	,	Z
adresu	adresa	Ncfsa
,	,	Z
državu	država	Ncfsa
rezidentnosti	rezidentnost	Ncfsg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z
porezni	porezni	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
subjekta	subjekt	Ncmsg
ili	ili	Cc
više	mnogo	Rgc
subjekata	subjekt	Ncmpg
te	te	Cc
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
adresu	adresa	Ncfsa
,	,	Z
državu	država	Ncfsa
rezidentnosti	rezidentnost	Ncfsg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z
porezni	porezni	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
više	mnogo	Rgc
njih	oni	Pp3-pg
,	,	Z
datum	datum	Ncmsn
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
svake	svaki	Pi-fsg
osobe	osoba	Ncfsg
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
,	,	Z

2.	2.	Mdo
broj	broj	Ncmsn
računa	račun	Ncmsg
(	(	Z
ili	ili	Cc
ako	ako	Cs
nema	nemati	Vmr3s
broja	broj	Ncmsg
računa	račun	Ncmpg
,	,	Z
funkcionalno	funkcionalno	Rgp
istovjetnu	istovjetan	Agpfsay
oznaku	oznaka	Ncfsa
)	)	Z
,	,	Z

3.	3.	Mdo
naziv	naziv	Ncmsn
i	i	Cc
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
ako	ako	Cs
postoji	postojati	Vmr3s
)	)	Z
izvještajne	izvještajni	Agpfsgy
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
,	,	Z

4.	4.	Mdo
stanje	stanje	Ncnsa
računa	račun	Ncmsg
ili	ili	Cc
vrijednost	vrijednost	Ncfsn
(	(	Z
uključujući	uključivati	Rr
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
,	,	Z
novčanu	novčan	Agpfsay
ili	ili	Cc
otkupnu	otkupni	Agpfsay
vrijednost	vrijednost	Ncfsa
)	)	Z
na	na	Sl
kraju	kraj	Ncmsl
relevantne	relevantan	Agpfsgy
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
tijekom	tijekom	Sg
te	taj	Pd-fsg
godine	godina	Ncfsg
ili	ili	Cc
tog	taj	Pd-nsg
razdoblja	razdoblje	Ncnsg
račun	račun	Ncmsan
zatvoren	zatvoren	Agpmsann
,	,	Z
informaciju	informacija	Ncfsa
o	o	Sl
zatvaranju	zatvaranje	Ncnsl
računa	račun	Ncmsg
,	,	Z

5.	5.	Mdo
u	u	Sl
slučaju	slučaj	Ncmsl
skrbničkog	skrbnički	Agpmsgy
računa	račun	Ncmsg
:	:	Z

–	–	Z
ukupan	ukupan	Agpmsnn
brutoiznos	brutoiznos	Agpfpgy
kamata	kamata	Ncfpg
,	,	Z
ukupan	ukupan	Agpmsnn
brutoiznos	brutoiznos	Agpfpgy
dividendi	dividenda	Ncfpg
i	i	Cc
ukupan	ukupan	Agpmsnn
brutoiznos	brutoiznos	Sg
drugog	drugi	Mlomsg
prihoda	prihod	Ncmsg
ostvarenog	ostvariti	Appmsgy
od	od	Sg
imovine	imovina	Ncfsg
na	na	Sl
računu	račun	Ncmsl
,	,	Z
u	u	Sl
svakom	svaki	Pi-msl
slučaju	slučaj	Ncmsl
ono	onaj	Pd-nsn
što	što	Pi3n-n
je	biti	Var3s
plaćeno	platiti	Appnsny
ili	ili	Cc
pripisano	pripisati	Appnsny
na	na	Sa
račun	račun	Ncmsan
(	(	Z
ili	ili	Cc
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
računom	račun	Ncmsi
)	)	Z
tijekom	tijekom	Sg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
i	i	Cc

–	–	Z
ukupne	ukupan	Agpfsgy
brutoprimitke	brutoprimitka	Ncfsg
od	od	Sg
prodaje	prodaja	Ncfsg
ili	ili	Cc
otkupa	otkup	Ncmsg
financijske	financijski	Agpfsgy
imovine	imovina	Ncfsg
,	,	Z
plaćene	platiti	Appfpny
ili	ili	Cc
pripisane	pripisati	Appfpny
na	na	Sa
račun	račun	Ncmsan
tijekom	tijekom	Sg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
djelovala	djelovati	Vmp-sf
kao	kao	Cs
skrbnik	skrbnik	Ncmsn
,	,	Z
broker	broker	Ncmsn
,	,	Z
opunomoćenik	opunomoćenik	Ncmsn
ili	ili	Cc
zastupnik	zastupnik	Ncmsn
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
po	po	Sl
nekoj	neki	Pi-fsl
drugoj	drugi	Mlofsl
osnovi	osnova	Ncfsl
,	,	Z

6.	6.	Mdo
u	u	Sl
slučaju	slučaj	Ncmsl
depozitnog	depozitni	Agpmsgy
računa	račun	Ncmsg
,	,	Z
ukupan	ukupan	Agpmsnn
brutoiznos	brutoiznos	Agpfpgy
kamata	kamata	Ncfpg
plaćenih	platiti	Appmpgy
ili	ili	Cc
pripisanih	pripisati	Appmpgy
na	na	Sa
račun	račun	Ncmsan
tijekom	tijekom	Sg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
i	i	Cc

7.	7.	Mdo
u	u	Sl
slučaju	slučaj	Ncmsl
računa	račun	Ncmsg
koji	koji	Pi-msn
nije	biti	Var3s
naveden	navesti	Appmsnn
u	u	Sl
točki	točka	Ncfsl
5.	5.	Mdo
ili	ili	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z
ukupan	ukupan	Agpmsnn
brutoiznos	brutoiznos	Var1s
plaćen	platiti	Appmsnn
ili	ili	Cc
pripisan	pripisati	Appmsnn
na	na	Sa
račun	račun	Ncmsan
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
tijekom	tijekom	Sg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
obveznik	obveznik	Ncmsn
ili	ili	Cc
dužnik	dužnik	Ncmsn
,	,	Z
uključujući	uključivati	Rr
zbirni	zbirni	Agpmsayn
iznos	iznos	Ncmsan
isplata	isplata	Ncfpg
po	po	Sl
osnovi	osnova	Ncfsl
otkupa	otkup	Ncmsg
imatelju	imatelj	Ncmsl
računa	račun	Ncmsg
tijekom	tijekom	Sg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
drugog	drugi	Agpnsgy
odgovarajućeg	odgovarajući	Agpnsgy
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Informacije	informacija	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
prikupljati	prikupljati	Vmn
sukladno	sukladno	Rgp
pravilima	pravilo	Ncnpi
izvješćivanja	izvješćivanje	Ncnsg
i	i	Cc
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
,	,	Z
te	te	Cc
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsl
financija	financije	Ncfpg
,	,	Z
Poreznoj	porezni	Agpfsly
upravi	uprava	Ncfsl
do	do	Sg
30.	30.	Mdo
lipnja	lipanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
izvještajne	izvještajni	Agpfsgy
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
nisu	biti	Var3p
identificirale	identificirati	Vmp-pf
račune	račun	Ncmpa
o	o	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
izvješćuje	izvješćivati	Vmr3s
,	,	Z
obvezne	obvezan	Agpfpny
su	biti	Var3p
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
,	,	Z
Poreznu	porezni	Agpfsay
upravu	uprava	Ncfsa
u	u	Sl
