razminiranja	razminiranje	Ncnpn
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
(	(	Z
poslovi	posao	Ncmpn
voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
,	,	Z
osiguranje	osiguranje	Ncnsa
sustava	sustav	Ncmsg
veza	veza	Ncfpg
voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
sa	sa	Si
voditeljem	voditelj	Ncmsi
pirotehničke	pirotehnički	Agpfsgy
skupine	skupina	Ncfsg
,	,	Z
rukovateljem	rukovatelj	Ncmsi
stroja	stroj	Ncmsg
za	za	Sa
pripremu	priprema	Ncfsa
površine	površina	Ncfsg
i	i	Cc
medicinskim	medicinski	Agpmsiy
timom	tim	Ncmsi
,	,	Z
obilježavanje	obilježavanje	Ncnsa
radilišta	radilište	Ncnsg
,	,	Z
primjena	primjena	Ncfpg
propisanih	propisati	Agpfpgy
metoda	metoda	Ncfpg
i	i	Cc
učinaka	učinak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
osiguranje	osiguranje	Ncnsa
medicinskog	medicinski	Agpmsgy
tima	tim	Ncmsg
,	,	Z
izrada	izrada	Ncfsn
i	i	Cc
vođenje	vođenje	Ncnsn
propisane	propisati	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
poslovi	posao	Ncmpn
uništavanja	uništavanje	Ncnsg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

HCR	HCR	Npmsn
na	na	Sl
poslovima	posao	Ncmpl
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
imenuje	imenovati	Vmr3s
voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
i	i	Cc
njegovog	njegov	Ps3msg
zamjenika	zamjenik	Ncmsg
.	.	Z

Za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
voditelj	voditelj	Ncmsn
radilišta	radilište	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
posjedovati	posjedovati	Vmn
sljedeću	sljedeći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
:	:	Z

–	–	Agpmsny
dnevnik	dnevnik	Ncmsn
radilišta	radilište	Ncnsg
;	;	Z

–	–	Sa
plan	plan	Ncmsan
izvođenja	izvođenje	Ncnsg
dopunskog	dopunski	Agpmsgy
općeg	opći	Agpmsgy
izvida	izvid	Ncmsg
sa	sa	Si
ucrtanim	ucrtati	Agpmpiy
kontrolnim	kontrolan	Agpmpiy
uzorcima	uzorak	Ncmpi
i	i	Cc
radnim	radni	Agpfpiy
stazama	staza	Ncfpi
do	do	Sg
svakog	svaki	Pi-msg
kontrolnog	kontrolan	Agpmsgy
uzorka	uzorak	Ncmsg
;	;	Z

–	–	Z
djelovodnik	djelovodnik	Ncmsn
voditelja	voditelj	Ncmpg
pirotehničke	pirotehnički	Agpfsgy
skupine	skupina	Ncfsg
sa	sa	Si
pregledanim	pregledan	Agpfpiy
površinama	površina	Ncfpi
kontrolnih	kontrolan	Agpmpgy
uzoraka	uzorak	Ncmpg
i	i	Cc
radnih	radni	Agpfpgy
staza	staza	Ncfpg
potpisanih	potpisati	Appfpgy
od	od	Sg
strane	strana	Ncfsg
pirotehničara	pirotehničar	Ncmpg
HCR-a	HCR	Npmsg
sa	sa	Si
kartografskim	kartografski	Agpmsiy
prikazom	prikaz	Ncmsi
i	i	Cc
skicama	skica	Ncfpl
te	te	Cc
eventualno	eventualno	Rgp
ucrtanim	ucrtati	Agpfpiy
pozicijama	pozicija	Ncfpi
pronađenog	pronađen	Agpmsgy
MES-a	mes-	Ncmsg
,	,	Z
NUS-a	NUS	Npmsg
i	i	Cc
njihovih	njihov	Ps3mpg
dijelova	dio	Ncmpg
u	u	Sl
kontrolnom	kontrolan	Agpmsly
uzorku	uzorak	Ncmsl
s	sa	Si
količinom	količina	Ncfsi
,	,	Z
vrstom	vrsta	Ncfsi
i	i	Cc
fotodokumentacijom	fotodokumentacija	Ncfsi
pronađenih	pronađen	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

IV	IV	Mrc
.	.	Z

TEHNIČKI	tehnički	Agpmsny
IZVID	izvid	Ncmsn

Članak	članak	Ncmsn
10.	10.	Mdo

HCR	HCR	Npmsn
provodi	provoditi	Vmr3s
tehnički	tehnički	Agpmsayn
izvid	izvid	Ncmsan
samostalno	samostalno	Rgp
ili	ili	Cc
s	sa	Si
ovlaštenim	ovlašten	Agpfpiy
pravnim	pravni	Agpfpiy
osobama	osoba	Ncfpi
i	i	Cc
/	/	Z
ili	ili	Cc
obrtnicima	obrtnik	Ncmpi
sukladno	sukladno	Rgp
izvedbenom	izvedben	Agpmsly
planu	plan	Ncmsl
tehničkog	tehnički	Agpmsgy
izvida	izvid	Ncmsg
na	na	Sl
cjelokupnoj	cjelokupan	Agpfsly
površini	površina	Ncfsl
radilišta	radilište	Ncnsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
je	biti	Var3s
dužan	dužan	Agpmsnn
pregledati	pregledati	Vmn
najmanje	malo	Rgs
25	25	Mdc
%	%	Z
površine	površina	Ncfsg
radilišta	radilište	Ncnsg
propisanim	propisati	Agpfpdy
metodama	metoda	Ncfpd
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

MES	mei	Agpnsny
,	,	Z
NUS	NUS	Npmsn
i	i	Cc
njihovi	njihov	Ps3mpn
dijelovi	dio	Ncmpn
pronađeni	pronađen	Agpmpny
tijekom	tijekom	Sg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
tehničkog	tehnički	Agpmsgy
izvida	izvid	Ncmsg
HCR	HCR	Npmsn
