sprječavanja	sprječavanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
predstavnicima	predstavnik	Ncmpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
od	od	Sg
strane	strana	Ncfsg
korisnika	korisnik	Ncmpg

–	–	Z
utvrđene	utvrditi	Appfsgy
nepravilnosti	nepravilnost	Ncfsg

–	–	Z
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
su	biti	Var3p
informacije	informacija	Ncfpn
dostavljene	dostaviti	Appfpny
od	od	Sg
strane	strana	Ncfsg
korisnika	korisnik	Ncmpg
lažne	lažan	Agpfsgy
ili	ili	Cc
pogrešne	pogrešan	Agpfsgy

–	–	Z
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
ulaganje	ulaganje	Ncnsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
financiranje	financiranje	Ncnsa
unutar	unutar	Sg
EPFRR-a	EPFRR	Npmsg
,	,	Z
financirano	financirati	Appnsny
drugim	drugi	Mlonpl
sredstvima	sredstvo	Ncnpl
proračuna	proračun	Ncmpg
EU	E	Npmsg

–	–	Z
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
prekoračenje	prekoračenje	Ncnsn
najvećeg	velik	Ncfpg
dozvoljenog	dozvoljen	Agpmsgy
iznosa	iznos	Ncmsg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
financiranja	financiranje	Ncnsg
istog	isti	Agpnsgy
ulaganja	ulaganje	Ncnsg
od	od	Sg
strane	strana	Ncfsg
središnjih	središnji	Agpnpgy
tijela	tijelo	Ncnpg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
te	te	Cc
svake	svaki	Pi-fsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
dodjeljuje	dodjeljivati	Vmr3s
državne	državni	Agpfpay
potpore	potpora	Ncfpa
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
i	i	Cc
odluka	odluka	Ncfpg
o	o	Sl
odbijanju	odbijanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
nedovoljno	nedovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnog	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
dovoljno	dovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
,	,	Z
nakon	nakon	Sg
završetka	završetak	Ncmsg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
svih	sav	Agpmpgy
zaprimljenih	zaprimiti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
donijeti	donijeti	Vmn
odluke	odluka	Ncfpa
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
stavkom	stavka	Ncfsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
donijeti	donijeti	Vmn
:	:	Z

1.	1.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
sukladno	sukladno	Rgp
razlozima	razlog	Ncmpd
navedenim	navesti	Appmply
u	u	Sl
članku	članak	Ncmsl
26.	26.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
točka	točka	Ncfsn
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nakon	nakon	Sg
obrade	obrada	Ncfsg
svakog	svaki	Pi-msg
pojedinog	pojedini	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

2.	2.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zbog	zbog	Sg
nedostatnosti	nedostatnost	Ncfsg
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
rangiranje	rangiranje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
21.	21.	Mdo

Pravilnika	pravilnik	Ncmpg
nakon	nakon	Sg
obrade	obrada	Ncfsg
svih	sav	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

3.	3.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
nakon	nakon	Sg
obrade	obrada	Ncfsg
svih	sav	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
nakon	nakon	Sg
završetka	završetak	Ncmsg
postupka	postupak	Ncmsg
odlučivanja	odlučivanje	Ncnsg
po	po	Sl
prigovoru	prigovor	Ncmsl
na	na	Sa
odluke	odluka	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točki	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
prema	prema	Sl
potrebi	potreba	Ncfsl
ponovne	ponovan	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
nakon	nakon	Sg
usvojenih	usvojen	Agpmpgy
prigovora	prigovor	Ncmpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
natječajem	natječaj	Ncmsi
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
i	i	Cc
odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
postupka	postupak	Ncmsg
nabave	nabava	Ncfsg

Članak	članak	Ncmsn
28.	28.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
kojima	koji	Pi-mpi
je	biti	Var3s
izdana	izdati	Appfsny
odluka	odluka	Ncfsn
o	o	Sl
