Uključenje	uključenje	Ncnsn
sudionika	sudionik	Ncmpg
u	u	Sl
HSVP	hsva	Ncfsl

Članak	članak	Ncmsn
8.	8.	Mdo

HNB	HNB	Npmsn
uključuje	uključivati	Vmr3s
u	u	Sa
HSVP	HSVP	Npmsan
sudionike	sudionik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
i	i	Cc
otvara	otvarati	Vmr3s
im	oni	Pp3-pd
račun	račun	Ncmsan
na	na	Sl
osnovi	osnova	Ncfsl
rješenja	rješenje	Ncnsg
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
.	.	Z

Blokada	blokada	Ncfsn
,	,	Z
suspenzija	suspenzija	Ncfsn
i	i	Cc
isključenje	isključenje	Ncnsn

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
HNB	HNB	Npmsn
će	htjeti	Var3s
blokirati	blokirati	Vmn
račun	račun	Ncmsan
sudionika	sudionik	Ncmpg
u	u	Sl
HSVP-u	HSVP	Npmsl
odmah	odmah	Rgp
nakon	nakon	Sg
primitka	primitak	Ncmsg
odluke	odluka	Ncfsg
suda	sud	Ncmsg
ili	ili	Cc
naloga	nalog	Ncmsg
Financijske	financijski	Agpfsgy
agencije	agencija	Ncfsg
kojim	koji	Pi-msi
se	sebe	Px--sa
zabranjuje	zabranjivati	Vmr3s
plaćanje	plaćanje	Ncnsa
na	na	Sa
teret	teret	Ncmsan
računa	račun	Ncmsg
sudionika	sudionik	Ncmsg
ili	ili	Cc
obavijesti	obavijest	Ncfsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
o	o	Sl
odluci	odluka	Ncfsl
koja	koji	Pi-fsn
sadržava	sadržavati	Vmr3s
takvu	takav	Pd-fsa
zabranu	zabrana	Ncfsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
sudionika	sudionik	Ncmsay
.	.	Z

Pod	pod	Si
blokadom	blokada	Ncfsi
se	sebe	Px--sa
podrazumijeva	podrazumijevati	Vmr3s
onemogućavanje	onemogućavanje	Ncnsa
namire	namiriti	Ncfsg
platnih	platni	Agpfpgy
transakcija	transakcija	Ncfpg
na	na	Sa
teret	teret	Ncmsan
računa	račun	Ncmsg
sudionika	sudionik	Ncmpg
u	u	Sl
trajanju	trajanje	Ncnsl
predviđenom	predvidjeti	Appnsly
takvom	takav	Pd-fsi
odlukom	odluka	Ncfsi
ili	ili	Cc
nalogom	nalog	Ncmsi
odnosno	odnosno	Rgp
do	do	Sg
primitka	primitak	Ncmsg
drugačije	drugačiji	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
naloga	nalog	Ncmsg
ili	ili	Cc
obavijesti	obavijest	Ncfsl
o	o	Sl
odluci	odluka	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
HNB	HNB	Npmsn
će	htjeti	Var3s
suspendirati	suspendirati	Vmn
u	u	Sa
HSVP-u	hsvp-u	Agpmsayn
račun	račun	Ncmsan
sudionika	sudionik	Ncmpg
:	:	Z

a	a	Cc
)	)	Z
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
