dodatna	dodatan	Agpnsgy
obrazloženja	obrazloženje	Ncnsg
/	/	Z
ispravke	ispravka	Ncfsg
vezane	vezan	Agpfsgy
uz	uz	Sa
dostavljenu	dostaviti	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odabranom	odabrati	Agpnsdy
LAG-u	LAG	Npmsd
izdati	izdati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
poslati	poslati	Vmn
na	na	Sa
e-mail	e-mail	Ncmsan
adresu	adresa	Ncfsa
odabranog	odabrati	Agpmsgy
LAG-a	lag-	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
dužan	dužan	Appmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
zaprimanja	zaprimanje	Ncnsg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
dostaviti	dostaviti	Vmn
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
vezano	vezano	Rgp
uz	uz	Sa
dostavljenu	dostaviti	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Vrijeme	vrijeme	Ncnsn
zaprimanja	zaprimanje	Ncnsg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
je	biti	Var3s
trenutak	trenutak	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
zaprimljenoj	zaprimiti	Agpfsly
elektroničkoj	elektronički	Agpfsly
pošti	pošta	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
ne	ne	Qz
zaprimi	zaprimiti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
u	u	Sl
roku	rok	Ncmsl
dva	dva	Mlc
dana	dan	Ncmsg
od	od	Sg
slanja	slanje	Ncnsg
iste	isti	Agpfsgy
iz	iz	Sg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
ili	ili	Cc
ne	ne	Qz
odgovori	odgovoriti	Vmr3s
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
