utvrđene	utvrditi	Agpmpay
rizike	rizik	Ncmpa
.	.	Z

IV	IV	Mrc
.	.	Z

OVISNOST	ovisnost	Ncfsn
I	i	Cc
MEĐUOVISNOST	međuovisnost	Ncfsn
KRITIČNIH	kritičan	Agpfpgy
INFRASTRUKTURA	infrastruktura	Ncfpg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nositelji	nositelj	Ncmpn
izrade	izrada	Ncfsg
sektorske	sektorski	Agpfsgy
analize	analiza	Ncfsg
rizika	rizik	Ncmsg
poslovanja	poslovanje	Ncnsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
i	i	Cc
analize	analiza	Ncfsg
rizika	rizik	Ncmpg
poslovanja	poslovanje	Ncnsg
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
pri	pri	Sl
procjenjivanju	procjenjivanje	Ncnsl
rizika	rizik	Ncmsg
i	i	Cc
potrebnog	potreban	Agpmsgy
stupnja	stupanj	Ncmsg
zaštite	zaštita	Ncfsg
obvezno	obvezno	Rgp
uzimaju	uzimati	Vmr3p
u	u	Sa
obzir	obzir	Ncmsan
ovisnost	ovisnost	Ncfsa
i	i	Cc
međuovisnost	međuovisnost	Ncfsn
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kritične	kritičan	Agpfpny
infrastrukture	infrastruktura	Ncfpn
mogu	moći	Vmr3p
istovremeno	istovremeno	Rgp
biti	biti	Van
ovisne	ovisan	Agpfpny
o	o	Sa
više	mnogo	Rgc
drugih	drugi	Mlofpg
infrastruktura	infrastruktura	Ncfpg
unutar	unutar	Sg
jednog	jedan	Mlcmsg
sektora	sektor	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
o	o	Sl
više	mnogo	Rgc
drugih	drugi	Mlofpg
infrastruktura	infrastruktura	Ncfpg
iz	iz	Sg
drugih	drugi	Mlompg
sektora	sektor	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Međuovisnost	međuovisnost	Ncfsn
kritičnih	kritičan	Agpfpgy
infrastruktura	infrastruktura	Ncfpg
izravno	izravno	Rgp
i	i	Cc
neizravno	neizravno	Rgp
utječe	utjecati	Vmr3s
na	na	Sa
njihovo	njihov	Ps3nsa
funkcioniranje	funkcioniranje	Ncnsa
te	te	Cc
se	sebe	Px--sa
kod	kod	Sg
izračuna	izračun	Ncmsg
rizika	rizik	Ncmsg
moraju	morati	Vmr3p
uzeti	uzeti	Vmn
u	u	Sa
